culture_packs_tables	0
id	subculture
wh2_dlc09_rogue_black_creek_raiders	wh2_dlc09_rogue_black_creek_raiders
wh2_dlc09_rogue_dwellers_of_zardok	wh2_dlc09_rogue_dwellers_of_zardok
wh2_dlc09_rogue_eyes_of_the_jungle	wh2_dlc09_rogue_eyes_of_the_jungle
wh2_dlc09_rogue_pilgrims_of_myrmidia	wh2_dlc09_rogue_pilgrims_of_myrmidia
wh2_dlc09_tmb_tomb_kings	wh2_dlc09_sc_tmb_tomb_kings
wh2_dlc11_brt_bretonnia_dil	wh2_dlc11_brt_bretonnia_dil
wh2_dlc11_cst_harpoon_the_sunken_land_corsairs	wh2_dlc11_cst_harpoon_the_sunken_land_corsairs
wh2_dlc11_cst_rogue_bleak_coast_buccaneers	wh2_dlc11_cst_rogue_bleak_coast_buccaneers
wh2_dlc11_cst_rogue_boyz_of_the_forbidden_coast	wh2_dlc11_cst_rogue_boyz_of_the_forbidden_coast
wh2_dlc11_cst_rogue_freebooters_of_port_royale	wh2_dlc11_cst_rogue_freebooters_of_port_royale
wh2_dlc11_cst_rogue_grey_point_scuttlers	wh2_dlc11_cst_rogue_grey_point_scuttlers
wh2_dlc11_cst_rogue_terrors_of_the_dark_straights	wh2_dlc11_cst_rogue_terrors_of_the_dark_straights
wh2_dlc11_cst_rogue_the_churning_gulf_raiders	wh2_dlc11_cst_rogue_the_churning_gulf_raiders
wh2_dlc11_cst_rogue_tyrants_of_the_black_ocean	wh2_dlc11_cst_rogue_tyrants_of_the_black_ocean
wh2_dlc11_cst_shanty_dragon_spine_privateers	wh2_dlc11_cst_shanty_dragon_spine_privateers
wh2_dlc11_cst_shanty_middle_sea_brigands	wh2_dlc11_cst_shanty_middle_sea_brigands
wh2_dlc11_cst_shanty_shark_straight_seadogs	wh2_dlc11_cst_shanty_shark_straight_seadogs
wh2_dlc11_cst_vampire_coast	wh2_dlc11_sc_cst_vampire_coast
wh2_dlc11_def_dark_elves_dil	wh2_dlc11_def_dark_elves_dil
wh2_dlc11_emp_empire_dil	wh2_dlc11_emp_empire_dil
wh2_dlc11_nor_norsca_dil	wh2_dlc11_nor_norsca_dil
wh2_dlc11_nor_norsca_qb4	wh2_dlc11_nor_norsca_qb4
wh2_main_def_dark_elves	wh2_main_sc_def_dark_elves
wh2_main_hef_high_elves	wh2_main_sc_hef_high_elves
wh2_main_lzd_lizardmen	wh2_main_sc_lzd_lizardmen
wh2_main_rogue_abominations	wh2_main_rogue_abominations
wh2_main_rogue_beastcatchas	wh2_main_rogue_beastcatchas
wh2_main_rogue_bernhoffs_brigands	wh2_main_rogue_bernhoffs_brigands
wh2_main_rogue_black_spider_tribe	wh2_main_rogue_black_spider_tribe
wh2_main_rogue_boneclubbers_tribe	wh2_main_rogue_boneclubbers_tribe
wh2_main_rogue_celestial_storm	wh2_main_rogue_celestial_storm
wh2_main_rogue_college_of_pyrotechnics	wh2_main_rogue_college_of_pyrotechnics
wh2_main_rogue_doomseekers	wh2_main_rogue_doomseekers
wh2_main_rogue_gerhardts_mercenaries	wh2_main_rogue_gerhardts_mercenaries
wh2_main_rogue_heirs_of_mourkain	wh2_main_rogue_heirs_of_mourkain
wh2_main_rogue_hung_warband	wh2_main_rogue_hung_warband
wh2_main_rogue_hunters_of_kurnous	wh2_main_rogue_hunters_of_kurnous
wh2_main_rogue_jerrods_errantry	wh2_main_rogue_jerrods_errantry
wh2_main_rogue_mangy_houndz	wh2_main_rogue_mangy_houndz
wh2_main_rogue_menglis_manflayers	wh2_main_rogue_mengils_manflayers
wh2_main_rogue_morrsliebs_howlers	wh2_main_rogue_morrsliebs_howlers
wh2_main_rogue_pirates_of_the_far_sea	wh2_main_rogue_pirates_of_the_far_sea
wh2_main_rogue_pirates_of_the_southern_ocean	wh2_main_rogue_pirates_of_the_southern_ocean
wh2_main_rogue_pirates_of_trantio	wh2_main_rogue_pirates_of_trantio
wh2_main_rogue_scions_of_tesseninck	wh2_main_rogue_scions_of_tesseninck
wh2_main_rogue_scourge_of_aquitaine	wh2_main_rogue_scourge_of_aquitaine
wh2_main_rogue_stuff_snatchers	wh2_main_rogue_stuff_snatchers
wh2_main_rogue_teef_snatchaz	wh2_main_rogue_teef_snatchaz
wh2_main_rogue_the_wandering_dead	wh2_main_rogue_the_wandering_dead
wh2_main_rogue_tor_elithis	wh2_main_rogue_tor_elithis
wh2_main_rogue_troll_skullz	wh2_main_rogue_troll_skullz
wh2_main_rogue_vashnaar	wh2_main_rogue_vashnaar
wh2_main_rogue_vauls_expedition	wh2_main_rogue_vauls_expedition
wh2_main_rogue_worldroot_rangers	wh2_main_rogue_worldroot_rangers
wh2_main_rogue_wrath_of_nature	wh2_main_rogue_wrath_of_nature
wh2_main_skv_skaven	wh2_main_sc_skv_skaven
wh_dlc03_bst_beastmen	wh_dlc03_sc_bst_beastmen
wh_dlc05_wef_wood_elves	wh_dlc05_sc_wef_wood_elves
wh_main_brt_bretonnia	wh_main_sc_brt_bretonnia
wh_main_chs_chaos	wh_main_sc_chs_chaos
wh_main_chs_chaos	wh_main_sc_nor_norsca
wh_main_dwf_dwarfs	wh_main_sc_dwf_dwarfs
wh_main_emp_empire	wh_main_sc_emp_empire
wh_main_emp_empire	wh_main_sc_ksl_kislev
wh_main_emp_empire	wh_main_sc_teb_teb
wh_main_grn_greenskins	wh_main_sc_grn_greenskins
wh_main_grn_greenskins	wh_main_sc_grn_savage_orcs
wh_main_vmp_vampire_counts	wh_main_sc_vmp_vampire_counts
