Loc PackedFile	1
key	text	tooltip
cultures_subcultures_confederation_screen_name_wh2_main_rogue_heirs_of_mourkain		true
cultures_subcultures_confederation_screen_name_wh2_main_rogue_pirates_of_the_far_sea		true
cultures_subcultures_confederation_screen_name_wh_main_sc_nor_norsca		true
cultures_subcultures_confederation_summary_name_wh2_dlc11_cst_rogue_freebooters_of_port_royale		true
cultures_subcultures_confederation_summary_name_wh2_dlc11_nor_norsca_qb4		true
cultures_subcultures_name_wh2_main_rogue_scions_of_tesseninck	Scions of Tesseninck	true
cultures_subcultures_confederation_screen_name_wh_main_sc_dwf_dwarfs		true
cultures_subcultures_confederation_summary_name_wh2_main_rogue_doomseekers		true
cultures_subcultures_confederation_summary_name_wh2_dlc11_cst_shanty_middle_sea_brigands		true
cultures_subcultures_confederation_screen_name_wh2_main_sc_skv_skaven		true
cultures_subcultures_confederation_screen_name_wh2_main_rogue_scourge_of_aquitaine		true
cultures_subcultures_confederation_screen_name_wh_main_sc_ksl_kislev		true
cultures_subcultures_confederation_summary_name_wh2_dlc11_nor_norsca_dil		true
cultures_subcultures_confederation_summary_name_wh2_main_rogue_scions_of_tesseninck		true
cultures_subcultures_confederation_screen_name_wh2_dlc11_cst_rogue_terrors_of_the_dark_straights		true
cultures_subcultures_confederation_screen_name_wh2_main_rogue_college_of_pyrotechnics		true
cultures_subcultures_name_wh2_dlc11_cst_rogue_the_churning_gulf_raiders	The Churning Gulf Raiders	true
cultures_subcultures_name_wh2_dlc11_cst_rogue_freebooters_of_port_royale	Freebooters of Port Royale	true
cultures_subcultures_name_wh2_main_rogue_doomseekers	Doomseekers	true
cultures_subcultures_confederation_summary_name_wh_main_sc_chs_chaos		true
cultures_subcultures_confederation_screen_name_wh2_dlc11_cst_rogue_bleak_coast_buccaneers		true
cultures_subcultures_name_wh2_dlc09_rogue_pilgrims_of_myrmidia	Pilgrims of Myrmidia	true
cultures_subcultures_confederation_screen_name_wh_main_sc_emp_empire		true
cultures_subcultures_confederation_screen_name_wh2_main_rogue_scions_of_tesseninck		true
cultures_subcultures_name_wh2_main_rogue_scourge_of_aquitaine	Scourge of Aquitaine	true
cultures_subcultures_confederation_screen_name_wh2_dlc11_cst_rogue_grey_point_scuttlers		true
cultures_subcultures_confederation_summary_name_wh2_main_rogue_tor_elithis		true
cultures_subcultures_name_wh2_dlc11_cst_shanty_dragon_spine_privateers	Dragon Spine Privateers	true
cultures_subcultures_name_wh2_main_rogue_black_spider_tribe	Black Spider Tribe	true
cultures_subcultures_name_wh_main_sc_brt_bretonnia	Bretonnian Kingdoms	true
cultures_subcultures_confederation_screen_name_wh2_main_rogue_worldroot_rangers		true
cultures_subcultures_confederation_summary_name_wh2_dlc11_emp_empire_dil		true
cultures_subcultures_name_wh2_main_rogue_boneclubbers_tribe	Boneclubbers	true
cultures_subcultures_confederation_screen_name_wh_main_sc_vmp_vampire_counts		true
cultures_subcultures_confederation_summary_name_wh2_main_rogue_scourge_of_aquitaine		true
cultures_subcultures_confederation_screen_name_wh_dlc03_sc_bst_beastmen		true
cultures_subcultures_name_wh2_main_rogue_tor_elithis	Tor Elithis	true
cultures_subcultures_name_wh_main_sc_teb_teb	Southern Realms	true
cultures_subcultures_name_wh2_main_rogue_abominations	Abominations	true
cultures_subcultures_confederation_screen_name_wh2_dlc11_cst_shanty_shark_straight_seadogs		true
cultures_subcultures_name_wh2_main_rogue_beastcatchas	Beastcatchas	true
cultures_subcultures_name_wh2_main_rogue_hung_warband	Hung Warband	true
cultures_subcultures_name_wh_main_sc_grn_greenskins	Greenskin Tribes	true
cultures_subcultures_confederation_screen_name_wh2_dlc09_rogue_black_creek_raiders		true
cultures_subcultures_name_wh2_main_rogue_mangy_houndz	Mangy Houndz	true
cultures_subcultures_confederation_summary_name_wh2_dlc11_brt_bretonnia_dil		true
cultures_subcultures_confederation_screen_name_wh2_dlc09_rogue_eyes_of_the_jungle		true
cultures_subcultures_confederation_summary_name_wh_main_sc_nor_norsca		true
cultures_subcultures_confederation_summary_name_wh2_main_rogue_pirates_of_the_far_sea		true
cultures_subcultures_name_wh2_main_rogue_morrsliebs_howlers	Morrsliebs Howlers	true
cultures_subcultures_confederation_screen_name_wh2_main_rogue_troll_skullz		true
cultures_subcultures_confederation_summary_name_wh2_dlc11_cst_rogue_grey_point_scuttlers		true
cultures_subcultures_name_wh2_main_rogue_the_wandering_dead	Wandering Dead	true
cultures_subcultures_confederation_summary_name_wh_main_sc_ksl_kislev		true
cultures_subcultures_name_wh2_main_sc_lzd_lizardmen	Lizardmen	true
cultures_subcultures_confederation_summary_name_wh_main_sc_dwf_dwarfs		true
cultures_subcultures_name_wh2_main_rogue_hunters_of_kurnous	Hunters of Kurous	true
cultures_subcultures_confederation_screen_name_wh2_main_rogue_wrath_of_nature		true
cultures_subcultures_confederation_summary_name_wh2_main_rogue_worldroot_rangers		true
cultures_subcultures_confederation_summary_name_wh2_dlc11_cst_rogue_terrors_of_the_dark_straights		true
cultures_subcultures_confederation_screen_name_wh2_dlc09_rogue_dwellers_of_zardok		true
cultures_subcultures_confederation_summary_name_wh_main_sc_teb_teb		true
cultures_subcultures_confederation_screen_name_wh2_dlc11_emp_empire_dil		true
cultures_subcultures_confederation_screen_name_wh2_dlc09_sc_tmb_tomb_kings		true
cultures_subcultures_confederation_screen_name_wh2_main_rogue_celestial_storm		true
cultures_subcultures_confederation_summary_name_wh2_main_rogue_abominations		true
cultures_subcultures_name_wh2_main_rogue_gerhardts_mercenaries	Gerhardt's Mercenaries	true
cultures_subcultures_confederation_summary_name_wh2_main_rogue_hung_warband		true
cultures_subcultures_confederation_summary_name_wh2_main_rogue_beastcatchas		true
cultures_subcultures_name_wh2_dlc11_brt_bretonnia_dil	Bretonnian Merchants	true
cultures_subcultures_confederation_summary_name_wh2_main_rogue_mangy_houndz		true
cultures_subcultures_confederation_summary_name_wh_dlc03_sc_bst_beastmen		true
cultures_subcultures_name_wh2_main_rogue_troll_skullz	Troll-Skullz	true
cultures_subcultures_name_wh2_main_rogue_pirates_of_the_southern_ocean	Pirates of the Southern Ocean	true
cultures_subcultures_confederation_summary_name_wh2_main_rogue_heirs_of_mourkain		true
cultures_subcultures_name_wh2_main_rogue_bernhoffs_brigands	Bernhoff's Brigands	true
cultures_subcultures_confederation_summary_name_wh2_dlc09_sc_tmb_tomb_kings		true
cultures_subcultures_name_wh2_main_rogue_mengils_manflayers	Mengil's Manflayers	true
cultures_subcultures_confederation_summary_name_wh_dlc05_sc_wef_wood_elves		true
cultures_subcultures_confederation_summary_name_wh_main_sc_emp_empire		true
cultures_subcultures_confederation_summary_name_wh2_dlc11_cst_rogue_tyrants_of_the_black_ocean		true
cultures_subcultures_confederation_summary_name_wh2_dlc11_sc_cst_vampire_coast		true
cultures_subcultures_confederation_summary_name_wh2_main_sc_def_dark_elves		true
cultures_subcultures_confederation_summary_name_wh2_main_sc_hef_high_elves		true
cultures_subcultures_confederation_screen_name_wh2_dlc11_nor_norsca_qb4		true
cultures_subcultures_name_wh2_dlc11_cst_shanty_shark_straight_seadogs	Shark Strait Seadogs	true
cultures_subcultures_confederation_screen_name_wh2_main_rogue_abominations		true
cultures_subcultures_name_wh2_main_rogue_pirates_of_trantio	Pirates of Trantio	true
cultures_subcultures_name_wh_main_sc_grn_savage_orcs	Savage Orc Tribes	true
cultures_subcultures_name_wh2_dlc09_rogue_black_creek_raiders	Black Creek Raiders	true
cultures_subcultures_confederation_screen_name_wh2_main_rogue_hung_warband		true
cultures_subcultures_confederation_screen_name_wh2_main_rogue_beastcatchas		true
cultures_subcultures_name_wh2_dlc11_def_dark_elves_dil	Dark Elf Slavers	true
cultures_subcultures_confederation_screen_name_wh2_dlc11_cst_shanty_middle_sea_brigands		true
cultures_subcultures_confederation_screen_name_wh2_main_rogue_mangy_houndz		true
cultures_subcultures_confederation_summary_name_wh2_dlc11_cst_harpoon_the_sunken_land_corsairs		true
cultures_subcultures_confederation_screen_name_wh2_dlc11_nor_norsca_dil		true
cultures_subcultures_confederation_summary_name_wh2_dlc11_cst_shanty_shark_straight_seadogs		true
cultures_subcultures_name_wh2_main_rogue_teef_snatchaz	Teef Snatchaz	true
cultures_subcultures_confederation_summary_name_wh2_dlc09_rogue_black_creek_raiders		true
cultures_subcultures_name_wh2_main_sc_hef_high_elves	High Elves	true
cultures_subcultures_name_wh2_main_sc_def_dark_elves	Dark Elves	true
cultures_subcultures_confederation_screen_name_wh2_dlc11_brt_bretonnia_dil		true
cultures_subcultures_name_wh_dlc05_sc_wef_wood_elves	Wood Elf Realms	true
cultures_subcultures_name_wh2_dlc11_cst_rogue_tyrants_of_the_black_ocean	Tyrants of the Black Ocean	true
cultures_subcultures_confederation_screen_name_wh2_main_rogue_stuff_snatchers		true
cultures_subcultures_name_wh2_dlc11_sc_cst_vampire_coast	Vampire Coast	true
cultures_subcultures_confederation_summary_name_wh_main_sc_grn_savage_orcs		true
cultures_subcultures_confederation_summary_name_wh2_main_rogue_troll_skullz		true
cultures_subcultures_confederation_screen_name_wh_main_sc_chs_chaos		true
cultures_subcultures_name_wh2_dlc09_sc_tmb_tomb_kings	Tomb Kings	true
cultures_subcultures_confederation_summary_name_wh_main_sc_vmp_vampire_counts		true
cultures_subcultures_name_wh2_dlc11_cst_harpoon_the_sunken_land_corsairs	Sunken Land Corsairs	true
cultures_subcultures_name_wh2_dlc09_rogue_eyes_of_the_jungle	Eyes of the Jungle	true
cultures_subcultures_confederation_summary_name_wh_main_sc_grn_greenskins		true
cultures_subcultures_confederation_summary_name_wh2_main_rogue_celestial_storm		true
cultures_subcultures_confederation_screen_name_wh2_dlc11_cst_shanty_dragon_spine_privateers		true
