cultures_subcultures_tables	2
subculture	culture	index	audio_state_override	audio_rtpc_override
wh2_dlc09_rogue_black_creek_raiders	wh2_main_rogue	1771280861	Dark_Elves	
wh2_dlc09_rogue_dwellers_of_zardok	wh2_main_rogue	1797445402	Beastmen	
wh2_dlc09_rogue_eyes_of_the_jungle	wh2_main_rogue	1262282945	Wood_Elves	
wh2_dlc09_rogue_pilgrims_of_myrmidia	wh2_main_rogue	1591155001	Bretonnia	
wh2_dlc09_sc_tmb_tomb_kings	wh2_dlc09_tmb_tomb_kings	1851343798		
wh2_dlc11_brt_bretonnia_dil	wh2_main_rogue	1863869589	Bretonnia	
wh2_dlc11_cst_harpoon_the_sunken_land_corsairs	wh2_main_rogue	1664192000	Dark_Elves	
wh2_dlc11_cst_rogue_bleak_coast_buccaneers	wh2_main_rogue	1411800047	Dwarfs	
wh2_dlc11_cst_rogue_boyz_of_the_forbidden_coast	wh2_main_rogue	1681981349	Greenskins	
wh2_dlc11_cst_rogue_freebooters_of_port_royale	wh2_main_rogue	1396583013	Empire	
wh2_dlc11_cst_rogue_grey_point_scuttlers	wh2_main_rogue	1234551785	Skaven	
wh2_dlc11_cst_rogue_terrors_of_the_dark_straights	wh2_main_rogue	1168450456		
wh2_dlc11_cst_rogue_the_churning_gulf_raiders	wh2_main_rogue	1940246656	Norsca	
wh2_dlc11_cst_rogue_tyrants_of_the_black_ocean	wh2_main_rogue	751223297	Dark_Elves	
wh2_dlc11_cst_shanty_dragon_spine_privateers	wh2_main_rogue	632619682	High_Elves	
wh2_dlc11_cst_shanty_middle_sea_brigands	wh2_main_rogue	112808692	Empire	
wh2_dlc11_cst_shanty_shark_straight_seadogs	wh2_main_rogue	262903567		
wh2_dlc11_def_dark_elves_dil	wh2_main_rogue	1197578734	Dark_Elves	
wh2_dlc11_emp_empire_dil	wh2_main_rogue	2108795876	Empire	
wh2_dlc11_nor_norsca_dil	wh2_main_rogue	879619613	Norsca	
wh2_dlc11_nor_norsca_qb4	wh2_main_rogue	482357005	Norsca	
wh2_dlc11_sc_cst_vampire_coast	wh2_dlc11_cst_vampire_coast	379467047		
wh2_main_rogue_abominations	wh2_main_rogue	267873816	Beastmen	
wh2_main_rogue_beastcatchas	wh2_main_rogue	567044600	Greenskins	
wh2_main_rogue_bernhoffs_brigands	wh2_main_rogue	1826192931	Empire	
wh2_main_rogue_black_spider_tribe	wh2_main_rogue	247852815	Greenskins	
wh2_main_rogue_boneclubbers_tribe	wh2_main_rogue	1373406808	Greenskins	
wh2_main_rogue_celestial_storm	wh2_main_rogue	1990928929	Lizardmen	
wh2_main_rogue_college_of_pyrotechnics	wh2_main_rogue	1387042618	Empire	
wh2_main_rogue_doomseekers	wh2_main_rogue	1709279109	Dwarfs	
wh2_main_rogue_gerhardts_mercenaries	wh2_main_rogue	1367046420	Empire	
wh2_main_rogue_heirs_of_mourkain	wh2_main_rogue	1899998288	Vampire_Counts	
wh2_main_rogue_hung_warband	wh2_main_rogue	848210185	Chaos	
wh2_main_rogue_hunters_of_kurnous	wh2_main_rogue	754622578	Wood_Elves	
wh2_main_rogue_jerrods_errantry	wh2_main_rogue	1009496839	Bretonnia	
wh2_main_rogue_mangy_houndz	wh2_main_rogue	791666829	Greenskins	
wh2_main_rogue_mengils_manflayers	wh2_main_rogue	1352551546	Dark_Elves	
wh2_main_rogue_morrsliebs_howlers	wh2_main_rogue	1585398451	Skaven	
wh2_main_rogue_pirates_of_the_far_sea	wh2_main_rogue	672549254	Empire	
wh2_main_rogue_pirates_of_the_southern_ocean	wh2_main_rogue	1736748453	Empire	
wh2_main_rogue_pirates_of_trantio	wh2_main_rogue	848611215	Empire	
wh2_main_rogue_scions_of_tesseninck	wh2_main_rogue	745588064	Empire	
wh2_main_rogue_scourge_of_aquitaine	wh2_main_rogue	1154473397	Bretonnia	
wh2_main_rogue_stuff_snatchers	wh2_main_rogue	122224488	Greenskins	
