custom_battle_factions_tables	1
faction_key	sort_order	culture_sort_order
wh2_dlc09_skv_clan_rictus	32	3
wh2_dlc09_tmb_exiles_of_nehek	51	5
wh2_dlc09_tmb_followers_of_nagash	53	5
wh2_dlc09_tmb_khemri	50	5
wh2_dlc09_tmb_lybaras	52	5
wh2_dlc09_tmb_tomb_kings	50	5
wh2_dlc11_cst_noctilus	41	4
wh2_dlc11_cst_pirates_of_sartosa	42	4
wh2_dlc11_cst_the_drowned	43	4
wh2_dlc11_cst_vampire_coast	40	4
wh2_dlc11_def_the_blessed_dread	23	2
wh2_dlc11_vmp_the_barrow_legion	133	13
wh2_main_def_cult_of_pleasure	21	2
wh2_main_def_dark_elves	20	2
wh2_main_def_har_ganeth	22	2
wh2_main_def_naggarond	20	2
wh2_main_hef_avelorn	2	0
wh2_main_hef_eataine	0	0
wh2_main_hef_high_elves	0	0
wh2_main_hef_nagarythe	3	0
wh2_main_hef_order_of_loremasters	1	0
wh2_main_lzd_hexoatl	10	1
wh2_main_lzd_last_defenders	11	1
wh2_main_lzd_lizardmen	10	1
wh2_main_skv_clan_mors	30	3
wh2_main_skv_clan_pestilens	31	3
wh2_main_skv_skaven	30	3
wh_dlc03_bst_beastmen	170	17
wh_dlc05_bst_morghur_herd	171	17
wh_dlc05_wef_argwylon	161	16
wh_dlc05_wef_wood_elves	160	16
wh_dlc08_nor_norsca	140	14
wh_dlc08_nor_wintertooth	141	14
wh_main_brt_bordeleaux	151	15
wh_main_brt_bretonnia	150	15
wh_main_brt_carcassonne	152	15
wh_main_chs_chaos	180	18
wh_main_dwf_dwarfs	110	11
wh_main_dwf_karak_izor	111	11
wh_main_dwf_karak_kadrin	112	11
wh_main_emp_empire	100	10
wh_main_emp_middenland	101	10
wh_main_grn_crooked_moon	121	12
wh_main_grn_greenskins	120	12
wh_main_grn_orcs_of_the_bloody_hand	122	12
wh_main_vmp_mousillon	132	13
wh_main_vmp_schwartzhafen	131	13
wh_main_vmp_vampire_counts	130	13
