Loc PackedFile	1
key	text	tooltip
death_types_localised_description_PERSUADED	Persuaded	true
death_types_localised_description_QUEST_BATTLE_OVER	Quest Battle over	true
death_types_localised_description_FAMILY_CHARACTER_CLEAN_UP	Character clean-up	true
death_types_localised_description_DISBANDED	Disbanded	true
death_types_localised_description_DESTROYED_AFTER_DEFECTION	Defected	true
death_types_localised_description_HUNTED_DOWN	Hunted down	true
death_types_localised_description_EXECUTED	Executed	true
death_types_localised_description_CHILD_BIRTH	Child birth	true
death_types_localised_description_WAAAGH_OVER	Waaagh! over	true
death_types_localised_description_DIED_AT_SEA	Died at sea	true
death_types_localised_description_REJECTED	Rejected	true
death_types_localised_description_WAAAGH_DISPANDED	placeholder	true
death_types_localised_description_ADVANCED	Advanced	true
death_types_localised_description_KILLED_IN_ACTION	Killed in action	true
death_types_localised_description_INFANT_MORTALITY	Infant mortality	true
death_types_localised_description_ALIVE	Alive	true
death_types_localised_description_CONVALESCING	Wounded	true
death_types_localised_description_NUM_DEATH_TYPES	INVALID	true
death_types_localised_description_OLD_AGE	Old age	true
death_types_localised_description_DESEASE	Disease	true
death_types_localised_description_ASSASSINATED	Assassinated	true
