diplomatic_action_subculture_restrictions_tables	0
can_make_client_states	can_make_confederations	can_make_vassals	subculture
false	false	true	wh2_dlc09_sc_tmb_tomb_kings
false	false	false	wh2_main_rogue_abominations
false	false	false	wh2_main_rogue_beastcatchas
false	false	false	wh2_main_rogue_bernhoffs_brigands
false	false	false	wh2_main_rogue_black_spider_tribe
false	false	false	wh2_main_rogue_boneclubbers_tribe
false	false	false	wh2_main_rogue_celestial_storm
false	false	false	wh2_main_rogue_college_of_pyrotechnics
false	false	false	wh2_main_rogue_doomseekers
false	false	false	wh2_main_rogue_gerhardts_mercenaries
false	false	false	wh2_main_rogue_heirs_of_mourkain
false	false	false	wh2_main_rogue_hung_warband
false	false	false	wh2_main_rogue_hunters_of_kurnous
false	false	false	wh2_main_rogue_jerrods_errantry
false	false	false	wh2_main_rogue_mangy_houndz
false	false	false	wh2_main_rogue_mengils_manflayers
false	false	false	wh2_main_rogue_morrsliebs_howlers
false	false	false	wh2_main_rogue_pirates_of_the_far_sea
false	false	false	wh2_main_rogue_pirates_of_the_southern_ocean
false	false	false	wh2_main_rogue_pirates_of_trantio
false	false	false	wh2_main_rogue_scions_of_tesseninck
false	false	false	wh2_main_rogue_scourge_of_aquitaine
false	false	false	wh2_main_rogue_stuff_snatchers
false	false	false	wh2_main_rogue_teef_snatchaz
false	false	false	wh2_main_rogue_the_wandering_dead
false	false	false	wh2_main_rogue_tor_elithis
false	false	false	wh2_main_rogue_troll_skullz
false	false	false	wh2_main_rogue_vashnaar
false	false	false	wh2_main_rogue_vauls_expedition
false	false	false	wh2_main_rogue_worldroot_rangers
false	false	false	wh2_main_rogue_wrath_of_nature
false	true	true	wh2_main_sc_def_dark_elves
false	true	true	wh2_main_sc_hef_high_elves
false	true	true	wh2_main_sc_lzd_lizardmen
false	true	true	wh2_main_sc_skv_skaven
false	true	false	wh_dlc03_sc_bst_beastmen
false	true	true	wh_dlc05_sc_wef_wood_elves
false	true	true	wh_main_sc_brt_bretonnia
false	false	true	wh_main_sc_chs_chaos
false	true	true	wh_main_sc_dwf_dwarfs
false	true	true	wh_main_sc_emp_empire
false	true	true	wh_main_sc_grn_greenskins
false	false	true	wh_main_sc_grn_savage_orcs
false	false	true	wh_main_sc_ksl_kislev
false	true	true	wh_main_sc_nor_norsca
false	false	true	wh_main_sc_teb_teb
false	true	true	wh_main_sc_vmp_vampire_counts
