effect_bonus_value_agent_action_record_junctions_tables	0
effect	bonus_value_id	agent_action_record
active	wh2_dlc09_effect_agent_action_enable_engineer_hinder_settlement_necrotect_ritual	wh2_dlc09_agent_action_engineer_hinder_settlement_necrotect_ritual
cost_mod	wh2_dlc11_effect_agent_action_cost_mod_exlusding_pirate_coves	wh2_dlc09_agent_action_engineer_hinder_settlement_necrotect_ritual
cost_mod	wh2_dlc11_effect_agent_action_cost_mod_exlusding_pirate_coves	wh2_dlc11_agent_action_champion_assist_province
cost_mod	wh2_dlc11_effect_agent_action_cost_mod_exlusding_pirate_coves	wh2_dlc11_agent_action_champion_hinder_province
cost_mod	wh2_dlc11_effect_agent_action_cost_mod_exlusding_pirate_coves	wh2_dlc11_agent_action_champion_hinder_settlement_treasure_hunt
cost_mod	wh2_dlc11_effect_agent_action_cost_mod_exlusding_pirate_coves	wh2_dlc11_agent_action_dignitary_assist_province
cost_mod	wh2_dlc11_effect_agent_action_cost_mod_exlusding_pirate_coves	wh2_dlc11_agent_action_dignitary_hinder_province
cost_mod	wh2_dlc11_effect_agent_action_cost_mod_exlusding_pirate_coves	wh2_dlc11_agent_action_dignitary_hinder_settlement_treasure_hunt
cost_mod	wh2_dlc11_effect_agent_action_cost_mod_exlusding_pirate_coves	wh2_dlc11_agent_action_engineer_assist_province
cost_mod	wh2_dlc11_effect_agent_action_cost_mod_exlusding_pirate_coves	wh2_dlc11_agent_action_engineer_hinder_province
cost_mod	wh2_dlc11_effect_agent_action_cost_mod_exlusding_pirate_coves	wh2_dlc11_agent_action_engineer_hinder_settlement_treasure_hunt
cost_mod	wh2_dlc11_effect_agent_action_cost_mod_exlusding_pirate_coves	wh2_dlc11_agent_action_runesmith_hinder_settlement_treasure_hunt
cost_mod	wh2_dlc11_effect_agent_action_cost_mod_exlusding_pirate_coves	wh2_dlc11_agent_action_spy_assist_province
cost_mod	wh2_dlc11_effect_agent_action_cost_mod_exlusding_pirate_coves	wh2_dlc11_agent_action_spy_hinder_province
cost_mod	wh2_dlc11_effect_agent_action_cost_mod_exlusding_pirate_coves	wh2_dlc11_agent_action_spy_hinder_settlement_treasure_hunt
cost_mod	wh2_dlc11_effect_agent_action_cost_mod_exlusding_pirate_coves	wh2_dlc11_agent_action_wizard_hinder_settlement_treasure_hunt
cost_mod	wh2_dlc11_effect_agent_action_cost_mod_exlusding_pirate_coves	wh2_main_agent_action_champion_assist_army_replenish_troops
cost_mod	wh2_dlc11_effect_agent_action_cost_mod_exlusding_pirate_coves	wh2_main_agent_action_champion_assist_army_scavenge
cost_mod	wh2_dlc11_effect_agent_action_cost_mod_exlusding_pirate_coves	wh2_main_agent_action_champion_assist_army_scouting
