effect_bonus_value_military_force_ability_junctions_tables	0
bonus_value_id	effect	force_ability
uses_mod	wh2_dlc09_bundle_tmb_final_battle_army_abilities_barrage_uses	wh2_dlc09_army_abilities_barrage_of_the_legion
enable	wh2_dlc09_bundle_tmb_final_battle_army_abilities_barrage	wh2_dlc09_army_abilities_barrage_of_the_legion
uses_mod	wh2_dlc09_bundle_tmb_final_battle_army_abilities_swarm_uses	wh2_dlc09_army_abilities_tomb_swarm
enable	wh2_dlc09_bundle_tmb_final_battle_army_abilities_swarm	wh2_dlc09_army_abilities_tomb_swarm
enable	wh2_dlc09_bundle_tmb_final_battle_army_abilities	wh2_dlc09_army_abilities_barrage_of_the_legion
enable	wh2_dlc09_bundle_tmb_final_battle_army_abilities	wh2_dlc09_army_abilities_tomb_swarm
enable	wh2_dlc09_effect_ability_army_enable_legionary_barrage	wh2_dlc09_army_abilities_barrage_of_the_legion
enable	wh2_dlc09_effect_ability_army_enable_rictus_clanstone	wh2_dlc09_army_abilities_rictus_clanstone
enable	wh2_dlc09_effect_ability_army_enable_sand_veil	wh2_dlc09_army_abilities_sand_veil
enable	wh2_dlc09_effect_ability_army_enable_tomb_swarm	wh2_dlc09_army_abilities_tomb_swarm
uses_mod	wh2_dlc11_cst_number_of_uses_artillery_support	wh2_dlc11_army_abilities_norse_roar
uses_mod	wh2_dlc11_cst_number_of_uses_artillery_support	wh2_dlc11_army_abilities_sartosa_grapeshot
uses_mod	wh2_dlc11_cst_number_of_uses_artillery_support	wh2_dlc11_army_abilities_zhufbar_42_pounders
enable	wh2_dlc11_effect_ability_army_enable_shanty_1_ai	wh2_dlc11_army_abilities_shanty_verse_1_ai
enable	wh2_dlc11_effect_ability_army_enable_shanty_1	wh2_dlc11_army_abilities_shanty_verse_1
enable	wh2_dlc11_effect_ability_army_enable_shanty_2_ai	wh2_dlc11_army_abilities_shanty_verse_2_ai
enable	wh2_dlc11_effect_ability_army_enable_shanty_2	wh2_dlc11_army_abilities_shanty_verse_2
enable	wh2_dlc11_effect_ability_army_enable_shanty_3_ai	wh2_dlc11_army_abilities_shanty_verse_3_ai
enable	wh2_dlc11_effect_ability_army_enable_shanty_3	wh2_dlc11_army_abilities_shanty_verse_3
enable	wh2_dlc11_effect_ability_army_enable_wraith_storm	wh2_dlc11_army_abilities_wraith_storm
enable	wh2_dlc11_effect_ability_enable_norse_roar	wh2_dlc11_army_abilities_norse_roar
enable	wh2_dlc11_effect_ability_enable_sartosa_grapeshot	wh2_dlc11_army_abilities_sartosa_grapeshot
enable	wh2_dlc11_effect_ability_enable_zhufbar_42_pounders	wh2_dlc11_army_abilities_zhufbar_42_pounders
enable	wh2_dlc11_effect_harkon_battle_army_abilities	wh2_dlc11_army_abilities_rod_of_the_storm
enable	wh2_dlc12_ability_enable_nuke_upgraded	wh2_dlc12_army_abilities_warpstorm_doomrocket_upgraded
enable	wh2_dlc12_ability_enable_nuke	wh2_dlc12_army_abilities_warpstorm_doomrocket
enable	wh2_dlc12_sacrifice_army_ability_great_invocation_of_sotek	wh2_dlc12_army_abilities_great_invocation_of_sotek
enable	wh2_dlc12_sacrifice_army_ability_jungle_swarm	wh2_dlc12_army_abilities_jungle_swarm
disable	wh2_main_effect_ability_army_disable_brazen_cauldron	wh2_main_army_abilities_brazen_cauldron
disable	wh2_main_effect_ability_army_disable_brazen_cauldron	wh2_main_army_abilities_sky_cauldron
disable	wh2_main_effect_ability_army_disable_khaines_flail	wh2_main_army_abilities_khaines_flail
disable	wh2_main_effect_ability_army_disable_khaines_flail	wh2_main_army_abilities_khaines_lash
disable	wh2_main_effect_ability_army_disable_khaines_lash	wh2_main_army_abilities_khaines_lash
disable	wh2_main_effect_ability_army_disable_sky_cauldron	wh2_main_army_abilities_sky_cauldron
disable	wh2_main_effect_ability_army_disable_soul_rain	wh2_main_army_abilities_soul_rain
disable	wh2_main_effect_ability_army_disable_soul_torrent	wh2_main_army_abilities_soul_rain
disable	wh2_main_effect_ability_army_disable_soul_torrent	wh2_main_army_abilities_soul_torrent
enable	wh2_main_effect_ability_army_enable_bloodwrack_cauldron	wh2_main_army_abilities_bloodwrack_cauldron
enable	wh2_main_effect_ability_army_enable_bolt_of_spite	wh2_main_army_abilities_bolt_of_spite
enable	wh2_main_effect_ability_army_enable_brazen_cauldron	wh2_main_army_abilities_brazen_cauldron
enable	wh2_main_effect_ability_army_enable_channeling_spire	wh2_main_army_abilities_channeling_spire
enable	wh2_main_effect_ability_army_enable_dark_conduit	wh2_main_army_abilities_dark_conduit
enable	wh2_main_effect_ability_army_enable_eagle_sanctuary	wh2_main_army_abilities_eagle_sanctuary
enable	wh2_main_effect_ability_army_enable_eshin_clanstone	wh2_main_army_abilities_eshin_clanstone
enable	wh2_main_effect_ability_army_enable_feral_cold_ones	wh2_main_army_abilities_feral_cold_ones
enable	wh2_main_effect_ability_army_enable_geomantic_nexus	wh2_main_army_abilities_geomantic_nexus
enable	wh2_main_effect_ability_army_enable_holy_stela	wh2_main_army_abilities_holy_stela
enable	wh2_main_effect_ability_army_enable_khaines_flail	wh2_main_army_abilities_khaines_flail
enable	wh2_main_effect_ability_army_enable_khaines_lash	wh2_main_army_abilities_khaines_lash
enable	wh2_main_effect_ability_army_enable_khaines_scourge	wh2_main_army_abilities_khaines_scourge
enable	wh2_main_effect_ability_army_enable_lure_of_the_pale_queen	wh2_main_army_abilities_lure_of_the_pale_queen
enable	wh2_main_effect_ability_army_enable_mors_clanstone	wh2_main_army_abilities_mors_clanstone
enable	wh2_main_effect_ability_army_enable_moulder_clanstone	wh2_main_army_abilities_moulder_clanstone
enable	wh2_main_effect_ability_army_enable_pestilens_clanstone	wh2_main_army_abilities_pestilens_clanstone
enable	wh2_main_effect_ability_army_enable_shadows_of_anlec	wh2_main_army_abilities_shadows_of_anlec
enable	wh2_main_effect_ability_army_enable_sky_cauldron	wh2_main_army_abilities_sky_cauldron
enable	wh2_main_effect_ability_army_enable_skyre_clanstone	wh2_main_army_abilities_skyre_clanstone
enable	wh2_main_effect_ability_army_enable_soul_rain	wh2_main_army_abilities_soul_rain
enable	wh2_main_effect_ability_army_enable_soul_storm	wh2_main_army_abilities_soul_storm
enable	wh2_main_effect_ability_army_enable_soul_torrent	wh2_main_army_abilities_soul_torrent
enable	wh2_main_effect_ability_army_enable_temple_of_mists	wh2_main_army_abilities_temple_of_mists
enable	wh2_main_effect_ability_army_enable_the_menace_below	wh2_main_army_abilities_the_menace_below
enable	wh2_main_effect_ability_army_enable_warpbomb	wh2_main_army_abilities_warpbomb
uses_mod	wh2_main_effect_ability_army_num_uses_holy_stela	wh2_main_army_abilities_holy_stela
uses_mod	wh2_main_effect_ability_army_num_uses_the_menace_below_corruption	wh2_main_army_abilities_the_menace_below
uses_mod	wh2_main_effect_ability_army_num_uses_the_menace_below_queek	wh2_main_army_abilities_the_menace_below
uses_mod	wh2_main_effect_ability_army_num_uses_the_menace_below	wh2_main_army_abilities_the_menace_below
enable	wh2_main_effect_final_battle_army_abilities	wh2_main_army_abilities_heal_splosion
enable	wh2_main_effect_final_battle_army_abilities	wh2_main_army_abilities_skaven_bomb
enable	wh2_main_effect_tomb_king_realm_of_souls_army_abilities	wh2_dlc09_army_abilities_realm_of_souls_ushabti
enable	wh2_main_effect_tomb_king_realm_of_souls_army_abilities	wh2_dlc09_army_passive_realm_of_souls_ushabti_trigger
enable	wh_dlc11_effect_ability_enable_battle_supply	wh2_dlc11_quest_battle_supply
