effect_bonus_value_missile_weapon_junctions_tables	0
bonus_value_id	effect	missile_weapon_junction
enable	wh2_dlc11_projectile_replacement_gunnery_wight_multi_shot	1277265313
enable	wh2_dlc11_projectile_replacement_gunnery_wight_multi_shot	1495614411
enable	wh2_dlc11_projectile_replacement_gunnery_wight_multi_shot	1846671182
enable	wh2_dlc11_projectile_replacement_gunnery_wight_multi_shot	2071118437
enable	wh2_dlc11_projectile_replacement_gunnery_wight_multi_shot	404375395
enable	wh2_dlc11_projectile_replacement_gunnery_wight_multi_shot	45159837
enable	wh2_dlc11_projectile_replacement_gunnery_wight_multi_shot	503577128
enable	wh2_dlc11_projectile_replacement_gunnery_wight_multi_shot	786100440
enable	wh2_dlc11_projectile_replacement_luthor_explosive_rounds	916785152
enable	wh2_dlc12_projectile_replacement_skv_ikit_tracing_flame	1383871299
enable	wh2_dlc12_skaven_doomwheel_character_multi_shot	1726722356
enable	wh2_dlc12_skaven_doomwheel_character_multi_shot	1861605367
enable	wh2_dlc12_skaven_doomwheel_multi_shot	1846947701
enable	wh2_dlc12_skaven_warpfire_multi_shot	372262727
enable	wh2_dlc12_skaven_warpfire_multi_shot	46423016
