effect_bonus_value_pooled_resource_factor_junctions_tables	0
bonus_value_id	effect	resource_factor
base_amount	wh2_dlc09_pooled_resource_canopic_jars_buildings	canopic_jars_buildings
base_amount	wh2_dlc09_pooled_resource_canopic_jars_characters	canopic_jars_characters
base_amount	wh2_dlc09_pooled_resource_canopic_jars_mission	canopic_jars_missions
base_amount	wh2_dlc09_pooled_resource_canopic_jars_other	canopic_jars_other
base_amount	wh2_dlc09_pooled_resource_canopic_jars_rite	canopic_jars_great_incantation_of_geheb
base_amount	wh2_dlc10_pooled_resource_oathgold_buildings	dwf_oathgold_buildings
base_amount	wh2_dlc10_pooled_resource_oathgold_characters	dwf_oathgold_characters
base_amount	wh2_dlc10_pooled_resource_oathgold_mission	dwf_oathgold_missions
base_amount	wh2_dlc10_pooled_resource_oathgold_quest_rewards	dwf_oathgold_quest_rewards
base_amount	wh2_dlc11_pooled_resource_infamy_buildings	infamy_pirate_coves
base_amount	wh2_dlc11_pooled_resource_infamy_edict	infamy_edicts
base_amount	wh2_dlc11_pooled_resource_infamy_other	infamy_other
base_amount	wh2_main_effect_ritual_currency_def_add	wh2_main_ritual_currency_buildings
percentage_multiplier_mod	wh2_main_effect_ritual_currency_def_mod	wh2_main_ritual_currency_buildings
base_amount	wh2_main_effect_ritual_currency_hef_add	wh2_main_ritual_currency_buildings
percentage_multiplier_mod	wh2_main_effect_ritual_currency_hef_mod	wh2_main_ritual_currency_buildings
base_amount	wh2_main_effect_ritual_currency_lzd_add	wh2_main_ritual_currency_buildings
percentage_multiplier_mod	wh2_main_effect_ritual_currency_lzd_mod	wh2_main_ritual_currency_buildings
base_amount	wh2_main_effect_ritual_currency_skv_add	wh2_main_ritual_currency_buildings
percentage_multiplier_mod	wh2_main_effect_ritual_currency_skv_mod	wh2_main_ritual_currency_buildings
base_amount	wh2_main_pooled_resource_skaven_food_army	skaven_food_force_upkeep
base_amount	wh2_main_pooled_resource_skaven_food_buildings	skaven_food_buildings
base_amount	wh2_main_pooled_resource_skaven_food_commandments	skaven_food_commandments
base_amount	wh2_main_pooled_resource_skaven_food_raiding	skaven_food_raiding
base_amount	wh2_main_pooled_resource_skaven_food_regions	skaven_food_regions
base_amount	wh2_main_pooled_resource_skaven_food_rite	skaven_food_the_dominating_scheme
base_amount	wh2_main_pooled_resource_skaven_food_ritual	skaven_food_rituals
base_amount	wh2_main_pooled_resource_skaven_food_technology	skaven_food_technology
