effect_bonus_value_provincial_initiative_effect_record_junctions_tables	1
bonus_value_id	effect	effect_bonus_will_modify
value_addition	wh2_dlc09_edict_brt_peasants_duty_growth_mod	wh2_dlc09_edict_brt_peasants_duty_growth_base
value_addition	wh2_dlc09_edict_brt_peasants_duty_public_order_mod	wh2_dlc09_edict_brt_peasants_duty_public_order_base
value_addition	wh2_dlc09_edict_brt_peasants_duty_tax_mod	wh2_dlc09_edict_brt_peasants_duty_tax_base
value_addition	wh2_dlc09_edict_tmb_building_construction_cost_mod_buff_additive	wh2_dlc09_edict_tmb_building_construction_cost_mod
value_addition	wh2_dlc09_edict_tmb_force_all_campaign_experience_base_all_buff_additive	wh2_dlc09_edict_tmb_force_all_campaign_experience_base_all
value_addition	wh2_dlc09_edict_tmb_force_all_campaign_replenishment_rate_buff_additive	wh2_dlc09_edict_tmb_force_all_campaign_replenishment_rate
value_addition	wh2_dlc09_edict_tmb_force_army_campaign_ambush_success_chance_buff	wh_main_effect_force_army_campaign_ambush_attack_success_chance
value_addition	wh2_dlc09_edict_tmb_force_army_campaign_siege_defend_holdout_time_buff_additive	wh2_dlc09_edict_tmb_force_army_campaign_siege_defend_holdout_time
value_addition	wh2_dlc09_edict_tmb_force_own_campaign_movement_range_province_buff_additive	wh2_dlc09_edict_tmb_force_own_campaign_movement_range_province
value_addition	wh2_dlc09_edict_tmb_force_unit_stat_melee_defence_buff_additive	wh2_dlc09_edict_tmb_force_unit_stat_melee_defence
value_addition	wh2_dlc09_edict_tmb_province_growth_province_buff_additive	wh2_dlc09_edict_tmb_province_growth_province
value_addition	wh2_dlc09_edict_tmb_province_tax_rate_buff_additive	wh2_dlc09_edict_tmb_province_tax_rate
value_addition	wh2_dlc09_edict_tmb_public_order_edict_buff_additive	wh2_dlc09_edict_tmb_public_order_edict
value_addition	wh2_dlc09_edict_tmb_religion_conversion_untainted_buff_additive	wh2_dlc09_edict_tmb_religion_conversion_untainted
value_addition	wh_main_effect_commandment_dwarfs_ancestor_worship_untainted_mod	wh_main_effect_commandment_dwarfs_ancestor_worship_untainted_base
value_addition	wh_main_effect_commandment_dwarfs_empower_the_guilds_growth_mod	wh_main_effect_commandment_dwarfs_empower_the_guilds_growth_base
value_addition	wh_main_effect_commandment_dwarfs_high_kings_tribute_tax_mod	wh_main_effect_commandment_dwarfs_high_kings_tribute_tax_base
value_addition	wh_main_effect_commandment_dwarfs_steel_and_stone_recruitment_cost_mod	wh_main_effect_commandment_dwarfs_steel_and_stone_recruitment_cost_base
