effect_bonus_value_ritual_junctions_tables	0
bonus_value_id	effect	ritual
disable	wh2_dlc09_disable_ritual_army_capacity	wh2_dlc09_ritual_crafting_tmb_army_capacity
disable	wh2_dlc09_disable_ritual_carrion	wh2_dlc09_ritual_crafting_tmb_carrion
disable	wh2_dlc09_disable_ritual_necropolis_knights	wh2_dlc09_ritual_crafting_tmb_necropolis_knights
disable	wh2_dlc09_disable_ritual_nehekhara_horsemen	wh2_dlc09_ritual_crafting_tmb_nehekhara_horsemen
disable	wh2_dlc09_disable_ritual_nehekhara_warriors	wh2_dlc09_ritual_crafting_tmb_nehekhara_warriors
percentage_cost_mod	wh2_dlc09_effect_tmb_rite_cost_mod	wh2_dlc09_ritual_tmb_geheb
percentage_cost_mod	wh2_dlc09_effect_tmb_rite_cost_mod	wh2_dlc09_ritual_tmb_khsar
percentage_cost_mod	wh2_dlc09_effect_tmb_rite_cost_mod	wh2_dlc09_ritual_tmb_ptra
percentage_cost_mod	wh2_dlc09_effect_tmb_rite_cost_mod	wh2_dlc09_ritual_tmb_tahoth
percentage_cost_mod	wh2_dlc09_ritual_crafted_army_cost_increase	wh2_dlc09_ritual_crafting_tmb_army_capacity
percentage_cost_mod	wh2_dlc10_faction_trait_ritual_cost_alarielle	wh2_main_ritual_hef_isha
percentage_cost_mod	wh2_dlc11_cst_ritual_cost_all	wh2_dlc11_ritual_cst_bountiful_treasure
percentage_cost_mod	wh2_dlc11_cst_ritual_cost_all	wh2_dlc11_ritual_cst_eternal_service
percentage_cost_mod	wh2_dlc11_cst_ritual_cost_all	wh2_dlc11_ritual_cst_queens_cannon
percentage_cost_mod	wh2_dlc11_cst_ritual_cost_all	wh2_dlc11_ritual_cst_sea_mist
percentage_cost_mod	wh2_main_effect_mpc_vortex_ritual_cost	wh2_main_ritual_vortex_1_def
percentage_cost_mod	wh2_main_effect_mpc_vortex_ritual_cost	wh2_main_ritual_vortex_1_hef
percentage_cost_mod	wh2_main_effect_mpc_vortex_ritual_cost	wh2_main_ritual_vortex_1_lzd
percentage_cost_mod	wh2_main_effect_mpc_vortex_ritual_cost	wh2_main_ritual_vortex_1_skv
percentage_cost_mod	wh2_main_effect_mpc_vortex_ritual_cost	wh2_main_ritual_vortex_2_def
percentage_cost_mod	wh2_main_effect_mpc_vortex_ritual_cost	wh2_main_ritual_vortex_2_hef
percentage_cost_mod	wh2_main_effect_mpc_vortex_ritual_cost	wh2_main_ritual_vortex_2_lzd
percentage_cost_mod	wh2_main_effect_mpc_vortex_ritual_cost	wh2_main_ritual_vortex_2_skv
percentage_cost_mod	wh2_main_effect_mpc_vortex_ritual_cost	wh2_main_ritual_vortex_3_def
percentage_cost_mod	wh2_main_effect_mpc_vortex_ritual_cost	wh2_main_ritual_vortex_3_hef
percentage_cost_mod	wh2_main_effect_mpc_vortex_ritual_cost	wh2_main_ritual_vortex_3_lzd
percentage_cost_mod	wh2_main_effect_mpc_vortex_ritual_cost	wh2_main_ritual_vortex_3_skv
percentage_cost_mod	wh2_main_effect_mpc_vortex_ritual_cost	wh2_main_ritual_vortex_4_def
percentage_cost_mod	wh2_main_effect_mpc_vortex_ritual_cost	wh2_main_ritual_vortex_4_hef
percentage_cost_mod	wh2_main_effect_mpc_vortex_ritual_cost	wh2_main_ritual_vortex_4_lzd
percentage_cost_mod	wh2_main_effect_mpc_vortex_ritual_cost	wh2_main_ritual_vortex_4_skv
percentage_cost_mod	wh2_main_effect_mpc_vortex_ritual_cost	wh2_main_ritual_vortex_5_def
percentage_cost_mod	wh2_main_effect_mpc_vortex_ritual_cost	wh2_main_ritual_vortex_5_hef
percentage_cost_mod	wh2_main_effect_mpc_vortex_ritual_cost	wh2_main_ritual_vortex_5_lzd
percentage_cost_mod	wh2_main_effect_mpc_vortex_ritual_cost	wh2_main_ritual_vortex_5_skv
slave_percentage_cost_mod	wh2_main_effect_rite_slave_cost_mod	wh2_main_ritual_def_atharti
slave_percentage_cost_mod	wh2_main_effect_rite_slave_cost_mod	wh2_main_ritual_def_hekarti
slave_percentage_cost_mod	wh2_main_effect_rite_slave_cost_mod	wh2_main_ritual_def_khaine
slave_percentage_cost_mod	wh2_main_effect_rite_slave_cost_mod	wh2_main_ritual_def_mathlann
percentage_cost_mod	wh2_main_faction_trait_ritual_cost_mazdamundi	wh2_main_ritual_lzd_awakening
percentage_cost_mod	wh2_main_faction_trait_ritual_cost_mazdamundi	wh2_main_ritual_lzd_ferocity
percentage_cost_mod	wh2_main_faction_trait_ritual_cost_mazdamundi	wh2_main_ritual_lzd_primeval_glory
percentage_cost_mod	wh2_main_faction_trait_ritual_cost_mazdamundi	wh2_main_ritual_lzd_sotek
percentage_cost_mod	wh2_main_faction_trait_ritual_cost_skrolk	wh2_main_ritual_skv_pestilence
