effect_bonus_value_special_ability_phase_record_junctions_tables	0
bonus_value_id	effect	special_ability_phase
active	wh2_dlc10_effect_character_stat_enable_contaminated_attacks	wh2_main_unit_contact_plague_monk_censer_morale
active	wh2_dlc10_effect_character_stat_sundering_attacks	wh_dlc06_unit_contact_sundered_armour
active	wh2_main_effect_character_stat_enable_discourage_attacks	wh_dlc06_unit_contact_discouraged
active	wh_dlc04_effect_character_stat_enable_helmans_blight_attacks_hidden	wh_dlc04_unit_contact_helmans_blight
active	wh_dlc06_effect_character_stat_enable_skarsniks_brew_attacks	wh_main_unit_contact_poison
active	wh_dlc08_effect_character_stat_enable_frostbite_attacks	wh_dlc08_unit_contact_frostbite
active	wh_main_effect_character_stat_enable_poison_attacks_dummy	wh_dlc04_unit_contact_helmans_blight
active	wh_main_effect_character_stat_enable_poison_attacks_hidden	wh_main_unit_contact_poison
active	wh_main_effect_character_stat_enable_poison_attacks	wh_main_unit_contact_poison
