effect_bonus_value_unit_attribute_junctions_tables	0
bonus_value_id	effect	unit_attribute
enable	wh2_dlc10_effect_enable_attribute_snipe	snipe
enable	wh2_dlc10_effect_unit_enable_attribute_perfect_vigour	fatigue_immune
enable	wh2_dlc10_effect_unit_enable_attribute_rampage	rampage
enable	wh2_dlc10_unit_enable_attribute_rampage	rampage
enable	wh2_dlc11_anc_banner_skull_and_crossbones	guerrilla_deploy
enable	wh_dlc03_effect_unit_enable_attribute_unbreakable	unbreakable
enable	wh_dlc08_effect_unit_enable_attribute_fear_wulfrik	causes_fear
enable	wh_main_effect_unit_enable_attribute_expert_charge_defence	charge_reflector
enable	wh_main_effect_unit_enable_attribute_fear	causes_fear
enable	wh_main_effect_unit_enable_attribute_guerrilla_deployment_dummy	guerrilla_deploy
enable	wh_main_effect_unit_enable_attribute_guerrilla_deployment_hidden	guerrilla_deploy
enable	wh_main_effect_unit_enable_attribute_guerrilla_deployment	guerrilla_deploy
enable	wh_main_effect_unit_enable_attribute_immune_to_psychology	immune_to_psychology
enable	wh_main_effect_unit_enable_attribute_stalk	stalk
enable	wh_main_effect_unit_enable_attribute_strider	ignore_forest_penalties
enable	wh_main_effect_unit_enable_attribute_terror	causes_terror
enable	wh_main_effect_unit_enable_attribute_unbreakable	unbreakable
