effect_bundles_tables	1
key	localised_description	localised_title	ui_icon	bundle_target
wh2_dlc09_books_of_nagash_reward_1	 	First Book of Nagash	books_of_nagash.png	faction
wh2_dlc09_books_of_nagash_reward_2	 	Second Book of Nagash	books_of_nagash.png	faction
wh2_dlc09_books_of_nagash_reward_3	 	Third Book of Nagash	books_of_nagash.png	faction
wh2_dlc09_books_of_nagash_reward_3_army	 	Third Book of Nagash	books_of_nagash.png	force
wh2_dlc09_books_of_nagash_reward_3_region_occupy	 	Third Book of Nagash	books_of_nagash.png	region
wh2_dlc09_books_of_nagash_reward_3_region_sack	 	Third Book of Nagash	books_of_nagash.png	region
wh2_dlc09_books_of_nagash_reward_4	 	Fourth Book of Nagash	books_of_nagash.png	faction
wh2_dlc09_books_of_nagash_reward_5	 	Fifth Book of Nagash	books_of_nagash.png	faction
wh2_dlc09_books_of_nagash_reward_6	 	Sixth Book of Nagash	books_of_nagash.png	faction
wh2_dlc09_books_of_nagash_reward_7	 	Seventh Book of Nagash	books_of_nagash.png	faction
wh2_dlc09_books_of_nagash_reward_8	 	Eighth Book of Nagash	books_of_nagash.png	faction
wh2_dlc09_books_of_nagash_reward_9	 	Ninth Book of Nagash	books_of_nagash.png	faction
wh2_dlc09_bundle_book_rogue_army	[HIDDEN]	[HIDDEN]	 	force
wh2_dlc09_bundle_captives_enslave_tomb_kings	Binding the souls of its enemies has improved this army's replenishment.	Bind Souls	replenishment.png	force
wh2_dlc09_bundle_captives_release_tomb_kings	This army marches on.	Endless March	campaign_movement.png	force
wh2_dlc09_bundle_force_siege_equipment_tmb	[HIDDEN] Adds TOMB KING siege equipment	[HIDDEN]	 	force
wh2_dlc09_bundle_magic_standard_banner_of_the_hidden_dead	 	Banner of the Hidden Dead	public_order.png	character
wh2_dlc09_bundle_magic_standard_standard_of_the_undying_legion	 	Standard of the Undying Legion	public_order.png	character
wh2_dlc09_bundle_quest_battle_full_hide	 	 	 	force
wh2_dlc09_bundle_stance_army_ambush_settlement_tomb_kings	Buried among the desert sands, the Tomb Kings’ guardians lie in wait for their prey, whilst also replenishing their own numbers.	Stance: Entombed Beneath the Sands	icon_effects_fortify.png	force
wh2_dlc09_bundle_tmb_final_battle_army_abilities_arkhan	 	 	 	force
wh2_dlc09_bundle_tmb_final_battle_army_abilities_barrage	 	 	 	force
wh2_dlc09_bundle_tmb_final_battle_army_abilities_swarm	 	 	 	force
wh2_dlc09_bundle_tretch_retreat	Tretch has scurried away, ready for a counterattack on his own terms!	Fighting On His Own Terms	melee.png	force
wh2_dlc09_bundle_tretch_treaty_broken	Tretch has broken a treaty - back-stabbing is an art form!	A Broken Treaty	public_order.png	faction
wh2_dlc09_decrease_army_cap_1	 	 	 	faction
wh2_dlc09_decrease_army_cap_2	 	 	 	faction
wh2_dlc09_decrease_army_cap_3	 	 	 	faction
wh2_dlc09_decrease_army_cap_4	 	 	 	faction
wh2_dlc09_decrease_army_cap_5	 	 	 	faction
wh2_dlc09_decrease_army_cap_6	 	 	 	faction
wh2_dlc09_decrease_army_cap_7	 	 	 	faction
wh2_dlc09_decrease_army_cap_8	 	 	 	faction
wh2_dlc09_dilemma_increase_cap_liche_priest_hero	 	Hero Capacity Increase	wizard.png	faction
wh2_dlc09_dilemma_increase_cap_necrotect_hero	 	Hero Capacity Increase	necrotect.png	faction
wh2_dlc09_dilemma_increase_cap_tomb_prince_hero	 	Hero Capacity Increase	tomb_prince.png	faction
wh2_dlc09_disable_crafting	[HIDDEN]	[HIDDEN]	 	faction
wh2_dlc09_edict_tmb_worship_of_asaph	 	Worship of Asaph	edict_tmb_worship_of_asaph.png	province
wh2_dlc09_edict_tmb_worship_of_djaf	 	Worship of Djaf	edict_tmb_worship_of_djaf.png	province
wh2_dlc09_edict_tmb_worship_of_khsar	 	Worship of Khsar	edict_tmb_worship_of_khsar.png	province
wh2_dlc09_edict_tmb_worship_of_phakth	 	Worship of Phakth	edict_tmb_worship_of_phakth.png	province
wh2_dlc09_edict_tmb_worship_of_ptra	 	Worship of Ptra	edict_tmb_worship_of_ptra.png	province
