effect_bundles_to_effects_junctions_tables	2
effect_bundle_key	effect_key	effect_scope	value	advancement_stage
wh2_dlc09_books_of_nagash_reward_1	wh2_main_effect_agent_cap_increase_all_heroes	faction_to_faction_own_unseen	1	start_turn_completed
wh2_dlc09_books_of_nagash_reward_1	wh_main_effect_agent_action_cost_mod	faction_to_character_own_unseen	-50	start_turn_completed
wh2_dlc09_books_of_nagash_reward_1	wh_main_effect_agent_action_success_chance	faction_to_character_own_unseen	10	start_turn_completed
wh2_dlc09_books_of_nagash_reward_2	wh2_dlc09_books_of_nagash_reward_2_campaign_dummy	faction_to_faction_own_unseen	1	start_turn_completed
wh2_dlc09_books_of_nagash_reward_2	wh_main_effect_economy_trade_tariff_mod	faction_to_faction_own_unseen	20	start_turn_completed
wh2_dlc09_books_of_nagash_reward_3_army	wh_main_effect_force_all_campaign_replenishment_rate	force_to_force_own	15	start_turn_completed
wh2_dlc09_books_of_nagash_reward_3_region_occupy	wh_main_effect_campaign_enable_attrition	region_to_force_enemy	1	start_turn_completed
wh2_dlc09_books_of_nagash_reward_3_region_occupy	wh_main_effect_force_all_campaign_movement_range	region_to_force_enemy	-15	start_turn_completed
wh2_dlc09_books_of_nagash_reward_3_region_sack	wh_main_effect_campaign_enable_attrition	region_to_force_own	1	start_turn_completed
wh2_dlc09_books_of_nagash_reward_3_region_sack	wh_main_effect_force_all_campaign_movement_range	region_to_force_own	-15	start_turn_completed
wh2_dlc09_books_of_nagash_reward_3	wh2_dlc09_books_of_nagash_reward_3_army_dummy	faction_to_faction_own_unseen	15	start_turn_completed
wh2_dlc09_books_of_nagash_reward_3	wh2_dlc09_books_of_nagash_reward_3_region_dummy	faction_to_faction_own_unseen	1	start_turn_completed
wh2_dlc09_books_of_nagash_reward_3	wh2_dlc09_effect_force_army_campaign_attrition_sandstorm_immunity	faction_to_force_own_unseen	1	start_turn_completed
wh2_dlc09_books_of_nagash_reward_4	wh2_dlc09_pooled_resource_canopic_jars_book_dummy	faction_to_faction_own_unseen	250	start_turn_completed
wh2_dlc09_books_of_nagash_reward_4	wh_main_effect_character_wound_recovery_time_mod	faction_to_character_own	-1	start_turn_completed
wh2_dlc09_books_of_nagash_reward_4	wh_main_faction_xp_increase_generals	faction_to_province_own_unseen	3	start_turn_completed
wh2_dlc09_books_of_nagash_reward_5	wh2_dlc09_effect_increase_army_capacity	faction_to_faction_own_unseen	1	start_turn_completed
wh2_dlc09_books_of_nagash_reward_5	wh2_dlc09_effect_unit_cap_tmb_book_tomb_guard_chariots	faction_to_faction_own_unseen	5	start_turn_completed
