Loc PackedFile	1
key	text	tooltip
event_feed_subcategories_subcategory_title_wh_event_subcategory_military_army_developments	Army Reports	true
event_feed_subcategories_subcategory_title_wh_event_subcategory_conquest_enemy_raids	Raids	true
event_feed_subcategories_subcategory_title_wh_event_subcategory_diplomacy_treaty_broken_manipulated	Treaties Manipulated	true
event_feed_subcategories_subcategory_title_wh_event_subcategory_provinces_buildings	Buildings	true
event_feed_subcategories_subcategory_title_wh_event_subcategory_military_attrition	Attrition	true
event_feed_subcategories_subcategory_title_wh_event_subcategory_diplomacy_treaty_negotiated	Treaties Negotiated	true
event_feed_subcategories_subcategory_title_wh_event_subcategory_diplomacy_war_coordination	War Co-ordination	true
event_feed_subcategories_subcategory_title_wh_event_subcategory_conquest_occupation	Occupation	true
event_feed_subcategories_subcategory_title_wh_event_subcategory_character_development	Character Developments	true
event_feed_subcategories_subcategory_title_wh_event_subcategory_character_ancillaries	Equipment	true
event_feed_subcategories_subcategory_title_wh_event_subcategory_agent_action	Hero Actions	true
event_feed_subcategories_subcategory_title_wh_event_subcategory_world_climate	Winds of Magic Change	true
event_feed_subcategories_subcategory_title_wh_event_subcategory_faction_developments	Faction Developments	true
event_feed_subcategories_subcategory_title_wh_event_subcategory_conquest_territorial_disputes	Territorial Disputes	true
event_feed_subcategories_subcategory_title_wh_event_subcategory_diplomacy_war_peace	War & Peace	true
event_feed_subcategories_subcategory_title_wh_event_subcategory_faction_missions_objectives	Missions & Objectives	true
event_feed_subcategories_subcategory_title_wh_event_subcategory_faction_crises	Faction Crises	true
event_feed_subcategories_subcategory_title_wh_event_subcategory_conquest_siege_blockade	Sieges & Blockades	true
event_feed_subcategories_subcategory_title_wh_event_subcategory_military_ambushes	Ambushes	true
event_feed_subcategories_subcategory_title_wh_event_subcategory_provinces_crises	Provincial Crises	true
event_feed_subcategories_subcategory_title_wh_event_subcategory_faction_event_dilemma_incident	Dilemmas & Incidents	true
event_feed_subcategories_subcategory_title_wh_event_subcategory_character_traits	Traits	true
event_feed_subcategories_subcategory_title_wh_event_subcategory_provinces_developments	Provincial Developments	true
event_feed_subcategories_subcategory_title_wh_event_subcategory_faction_rituals	Rituals	true
event_feed_subcategories_subcategory_title_wh_event_subcategory_conquest_battle	Battles	true
event_feed_subcategories_subcategory_title_wh_event_subcategory_character_deaths	Deaths & Injuries	true
event_feed_subcategories_subcategory_title_wh_event_subcategory_diplomacy_state_matters	Diplomatic Reports	true
event_feed_subcategories_subcategory_title_wh_event_subcategory_diplomacy_treaty_broken	Treaties Broken	true
event_feed_subcategories_subcategory_title_wh_event_subcategory_military_unit_recruited	Recruitment	true
event_feed_subcategories_subcategory_title_wh_event_subcategory_agent_recruited	Hero Recruitment	true
