Loc PackedFile	1
key	text	tooltip
event_feed_summary_events_title_conquest_province_contested	Provinces Contested	true
event_feed_summary_events_title_provinces_settlement_looted	Settlements Looted	true
event_feed_summary_events_title_military_attrition	Attrition Casualties	true
event_feed_summary_events_title_diplomacy_faction_encountered	Factions Encountered	true
event_feed_summary_events_title_provinces_settlement_razed	Settlements Razed	true
event_feed_summary_events_title_provinces_settlement_sacked	Settlements Sacked	true
event_feed_summary_events_title_character_rank_gained	Rank Gained	true
event_feed_summary_events_title_agent_action_vs_settlement	Hero Activity vs. Settlements	true
event_feed_summary_events_title_diplomacy_trespassing	Trespasses	true
event_feed_summary_events_title_provinces_unrest_rebellion	Rebellions	true
event_feed_summary_events_title_horde_development_points_available	Population Surplus	true
event_feed_summary_events_title_character_dies_battle	Deaths: Battle	true
event_feed_summary_events_title_conquest_sea_region_contested	Sea Regions Contested	true
event_feed_summary_events_title_character_ancillary_gained	Equipment Gained	true
event_feed_summary_events_title_character_trait_lost	Traits Lost	true
event_feed_summary_events_title_provinces_unrest_imminent_rebellion	Imminent Rebellions	true
event_feed_summary_events_title_agent_action_vs_army_with_immortal_general	Hero Activity vs. Armies	true
event_feed_summary_events_title_agent_action_vs_army	Hero Activity vs. Armies	true
event_feed_summary_events_title_conquest_settlement_captured	Territorial Disputes	true
event_feed_summary_events_title_faction_resource_lost	Resources Lost	true
event_feed_summary_events_title_agent_action_vs_immortal_character	Hero Activity vs. Heroes	true
event_feed_summary_events_title_diplomacy_faction_destroyed	Factions Destroyed	true
event_feed_summary_events_title_character_trait_gained	Traits Gained	true
event_feed_summary_events_title_agent_action_vs_character	Hero Activity vs. Heroes	true
event_feed_summary_events_title_faction_resource_gained	Resources Gained	true
event_feed_summary_events_title_character_dies_hostile	Deaths: Hostile Activity	true
event_feed_summary_events_title_provinces_building_constructed	Buildings Constructed	true
event_feed_summary_events_title_faction_ancillary_gained	Equipment Gained	true
event_feed_summary_events_title_diplomacy_treaty_negotiated_peace	Peace Negotiated	true
event_feed_summary_events_title_character_ancillary_lost	Equipment Lost	true
event_feed_summary_events_title_diplomacy_war_declared	War Declared	true
event_feed_summary_events_title_military_companion_army	{{tr:event_feed_summary_events_military_companion_army}}	true
event_feed_summary_events_title_conquest_sea_region_controlled	Sea Regions Controlled	true
event_feed_summary_events_title_character_ready_for_duty	Ready for Duty	true
event_feed_summary_events_title_horde_unrest_imminent_rebellion	Imminent Mutinies	true
event_feed_summary_events_title_conquest_battle	Battle Reports	true
event_feed_summary_events_title_faction_civil_war_force	Mutinies	true
event_feed_summary_events_title_conquest_province_secured	Provinces Secured	true
event_feed_summary_events_title_diplomacy_faction_emerges	Factions Emerged	true
event_feed_summary_events_title_conquest_enemy_raid_settlement	Regional Raiding	true
event_feed_summary_events_title_character_ancillary_lost_stolen	Equipment Stolen	true
event_feed_summary_events_title_military_unit_recruited	Units Recruited	true
event_feed_summary_events_title_military_companion_army_dispands	{{tr:event_feed_summary_events_military_companion_army_dispands}}	true
event_feed_summary_events_title_faction_ancillary_gained_stolen	Equipment Stolen	true
event_feed_summary_events_title_provinces_development_points_available	Population Surplus	true
event_feed_summary_events_title_character_dies_suspicious	Deaths: Suspicious	true
