faction_political_parties_junctions_tables	0
faction_key	political_party_key
wh2_dlc09_skv_clan_rictus	wh2_dlc09_political_party_skv_tretch_craventail
wh2_dlc09_tmb_followers_of_nagash	wh2_dlc09_political_party_tmb_arkhan
wh2_dlc09_tmb_lybaras	wh2_dlc09_political_party_tmb_khalida
wh2_dlc09_tmb_exiles_of_nehek	wh2_dlc09_political_party_tmb_khatep
wh2_dlc09_tmb_khemri	wh2_dlc09_political_party_tmb_settra
wh2_dlc09_skv_clan_rictus	wh2_dlc09_political_party_vor_skv_tretch_craventail
wh2_dlc09_tmb_followers_of_nagash	wh2_dlc09_political_party_vor_tmb_arkhan
wh2_dlc09_tmb_lybaras	wh2_dlc09_political_party_vor_tmb_khalida
wh2_dlc09_tmb_exiles_of_nehek	wh2_dlc09_political_party_vor_tmb_khatep
wh2_dlc09_tmb_khemri	wh2_dlc09_political_party_vor_tmb_settra
wh2_main_def_har_ganeth	wh2_dlc10_political_party_def_hellebron
wh2_main_hef_avelorn	wh2_dlc10_political_party_hef_alarielle
wh2_main_hef_nagarythe	wh2_dlc10_political_party_hef_alith_anar
wh2_main_def_har_ganeth	wh2_dlc10_political_party_vor_def_hellebron
wh2_main_hef_avelorn	wh2_dlc10_political_party_vor_hef_alarielle
wh2_main_hef_nagarythe	wh2_dlc10_political_party_vor_hef_alith_anar
wh2_dlc11_cst_noctilus	wh2_dlc11_political_party_cst_noctilus_ruler
wh2_dlc11_cst_pirates_of_sartosa	wh2_dlc11_political_party_cst_sartosa_council
wh2_dlc11_cst_pirates_of_sartosa	wh2_dlc11_political_party_cst_sartosa_ruler
wh2_dlc11_cst_the_drowned	wh2_dlc11_political_party_cst_the_drowned_council
wh2_dlc11_cst_the_drowned	wh2_dlc11_political_party_cst_the_drowned_ruler
wh2_dlc11_def_the_blessed_dread	wh2_dlc11_political_party_def_lokhir_fellheart_ruler
wh2_dlc11_cst_vampire_coast	wh2_dlc11_political_party_vampire_coast_council
wh2_dlc11_cst_vampire_coast	wh2_dlc11_political_party_vampire_coast_ruler
wh2_dlc11_cst_noctilus	wh2_dlc11_political_party_vor_cst_noctilus_ruler
wh2_dlc11_cst_pirates_of_sartosa	wh2_dlc11_political_party_vor_cst_sartosa_ruler
wh2_dlc11_cst_the_drowned	wh2_dlc11_political_party_vor_cst_the_drowned_ruler
wh2_dlc11_def_the_blessed_dread	wh2_dlc11_political_party_vor_def_lokhir_fellheart_ruler
wh2_dlc11_cst_vampire_coast	wh2_dlc11_political_party_vor_vampire_coast_ruler
wh2_dlc12_lzd_cult_of_sotek	wh2_dlc12_political_party_lzd_tehenhauin
wh2_main_lzd_tlaqua	wh2_dlc12_political_party_lzd_tiktaqto
wh2_main_skv_clan_skyre	wh2_dlc12_political_party_skv_ikit_claw
wh2_dlc12_lzd_cult_of_sotek	wh2_dlc12_political_party_vor_lzd_tehenhauin
wh2_main_lzd_tlaqua	wh2_dlc12_political_party_vor_lzd_tiktaqto
wh2_main_skv_clan_skyre	wh2_dlc12_political_party_vor_skv_ikit_claw
wh2_main_def_naggarond	wh2_main_political_party_def_malekith
wh2_main_def_cult_of_pleasure	wh2_main_political_party_def_morathi
wh2_main_hef_order_of_loremasters	wh2_main_political_party_hef_teclis
wh2_main_hef_eataine	wh2_main_political_party_hef_tyrion
wh2_main_lzd_last_defenders	wh2_main_political_party_lzd_kroq_gar
wh2_main_lzd_hexoatl	wh2_main_political_party_lzd_lord_mazdamundi
wh2_main_skv_clan_pestilens	wh2_main_political_party_skv_lord_skrolk
wh2_main_skv_clan_mors	wh2_main_political_party_skv_queek_headtaker
wh2_main_def_naggarond	wh2_main_political_party_vor_def_malekith
wh2_main_def_cult_of_pleasure	wh2_main_political_party_vor_def_morathi
wh2_main_hef_order_of_loremasters	wh2_main_political_party_vor_hef_teclis
wh2_main_hef_eataine	wh2_main_political_party_vor_hef_tyrion
wh2_main_lzd_last_defenders	wh2_main_political_party_vor_lzd_kroq_gar
wh2_main_lzd_hexoatl	wh2_main_political_party_vor_lzd_lord_mazdamundi
wh2_main_skv_clan_pestilens	wh2_main_political_party_vor_skv_lord_skrolk
wh2_main_skv_clan_mors	wh2_main_political_party_vor_skv_queek_headtaker
wh_dlc03_bst_beastmen	wh_dlc03_political_party_beastmen_council
wh_dlc03_bst_beastmen	wh_dlc03_political_party_beastmen_ruler
wh_dlc05_wef_wood_elves	wh_dlc05_political_party_wood_elves_council
wh_dlc05_wef_argwylon	wh_dlc05_political_party_wood_elves_durthu
wh_dlc05_wef_argwylon	wh_dlc05_political_party_wood_elves_durthu_council
wh_dlc05_wef_wood_elves	wh_dlc05_political_party_wood_elves_ruler
wh_main_dwf_karak_izor	wh_dlc06_political_party_belegar_council
wh_main_dwf_karak_izor	wh_dlc06_political_party_belegar_ruler
wh_main_grn_crooked_moon	wh_dlc06_political_party_skarsnik_council
wh_main_grn_crooked_moon	wh_dlc06_political_party_skarsnik_ruler
wh_main_grn_orcs_of_the_bloody_hand	wh_dlc06_political_party_wurrzag_council
wh_main_grn_orcs_of_the_bloody_hand	wh_dlc06_political_party_wurrzag_ruler
wh_main_brt_bordeleaux	wh_dlc07_political_party_bretonnia_alberic
wh_main_brt_bretonnia	wh_dlc07_political_party_bretonnia_council
wh_main_brt_bordeleaux	wh_dlc07_political_party_bretonnia_council_alberic
wh_main_brt_carcassonne	wh_dlc07_political_party_bretonnia_council_fay
wh_main_brt_carcassonne	wh_dlc07_political_party_bretonnia_fay
