faction_to_faction_groups_junctions_tables	0
faction_group_key	faction_key
wh2_main_fact_group_rogue	wh2_dlc09_rogue_black_creek_raiders
wh2_main_fact_group_rogue	wh2_dlc09_rogue_dwellers_of_zardok
wh2_main_fact_group_rogue	wh2_dlc09_rogue_eyes_of_the_jungle
wh2_main_fact_group_rogue	wh2_dlc09_rogue_pilgrims_of_myrmidia
wh2_main_fact_group_skaven	wh2_dlc09_skv_clan_rictus
wh2_main_fact_group_skaven	wh2_dlc09_skv_clan_rictus_separatists
wh2_dlc09_fact_group_tomb_kings	wh2_dlc09_tmb_dune_kingdoms
wh2_dlc09_fact_group_tomb_kings	wh2_dlc09_tmb_exiles_of_nehek
wh2_dlc09_fact_group_tomb_kings	wh2_dlc09_tmb_followers_of_nagash
wh2_dlc09_fact_group_tomb_kings	wh2_dlc09_tmb_khemri
wh2_dlc09_fact_group_tomb_kings	wh2_dlc09_tmb_lybaras
wh2_dlc09_fact_group_tomb_kings	wh2_dlc09_tmb_numas
wh2_dlc09_fact_group_tomb_kings	wh2_dlc09_tmb_rakaph_dynasty
wh2_dlc09_fact_group_tomb_kings	wh2_dlc09_tmb_the_sentinels
wh2_dlc09_fact_group_tomb_kings	wh2_dlc09_tmb_tomb_kings_rebels
wh2_main_fact_group_dark_elves	wh2_dlc10_def_blood_voyage
wh2_main_fact_group_rogue	wh2_dlc11_cst_harpoon_the_sunken_land_corsairs
wh2_dlc11_fact_group_vampire_coast	wh2_dlc11_cst_noctilus
wh2_dlc11_fact_group_vampire_coast	wh2_dlc11_cst_pirates_of_sartosa
wh2_main_fact_group_rogue	wh2_dlc11_cst_rogue_bleak_coast_buccaneers
wh2_main_fact_group_rogue	wh2_dlc11_cst_rogue_boyz_of_the_forbidden_coast
wh2_main_fact_group_rogue	wh2_dlc11_cst_rogue_freebooters_of_port_royale
wh2_main_fact_group_rogue	wh2_dlc11_cst_rogue_grey_point_scuttlers
wh2_main_fact_group_rogue	wh2_dlc11_cst_rogue_terrors_of_the_dark_straights
wh2_main_fact_group_rogue	wh2_dlc11_cst_rogue_the_churning_gulf_raiders
wh2_main_fact_group_rogue	wh2_dlc11_cst_rogue_tyrants_of_the_black_ocean
wh2_main_fact_group_rogue	wh2_dlc11_cst_shanty_dragon_spine_privateers
wh2_main_fact_group_rogue	wh2_dlc11_cst_shanty_middle_sea_brigands
wh2_main_fact_group_rogue	wh2_dlc11_cst_shanty_shark_straight_seadogs
