frontend_faction_effect_groups_tables	0
campaign	faction_leader	group_key	ui_section
	wh2_dlc09_political_party_tmb_arkhan	wh2_dlc09_arkhan_faction	faction_traits
	wh2_dlc09_political_party_tmb_arkhan	wh2_dlc09_arkhan_leader	lord_traits
	wh2_dlc09_political_party_tmb_khalida	wh2_dlc09_khalida_faction	faction_traits
	wh2_dlc09_political_party_tmb_khalida	wh2_dlc09_khalida_leader	lord_traits
	wh2_dlc09_political_party_tmb_khatep	wh2_dlc09_khatep_faction	faction_traits
	wh2_dlc09_political_party_tmb_khatep	wh2_dlc09_khatep_leader	lord_traits
	wh2_dlc09_political_party_tmb_settra	wh2_dlc09_settra_faction	faction_traits
	wh2_dlc09_political_party_tmb_settra	wh2_dlc09_settra_leader	lord_traits
	wh2_dlc09_political_party_skv_tretch_craventail	wh2_dlc09_tretch_faction	faction_traits
	wh2_dlc09_political_party_skv_tretch_craventail	wh2_dlc09_tretch_leader	lord_traits
	wh2_dlc09_political_party_vor_tmb_arkhan	wh2_dlc09_vor_arkhan_faction	faction_traits
	wh2_dlc09_political_party_vor_tmb_arkhan	wh2_dlc09_vor_arkhan_leader	lord_traits
	wh2_dlc09_political_party_vor_tmb_khalida	wh2_dlc09_vor_khalida_faction	faction_traits
	wh2_dlc09_political_party_vor_tmb_khalida	wh2_dlc09_vor_khalida_leader	lord_traits
	wh2_dlc09_political_party_vor_tmb_khatep	wh2_dlc09_vor_khatep_faction	faction_traits
	wh2_dlc09_political_party_vor_tmb_khatep	wh2_dlc09_vor_khatep_leader	lord_traits
	wh2_dlc09_political_party_vor_tmb_settra	wh2_dlc09_vor_settra_faction	faction_traits
	wh2_dlc09_political_party_vor_tmb_settra	wh2_dlc09_vor_settra_leader	lord_traits
	wh2_dlc09_political_party_vor_skv_tretch_craventail	wh2_dlc09_vor_tretch_faction	faction_traits
	wh2_dlc09_political_party_vor_skv_tretch_craventail	wh2_dlc09_vor_tretch_leader	lord_traits
	wh2_dlc10_political_party_hef_alarielle	wh2_dlc10_alarielle_faction	faction_traits
	wh2_dlc10_political_party_hef_alarielle	wh2_dlc10_alarielle_leader	lord_traits
	wh2_dlc10_political_party_hef_alith_anar	wh2_dlc10_alith_anar_faction	faction_traits
	wh2_dlc10_political_party_hef_alith_anar	wh2_dlc10_alith_anar_leader	lord_traits
	wh2_dlc10_political_party_def_hellebron	wh2_dlc10_hellebron_faction	faction_traits
