frontend_faction_effect_junctions_tables	1
effect	group	value	scope
wh2_dlc09_effect_book_vampire_units	wh2_dlc09_arkhan_faction	1	faction_to_force_own_unseen
wh2_dlc09_effect_religion_undeath_public_order_dummy	wh2_dlc09_arkhan_faction	1	faction_to_faction_own_unseen
wh2_dlc09_faction_diplomacy_bonus_tombkings	wh2_dlc09_arkhan_faction	-50	faction_to_faction_own_unseen
wh_main_effect_military_force_winds_of_magic_depletion_mod_other	wh2_dlc09_arkhan_faction	10	faction_to_force_own
wh_main_faction_diplomacy_penalty_vampire_counts	wh2_dlc09_arkhan_faction	20	faction_to_faction_own_unseen
wh2_dlc09_effect_melee_attack_tmb_characters	wh2_dlc09_arkhan_leader	5	general_to_force_own
wh2_dlc09_effect_melee_defence_tmb_characters	wh2_dlc09_arkhan_leader	5	general_to_force_own
wh2_dlc09_faction_diplomacy_bonus_tombkings	wh2_dlc09_khalida_faction	20	faction_to_faction_own_unseen
wh2_dlc09_tmb_lord_trait_khalida_climate_dummy	wh2_dlc09_khalida_faction	1	faction_to_faction_own_unseen
wh_main_effect_force_unit_stat_ammunition	wh2_dlc09_khalida_faction	20	faction_to_force_own
wh_main_effect_character_stat_enable_poison_attacks	wh2_dlc09_khalida_leader	1	general_to_force_own
wh_main_effect_force_army_campaign_attrition_all_resistance	wh2_dlc09_khalida_leader	-50	general_to_force_own
wh_main_effect_religion_conversion_untainted	wh2_dlc09_khalida_leader	3	character_to_character_own_provincetext
wh2_dlc09_pooled_resource_canopic_jars_characters	wh2_dlc09_khatep_faction	2	faction_to_faction_own_unseen
wh2_dlc09_tmb_lord_trait_khatep_climate_dummy	wh2_dlc09_khatep_faction	1	faction_to_faction_own_unseen
wh2_main_faction_political_diplomacy_mod_darkelves	wh2_dlc09_khatep_faction	-40	faction_to_faction_own_unseen
wh_main_effect_force_all_campaign_movement_range	wh2_dlc09_khatep_faction	5	faction_to_force_own
wh_main_effect_force_all_campaign_replenishment_rate	wh2_dlc09_khatep_faction	10	faction_to_force_own
wh2_dlc09_effect_agent_cap_increase_tmb_liche_priest	wh2_dlc09_khatep_leader	2	faction_to_faction_own_unseen
wh2_dlc09_effect_agent_recruitment_xp_tmb_liche_priest	wh2_dlc09_khatep_leader	3	faction_to_province_own_unseen
wh_main_effect_building_construction_time_mod_settlement	wh2_dlc09_settra_faction	-1	faction_to_region_own_unseen
wh_main_effect_province_growth_other	wh2_dlc09_settra_faction	10	faction_to_province_own
wh_main_effect_public_order_faction	wh2_dlc09_settra_faction	2	faction_to_province_own
wh2_dlc09_effect_replenishment_tomb_guard_chariots	wh2_dlc09_settra_leader	10	general_to_force_own
wh_main_effect_character_stat_mod_personal_aura_size	wh2_dlc09_settra_leader	100	character_to_character_own
wh2_dlc09_effect_public_order_broken_treaty_dummy	wh2_dlc09_tretch_faction	4	faction_to_faction_own_unseen
wh2_dlc09_tmb_lord_trait_tretch_climate_1_dummy	wh2_dlc09_tretch_faction	1	faction_to_faction_own_unseen
wh2_dlc09_tmb_lord_trait_tretch_climate_2_dummy	wh2_dlc09_tretch_faction	-1	faction_to_faction_own_unseen
