Loc PackedFile	1
key	text	tooltip
honour_factors_localised_positive_name_base	text_rejected	true
honour_factors_localised_negative_name_dishonouring_alliance	text_rejected	true
honour_factors_localised_positive_name_dishonouring_alliance	text_rejected	true
honour_factors_localised_positive_name_looting_city	text_rejected	true
honour_factors_localised_positive_name_bonus_values	text_rejected	true
honour_factors_localised_negative_name_looting_city	text_rejected	true
honour_factors_localised_negative_name_bonus_values	text_rejected	true
honour_factors_localised_negative_name_assassination_attempt	text_rejected	true
honour_factors_localised_positive_name_assassination_attempt	text_rejected	true
honour_factors_localised_negative_name_base	text_rejected	true
honour_factors_localised_positive_name_threatening_with_empty_words	text_rejected	true
honour_factors_localised_negative_name_threatening_with_empty_words	text_rejected	true
honour_factors_localised_positive_name_bankruptcy	text_rejected	true
honour_factors_localised_negative_name_bankruptcy	text_rejected	true
honour_factors_localised_positive_name_being_christian	text_rejected	true
honour_factors_localised_negative_name_being_christian	text_rejected	true
honour_factors_localised_positive_name_acquired_vassal	text_rejected	true
honour_factors_localised_positive_name_battles	text_rejected	true
honour_factors_localised_positive_name_payload	text_rejected	true
honour_factors_localised_negative_name_acquired_vassal	text_rejected	true
honour_factors_localised_negative_name_battles	text_rejected	true
honour_factors_localised_positive_name_becoming_christian	text_rejected	true
honour_factors_localised_negative_name_payload	text_rejected	true
honour_factors_localised_negative_name_becoming_christian	text_rejected	true
