incidents_tables	5
generate	key	ui_image	prioritised	event_category
false	wh2_dlc09_great_vortex_settra_the_crown_of_nehekhara_stage_3_a	generic	false	Quest
false	wh2_dlc09_great_vortex_settra_the_crown_of_nehekhara_stage_3_b	generic	false	Quest
false	wh2_dlc09_great_vortex_tmb_arkhan_the_tomb_blade_of_arkhan_stage_3a	generic	false	Quest
false	wh2_dlc09_great_vortex_tmb_arkhan_the_tomb_blade_of_arkhan_stage_3b	generic	false	Quest
false	wh2_dlc09_incident_tmb_campaign_won	unique_books_of_nagash	true	Event
false	wh2_dlc09_incident_tmb_sand_storm_spawned	wh2_desert_attrition	false	Quest
false	wh2_dlc09_settra_the_crown_of_nehekhara_stage_3_a	generic	false	Quest
false	wh2_dlc09_settra_the_crown_of_nehekhara_stage_3_b	generic	false	Quest
false	wh2_dlc09_tmb_arkhan_the_tomb_blade_of_arkhan_stage_3a	generic	false	Quest
false	wh2_dlc09_tmb_arkhan_the_tomb_blade_of_arkhan_stage_3b	generic	false	Quest
true	wh2_dlc09_tmb_incident_a_noble_mistake	army_morale_up	false	Event
true	wh2_dlc09_tmb_incident_boiling_point	messenger	false	Event
true	wh2_dlc09_tmb_incident_cache_of_asaph	messenger	false	Event
true	wh2_dlc09_tmb_incident_glimpse_into_the_realm	army_morale_down	false	Event
true	wh2_dlc09_tmb_incident_jungle_warriors	generic	false	Event
true	wh2_dlc09_tmb_incident_liquid_sand	generic	false	Event
true	wh2_dlc09_tmb_incident_memories_of_the_past	politics	false	Event
true	wh2_dlc09_tmb_incident_paychest_mercenaries	civilisation_up	false	Event
true	wh2_dlc09_tmb_incident_raining_magma	army_morale_down	false	Event
true	wh2_dlc09_tmb_incident_riders_graveyard	messenger	false	Event
true	wh2_dlc09_tmb_incident_undead_pirates	army_morale_up	false	Event
true	wh2_dlc09_tmb_incident_unearthed_knowledge	faction	false	Event
false	wh2_dlc10_alarielle_shieldstone_of_isha	generic	false	Event
false	wh2_dlc10_death_night_free_slave	hellebron_death_night_start	true	Event
false	wh2_dlc10_incident_alarielle_start_ap_bonus	army_morale_up	false	Quest
false	wh2_dlc10_incident_def_death_night	hellebron_death_night_start	true	Event
false	wh2_dlc10_incident_def_death_night_no_slaves	hellebron_death_night_start	true	Event
false	wh2_dlc10_incident_def_death_night_no_voyage	hellebron_death_night_start	true	Event
false	wh2_dlc10_incident_def_death_night_no_voyage_no_slaves	hellebron_death_night_start	true	Event
false	wh2_dlc10_incident_hef_alarielle_torment_decrease	mortal_worlds_torment	true	Event
false	wh2_dlc10_incident_hef_alarielle_torment_increase	mortal_worlds_torment	true	Event
false	wh2_dlc10_incident_hef_blood_voyage_ends	hellebron_death_night_end	true	Event
false	wh2_dlc10_monster_hunt_8_stage_2	diplomacy	true	Quest
false	wh2_dlc10_monster_hunt_8_stage_3a_2	messenger	true	Quest
false	wh2_dlc10_monster_hunt_8_stage_3b	army_morale_up	true	Quest
false	wh2_dlc10_monster_hunt_9_stage_2	diplomacy	true	Quest
false	wh2_dlc10_sword_of_khaine_building_done	sword_of_khaine	true	Quest
false	wh2_dlc10_sword_of_khaine_building_started_AI	sword_of_khaine	true	Quest
false	wh2_dlc10_sword_of_khaine_issued	sword_of_khaine	true	Quest
false	wh2_dlc10_sword_of_khaine_issued_AI	sword_of_khaine	true	Quest
false	wh2_dlc10_sword_of_khaine_region_captured	sword_of_khaine	true	Quest
false	wh2_dlc10_sword_of_khaine_returned	sword_of_khaine	true	Quest
false	wh2_dlc10_sword_of_khaine_stuck	sword_of_khaine	true	Quest
false	wh2_dlc11_cst_harkon_mind_change_coward	diplomacy	true	Quest
false	wh2_dlc11_cst_harkon_mind_change_hateful	diplomacy	true	Quest
false	wh2_dlc11_cst_harkon_mind_change_lucid	diplomacy	true	Quest
false	wh2_dlc11_cst_harkon_mind_change_mad	diplomacy	true	Quest
false	wh2_dlc11_cst_harkon_mind_change_prideful	diplomacy	true	Quest
false	wh2_dlc11_cst_harkon_mind_change_restored	diplomacy	true	Quest
true	wh2_dlc11_cst_incident_armoury_acquisition	army_morale_up	false	Event
true	wh2_dlc11_cst_incident_dissenting_voices	civilisation_down	false	Event
true	wh2_dlc11_cst_incident_favourable_winds	celebration	false	Event
true	wh2_dlc11_cst_incident_incompetent_escorts	generic	false	Event
true	wh2_dlc11_cst_incident_mass_exodus	civilisation_down	false	Event
true	wh2_dlc11_cst_incident_overflowing_with_power	celebration	false	Event
true	wh2_dlc11_cst_incident_perfect_cover	messenger	false	Event
true	wh2_dlc11_cst_incident_rotten_weather	land_defeat	false	Event
true	wh2_dlc11_cst_incident_shallow_graves	generic	false	Event
true	wh2_dlc11_cst_incident_stolen_schematics	generic	false	Event
true	wh2_dlc11_cst_incident_strength_from_shyish	army_morale_up	false	Event
true	wh2_dlc11_cst_incident_unnatural_talent	generic	false	Event
false	wh2_dlc11_incident_cst_found_treasure	treasure_chest_gained	false	Event
false	wh2_dlc11_incident_cst_infamy_rank_aranessa	legendary_pirate_defeated_aranessa	true	Event
false	wh2_dlc11_incident_cst_infamy_rank_cylostra	legendary_pirate_defeated_cylostra	true	Event
false	wh2_dlc11_incident_cst_infamy_rank_harkon	legendary_pirate_defeated_harkon	true	Event
false	wh2_dlc11_incident_cst_infamy_rank_noctilus	legendary_pirate_defeated_noctilus	true	Event
false	wh2_dlc11_incident_cst_mystery_pirate	mystery_pirate	true	Event
