lab_settings_tables	2
key	max_value	min_value	sort_order	step_size	display_as_percentage	default_value
ability_cooldown	1	0	11	0.010000002	true	0
ability_radius	3	1	10	0.010000002	true	1
ammunition	3	1	7	0.010000002	true	1
blood	3	1	14	0.010000002	true	1
charge_duration	3	1	12	0.010000002	true	1
damage	3	0.25	0	0.010000002	true	1
entity_scale	2.5	0.5	13	0.010000002	true	1
explosions	1.5	1	4	0.010000002	true	1
gravity	1	0.1	9	0.010000002	true	1
impact	10	1	1	0.010000002	true	1
morale	2	1	2	0.010000002	true	1
projectile_penetration	3	1	8	0.010000002	true	1
reload_time	0.5	0	6	0.010000002	true	0
unit_size	10	1	-1	1	false	1
vigour	1	0	5	0.010000002	true	0
winds_of_magic	2	1	3	0.050000004	true	1
