military_force_legacy_emblems_tables	2
culure_key	faction_key	is_army	key	subculture_key	icon	banner_decorator
wh_dlc03_bst_beastmen		true	beastmen_test_emblem_army_01		rome_emblem_01	rome_emblem_01
wh_dlc03_bst_beastmen		false	beastmen_test_emblem_navy_01		rome_emblem_01	rome_emblem_01
wh_main_brt_bretonnia		true	bretonnia_test_emblem_army_01		rome_emblem_01	rome_emblem_01
wh_main_brt_bretonnia		false	bretonnia_test_emblem_navy_01		rome_emblem_01	rome_emblem_01
wh_main_chs_chaos		true	chaos_test_emblem_army_01		rome_emblem_01	rome_emblem_01
wh_main_chs_chaos		false	chaos_test_emblem_navy_01		rome_emblem_01	rome_emblem_01
wh2_main_def_dark_elves		true	dark_elves_test_emblem_army_01		rome_emblem_01	rome_emblem_01
wh2_main_def_dark_elves		false	dark_elves_test_emblem_navy_01		rome_emblem_01	rome_emblem_01
wh_main_dwf_dwarfs		true	dwarfs_test_emblem_army_01		rome_emblem_01	rome_emblem_01
wh_main_dwf_dwarfs		false	dwarfs_test_emblem_navy_01		rome_emblem_01	rome_emblem_01
wh_main_emp_empire		true	empire_test_emblem_army_01		rome_emblem_01	rome_emblem_01
wh_main_emp_empire		false	empire_test_emblem_navy_01		rome_emblem_01	rome_emblem_01
wh_main_grn_greenskins		true	greenskins_test_emblem_army_01		rome_emblem_01	rome_emblem_01
wh_main_grn_greenskins		false	greenskins_test_emblem_navy_01		rome_emblem_01	rome_emblem_01
wh2_main_hef_high_elves		true	high_elves_test_emblem_army_01		rome_emblem_01	rome_emblem_01
wh2_main_hef_high_elves		false	high_elves_test_emblem_navy_01		rome_emblem_01	rome_emblem_01
wh2_main_lzd_lizardmen		true	lizardmen_test_emblem_army_01		rome_emblem_01	rome_emblem_01
wh2_main_lzd_lizardmen		false	lizardmen_test_emblem_navy_01		rome_emblem_01	rome_emblem_01
wh_dlc08_nor_norsca		true	norsca_test_emblem_army_01		rome_emblem_01	rome_emblem_01
wh2_main_rogue		true	rogue_test_emblem_army_01		rome_emblem_01	rome_emblem_01
wh2_main_rogue		false	rogue_test_emblem_navy_01		rome_emblem_01	rome_emblem_01
wh2_main_skv_skaven		true	skaven_test_emblem_army_01		rome_emblem_01	rome_emblem_01
wh2_main_skv_skaven		false	skaven_test_emblem_navy_01		rome_emblem_01	rome_emblem_01
wh2_dlc09_tmb_tomb_kings		true	tomb_kings_test_emblem_army_01		rome_emblem_01	rome_emblem_01
wh2_dlc09_tmb_tomb_kings		false	tomb_kings_test_emblem_navy_01		rome_emblem_01	rome_emblem_01
wh_dlc05_wef_wood_elves		true	wood_elves_test_emblem_army_01		rome_emblem_01	rome_emblem_01
wh_dlc05_wef_wood_elves		false	wood_elves_test_emblem_navy_01		rome_emblem_01	rome_emblem_01
