Loc PackedFile	1
key	text	tooltip
military_force_legacy_names_localised_name_wh2_main_rogue_hung_warband_01wh2_main_rogue_hung_warband	placeholder	true
military_force_legacy_names_localised_name_wh2_main_skv_legacy_navy_01wh2_main_sc_skv_skaven	placeholder	true
military_force_legacy_names_localised_name_wh2_main_rogue_celestial_storm_01wh2_main_rogue_celestial_storm	placeholder	true
military_force_legacy_names_localised_name_wh2_main_rogue_heirs_of_mourkain_legacy_01wh2_main_rogue_heirs_of_mourkain	placeholder	true
military_force_legacy_names_localised_name_wh2_main_rogue_celestial_storm_navy_01wh2_main_rogue_celestial_storm	placeholder	true
military_force_legacy_names_localised_name_wh2_main_rogue_stuff_snatchers_navy_01wh2_main_rogue_stuff_snatchers	placeholder	true
military_force_legacy_names_localised_name_wh2_main_rogue_scions_of_tesseninck_01wh2_main_rogue_scions_of_tesseninck	placeholder	true
military_force_legacy_names_localised_name_wh_main_teb_legacy_01wh_main_sc_teb_teb	placeholder	true
military_force_legacy_names_localised_name_wh2_main_rogue_wrath_of_nature_navy_01wh2_main_rogue_wrath_of_nature	placeholder	true
military_force_legacy_names_localised_name_wh_main_chs_legacy_navy_01wh_main_sc_chs_chaos	placeholder	true
military_force_legacy_names_localised_name_wh_main_grn_legacy_01wh_main_sc_grn_savage_orcs	placeholder	true
military_force_legacy_names_localised_name_wh2_main_rogue_bernhoffs_brigands_01wh2_main_rogue_bernhoffs_brigands	placeholder	true
military_force_legacy_names_localised_name_wh2_main_rogue_black_spider_tribe_01wh2_main_rogue_black_spider_tribe	placeholder	true
military_force_legacy_names_localised_name_wh2_main_rogue_boneclubbers_tribe_01wh2_main_rogue_boneclubbers_tribe	placeholder	true
military_force_legacy_names_localised_name_wh2_main_rogue_morrsliebs_howlers_01wh2_main_rogue_morrsliebs_howlers	placeholder	true
military_force_legacy_names_localised_name_wh2_main_rogue_pirates_of_the_far_sea_01wh2_main_rogue_pirates_of_the_far_sea	placeholder	true
military_force_legacy_names_localised_name_wh2_main_rogue_pirates_of_trantio_01wh2_main_rogue_pirates_of_trantio	placeholder	true
military_force_legacy_names_localised_name_wh2_main_rogue_the_wandering_dead_01wh2_main_rogue_the_wandering_dead	placeholder	true
military_force_legacy_names_localised_name_wh_main_grn_legacy_navy_01wh_main_sc_grn_greenskins	placeholder	true
military_force_legacy_names_localised_name_wh2_main_rogue_scourge_of_aquitaine_01wh2_main_rogue_scourge_of_aquitaine	placeholder	true
military_force_legacy_names_localised_name_wh2_main_rogue_wrath_of_nature_01wh2_main_rogue_wrath_of_nature	placeholder	true
military_force_legacy_names_localised_name_wh2_main_rogue_stuff_snatchers_01wh2_main_rogue_stuff_snatchers	placeholder	true
military_force_legacy_names_localised_name_wh_main_grn_legacy_01wh_main_sc_grn_greenskins	placeholder	true
military_force_legacy_names_localised_name_wh2_main_rogue_beastcatchas_01wh2_main_rogue_beastcatchas	placeholder	true
military_force_legacy_names_localised_name_wh2_main_rogue_doomseekers_01wh2_main_rogue_doomseekers	placeholder	true
military_force_legacy_names_localised_name_wh2_main_rogue_heirs_of_mourkain_legacy_navy_01wh2_main_rogue_heirs_of_mourkain	placeholder	true
military_force_legacy_names_localised_name_wh_dlc05_wef_legacy_navy_01wh_dlc05_sc_wef_wood_elves	placeholder	true
military_force_legacy_names_localised_name_wh2_main_rogue_vauls_expedition_01wh2_main_rogue_vauls_expedition	placeholder	true
military_force_legacy_names_localised_name_wh_main_brt_legacy_01wh_main_sc_brt_bretonnia	placeholder	true
military_force_legacy_names_localised_name_wh2_main_rogue_abominations_01wh2_main_rogue_abominations	placeholder	true
military_force_legacy_names_localised_name_wh2_main_rogue_mangy_houndz_01wh2_main_rogue_mangy_houndz	placeholder	true
military_force_legacy_names_localised_name_wh2_main_skv_legacy_01wh2_main_sc_skv_skaven	placeholder	true
military_force_legacy_names_localised_name_wh2_main_rogue_doomseekers_navy_01wh2_main_rogue_doomseekers	placeholder	true
military_force_legacy_names_localised_name_wh2_main_rogue_jerrods_errantry_01wh2_main_rogue_jerrods_errantry	placeholder	true
military_force_legacy_names_localised_name_wh2_dlc09_tmb_legacy_navy_01wh2_dlc09_sc_tmb_tomb_kings	placeholder	true
military_force_legacy_names_localised_name_wh_main_chs_legacy_01wh_main_sc_chs_chaos	placeholder	true
military_force_legacy_names_localised_name_wh_dlc03_bst_legacy_navy_01wh_dlc03_sc_bst_beastmen	placeholder	true
military_force_legacy_names_localised_name_wh2_main_rogue_mangy_houndz_navy_01wh2_main_rogue_mangy_houndz	placeholder	true
military_force_legacy_names_localised_name_wh2_main_hef_legacy_navy_01wh2_main_sc_hef_high_elves	placeholder	true
military_force_legacy_names_localised_name_wh2_main_def_legacy_navy_01wh2_main_sc_def_dark_elves	placeholder	true
military_force_legacy_names_localised_name_wh2_main_rogue_gerhardts_mercenaries_01wh2_main_rogue_gerhardts_mercenaries	placeholder	true
military_force_legacy_names_localised_name_wh_main_teb_legacy_navy_01wh_main_sc_teb_teb	placeholder	true
military_force_legacy_names_localised_name_wh2_main_rogue_teef_snatchaz_01wh2_main_rogue_teef_snatchaz	placeholder	true
military_force_legacy_names_localised_name_wh_dlc03_bst_legacy_01wh_dlc03_sc_bst_beastmen	placeholder	true
military_force_legacy_names_localised_name_wh2_main_rogue_vauls_expedition_navy_01wh2_main_rogue_vauls_expedition	placeholder	true
military_force_legacy_names_localised_name_wh2_main_rogue_pirates_of_trantio_navy_01wh2_main_rogue_pirates_of_trantio	placeholder	true
military_force_legacy_names_localised_name_wh2_main_rogue_morrsliebs_howlers_navy_01wh2_main_rogue_morrsliebs_howlers	placeholder	true
military_force_legacy_names_localised_name_wh2_main_rogue_worldroot_rangers_01wh2_main_rogue_worldroot_rangers	placeholder	true
military_force_legacy_names_localised_name_wh_dlc05_wef_legacy_01wh_dlc05_sc_wef_wood_elves	placeholder	true
military_force_legacy_names_localised_name_wh2_main_rogue_scourge_of_aquitaine_navy_01wh2_main_rogue_scourge_of_aquitaine	placeholder	true
military_force_legacy_names_localised_name_wh_main_grn_legacy_navy_01wh_main_sc_grn_savage_orcs	placeholder	true
military_force_legacy_names_localised_name_wh2_main_rogue_pirates_of_the_southern_ocean_01wh2_main_rogue_pirates_of_the_southern_ocean	placeholder	true
military_force_legacy_names_localised_name_wh2_main_rogue_college_of_pyrotechnics_legacy_navy_01wh2_main_rogue_college_of_pyrotechnics	placeholder	true
military_force_legacy_names_localised_name_wh2_main_rogue_pirates_of_the_far_sea_navy_01wh2_main_rogue_pirates_of_the_far_sea	placeholder	true
military_force_legacy_names_localised_name_wh2_main_rogue_black_spider_tribe_navy_01wh2_main_rogue_black_spider_tribe	placeholder	true
military_force_legacy_names_localised_name_wh_main_brt_legacy_navy_01wh_main_sc_brt_bretonnia	placeholder	true
military_force_legacy_names_localised_name_wh2_main_rogue_tor_elithis_legacy_navy_01wh2_main_rogue_tor_elithis	placeholder	true
military_force_legacy_names_localised_name_wh2_main_lzd_legacy_01wh2_main_sc_lzd_lizardmen	placeholder	true
