missions_tables	6
generate	key	localised_description	localised_title	mission_type	ui_icon	ui_image	prioritised	event_category	set_piece_battle	location_x	location_y	quest_mission	trigger_radius	quest_character	quest_mission_final	sticky_by_default
false	dlc09_main_tmb_arkhan_early_game_canopic_jars	"The more Canopic Jars we gather the more my brethren can serve you, your majesty. We should gather as many as we can."\n\nLearn more about [[img:icon_jars]][[/img]]Canopic Jars [[url:script_link_campaign_canopic_jars]][[tooltip:{{tt:tooltip_campaign_canopic_jars}}]][[col:help_page_link]]here[[/col]][[/tooltip]][[/url]].	Canopic Commission	CAPTURE_REGIONS	rom_event_mission.png	dwf/generic	false	Military		0	0	false	0		false	false
false	dlc09_main_tmb_arkhan_early_game_capture_province	"It is well, sire. But your resurgence has only just begun. The whole province must be returned to Arkhan the Black."\n\nLearn more about provinces [[url:script_link_campaign_provinces]][[tooltip:{{tt:tooltip_campaign_provinces}}]][[col:help_page_link]]here[[/col]][[/tooltip]][[/url]].	Back to Black	CAPTURE_REGIONS	rom_event_mission.png	dwf/generic	false	Military		0	0	false	0		false	false
false	dlc09_main_tmb_arkhan_early_game_capture_settlement	"Master, the mortal fools, the Knights of the Flame, pose a threat to us. I advise we conquer their stronghold in this region. That will immediately weaken their position."\n\nLearn more about settlements [[url:script_link_campaign_settlements]][[tooltip:{{tt:tooltip_campaign_settlements}}]][[col:help_page_link]]here[[/col]][[/tooltip]][[/url]].	City Aflame	CAPTURE_REGIONS	rom_event_mission.png	dwf/generic	false	Military		0	0	false	0		false	false
false	dlc09_main_tmb_arkhan_early_game_eliminate_faction	"The Knights of the Flame are all but destroyed. However, we cannot risk their torch catching again. Better to extinguish the flame utterly. Wipe them out."\n\nLearn more about factions [[url:script_link_campaign_factions]][[tooltip:{{tt:tooltip_campaign_factions}}]][[col:help_page_link]]here[[/col]][[/tooltip]][[/url]].	Extinguish the Flame	CAPTURE_REGIONS	rom_event_mission.png	dwf/generic	false	Military		0	0	false	0		false	false
false	dlc09_main_tmb_arkhan_early_game_enact_commandment	"Now the province is yours, I humbly advise you issue a commandment. All will hear and obey the Liche King!"\n\nLearn more about commandments [[url:script_link_campaign_commandments]][[tooltip:{{tt:tooltip_campaign_commandments}}]][[col:help_page_link]]here[[/col]][[/tooltip]][[/url]].	By Your Command	CAPTURE_REGIONS	rom_event_mission.png	dwf/generic	false	Military		0	0	false	0		false	false
false	dlc09_main_tmb_arkhan_early_game_hero_action_mission	"Now this Hero is bound to your service, sire, I suggest testing them. Give them an order…"\n\nLearn more about heroic actions [[url:script_link_campaign_hero_actions]][[tooltip:{{tt:tooltip_campaign_hero_actions}}]][[col:help_page_link]]here[[/col]][[/tooltip]][[/url]].	Test Them	CAPTURE_REGIONS	rom_event_mission.png	dwf/generic	false	Military		0	0	false	0		false	false
false	dlc09_main_tmb_arkhan_early_game_hero_recruitment_mission	"Only those who have devoted their eternal souls to Nagash are worthy of serving, sire. I advise you only bind those as dedicated as yourself, Liche King."\n\nLearn more about [[img:icon_hero]][[/img]]Heroes [[url:script_link_campaign_heroes]][[tooltip:{{tt:tooltip_campaign_heroes}}]][[col:help_page_link]]here[[/col]][[/tooltip]][[/url]].	True Servants	CAPTURE_REGIONS	rom_event_mission.png	dwf/generic	false	Military		0	0	false	0		false	false
false	dlc09_main_tmb_arkhan_early_game_hero_technology_mission	"Have your Liches delve deep into the lost lore. Seek out the dynasties of old and the champions from such eras, so that they may join your cause."\n\nLearn more about dynasties [[url:script_link_campaign_dynasties]][[tooltip:{{tt:tooltip_campaign_dynasties}}]][[col:help_page_link]]here[[/col]][[/tooltip]][[/url]].	Resurrection	CAPTURE_REGIONS	rom_event_mission.png	dwf/generic	false	Military		0	0	false	0		false	false
false	dlc09_main_tmb_arkhan_early_game_mortuary_cult	"The lore we in the Mortuary Cult have discovered over the millennia is ready to be employed in your service, your majesty. Have one of my priestly artisans begin crafting at once."\n\nLearn more about the Mortuary Cult [[url:script_link_campaign_mortuary_cult]][[tooltip:{{tt:tooltip_campaign_mortuary_cult}}]][[col:help_page_link]]here[[/col]][[/tooltip]][[/url]].	Mortuary Can	CAPTURE_REGIONS	rom_event_mission.png	dwf/generic	false	Military		0	0	false	0		false	false
false	dlc09_main_tmb_arkhan_early_game_non_aggression_pact	"I know, my dark king, how you have brokered many allies in your travels across the world. I advise it is time to leverage such relations to aid our resurgence. A non-aggression pact would be of great use."\n\nLearn more about non-aggression pacts [[url:script_link_campaign_non_aggression_pacts]][[tooltip:{{tt:tooltip_campaign_non_aggression_pacts}}]][[col:help_page_link]]here[[/col]][[/tooltip]][[/url]].	Pact It In	CAPTURE_REGIONS	rom_event_mission.png	dwf/generic	false	Military		0	0	false	0		false	false
false	dlc09_main_tmb_arkhan_early_game_raise_army_mission	"More warriors are needed, sire. For us to enact the greatness we desire it is time to raise a new legion."\n\nLearn more about raising armies [[url:script_link_campaign_raising_forces]][[tooltip:{{tt:tooltip_campaign_raising_forces}}]][[col:help_page_link]]here[[/col]][[/tooltip]][[/url]].	Arise Minions	CAPTURE_REGIONS	rom_event_mission.png	dwf/generic	false	Military		0	0	false	0		false	false
false	dlc09_main_tmb_arkhan_early_game_recruit_capless_units	{{tr:dlc09_main_tmb_early_game_recruit_capless_units_description}}	{{tr:dlc09_main_tmb_early_game_recruit_capless_units_title}}	OWN_N_UNITS	rom_event_mission.png	dwf/generic	false	Military		0	0	false	0		false	false
false	dlc09_main_tmb_arkhan_early_game_recruitment_building	"There are many legions, warriors and servants still under the sands ready and will to serve. We must find them, sire."\n\nLearn more about buildings [[url:script_link_campaign_buildings]][[tooltip:{{tt:tooltip_campaign_buildings}}]][[col:help_page_link]]here[[/col]][[/tooltip]][[/url]].	Under the Sands	CAPTURE_REGIONS	rom_event_mission.png	dwf/generic	false	Military		0	0	false	0		false	false
false	dlc09_main_tmb_arkhan_early_game_research_dynasty	"A humble suggestion, your eternal majesty, set Liche Priests - other than myself - to uncovering the lost secrets of the dynasties. Such endeavours may grant you even greater power and the discovery of lost legions."\n\nLearn more about dynasties [[url:script_link_campaign_dynasties]][[tooltip:{{tt:tooltip_campaign_dynasties}}]][[col:help_page_link]]here[[/col]][[/tooltip]][[/url]].	Dynastic Power	CAPTURE_REGIONS	rom_event_mission.png	dwf/generic	false	Military		0	0	false	0		false	false
false	dlc09_main_tmb_arkhan_early_game_resources	"Sire, in the times since the Great Vitae River changed to the Mortis River bronze is no longer the superior element. We need other resources to compete with these, younger, inferior kingdoms."\n\nLearn more about resources [[url:script_link_campaign_resources]][[tooltip:{{tt:tooltip_campaign_resources}}]][[col:help_page_link]]here[[/col]][[/tooltip]][[/url]].	Resourceful Grip	CAPTURE_REGIONS	rom_event_mission.png	dwf/generic	false	Military		0	0	false	0		false	false
false	dlc09_main_tmb_arkhan_early_game_rogue_armies	"Sire, rogue elements invade your kingdom. I advise no mercy. They will pay the price for challenging the Liche King!"\n\nLearn more about rogue armies [[url:script_link_campaign_rogue_armies]][[tooltip:{{tt:tooltip_campaign_rogue_armies}}]][[col:help_page_link]]here[[/col]][[/tooltip]][[/url]].	Rogue Elements	CAPTURE_REGIONS	rom_event_mission.png	dwf/generic	false	Military		0	0	false	0		false	false
false	dlc09_main_tmb_arkhan_early_game_search_ruins	"My spies inform me that some ruins may hold lost relics of the Arch-Necromancer himself. Sire, I advise we seek out this potential oasis and send minions forth to search it."\n\nLearn more about treasure hunting [[url:script_link_campaign_searching_ruins]][[tooltip:{{tt:tooltip_campaign_searching_ruins}}]][[col:help_page_link]]here[[/col]][[/tooltip]][[/url]].	The Search	CAPTURE_REGIONS	rom_event_mission.png	dwf/generic	false	Military		0	0	false	0		false	false
false	dlc09_main_tmb_arkhan_early_game_trade_agreement	"Trade is more a mortal necessity… However, not all resources can be gathered through invasion, sire. The Liches of the merchant classes should be… encouraged."\n\nLearn more about [[img:icon_trade_agreement]][[/img]]trade agreements [[url:script_link_campaign_trade]][[tooltip:{{tt:tooltip_campaign_trade}}]][[col:help_page_link]]here[[/col]][[/tooltip]][[/url]].	The Death of Trade	CAPTURE_REGIONS	rom_event_mission.png	dwf/generic	false	Military		0	0	false	0		false	false
false	dlc09_main_tmb_arkhan_early_game_upgrade_settlement_part_two	"As your slaves dig deeper, more burial chambers of your willing subjects are discovered and awakened. Put them to good use, sire."\n\nLearn more about provincial growth [[url:script_link_campaign_growth]][[tooltip:{{tt:tooltip_campaign_growth}}]][[col:help_page_link]]here[[/col]][[/tooltip]][[/url]].	Open the Burial Chambers	CAPTURE_REGIONS	rom_event_mission.png	dwf/generic	false	Military		0	0	false	0		false	false
false	dlc09_main_tmb_khalida_early_game_canopic_jars	"The more Canopic Jars we gather the more my brethren can serve you, your majesty. We should gather as many as we can."\n\nLearn more about [[img:icon_jars]][[/img]]Canopic Jars [[url:script_link_campaign_canopic_jars]][[tooltip:{{tt:tooltip_campaign_canopic_jars}}]][[col:help_page_link]]here[[/col]][[/tooltip]][[/url]].	Canopic Commission	CAPTURE_REGIONS	rom_event_mission.png	dwf/generic	false	Military		0	0	false	0		false	false
false	dlc09_main_tmb_khalida_early_game_capture_province	"The serpent strikes… but this nest remains full of predators, my queen. This territory will need clearing of reptiles before you can focus on your true agenda."\n\nLearn more about provinces [[url:script_link_campaign_provinces]][[tooltip:{{tt:tooltip_campaign_provinces}}]][[col:help_page_link]]here[[/col]][[/tooltip]][[/url]].	Asaph’s Territory	CAPTURE_REGIONS	rom_event_mission.png	dwf/generic	false	Military		0	0	false	0		false	false
false	dlc09_main_tmb_khalida_early_game_capture_settlement	"My queen, the Lizardmen resent your presence. It is time for them to learn that serpents and reptiles are not the same. Strike at these foes."\n\nLearn more about settlements [[url:script_link_campaign_settlements]][[tooltip:{{tt:tooltip_campaign_settlements}}]][[col:help_page_link]]here[[/col]][[/tooltip]][[/url]].	Welcome to the Jungle	CAPTURE_REGIONS	rom_event_mission.png	dwf/generic	false	Military		0	0	false	0		false	false
false	dlc09_main_tmb_khalida_early_game_eliminate_faction	"Your forces have all but wiped out the Lizardmen of Xeti. Perhaps this is regrettable, but there is no time for mercy. Destroy them."\n\nLearn more about factions [[url:script_link_campaign_factions]][[tooltip:{{tt:tooltip_campaign_factions}}]][[col:help_page_link]]here[[/col]][[/tooltip]][[/url]].	No Time for Mercy	CAPTURE_REGIONS	rom_event_mission.png	dwf/generic	false	Military		0	0	false	0		false	false
false	dlc09_main_tmb_khalida_early_game_enact_commandment	"The province is yours, my queen. It is now time to issue a command that all shall obey."\n\nLearn more about commandments [[url:script_link_campaign_commandments]][[tooltip:{{tt:tooltip_campaign_commandments}}]][[col:help_page_link]]here[[/col]][[/tooltip]][[/url]].	High Queen’s Command	CAPTURE_REGIONS	rom_event_mission.png	dwf/generic	false	Military		0	0	false	0		false	false
false	dlc09_main_tmb_khalida_early_game_hero_action_mission	"Now this Hero is bound to your service, mistress, I suggest testing them. Give them an order…"\n\nLearn more about heroic actions [[url:script_link_campaign_hero_actions]][[tooltip:{{tt:tooltip_campaign_hero_actions}}]][[col:help_page_link]]here[[/col]][[/tooltip]][[/url]].	Test Them	CAPTURE_REGIONS	rom_event_mission.png	dwf/generic	false	Military		0	0	false	0		false	false
false	dlc09_main_tmb_khalida_early_game_hero_recruitment_mission	"Your renowned patience has paid off, your majesty. Ancient champions of Nehekhara have been resurrected; now we must make them ready to serve."\n\nLearn more about [[img:icon_hero]][[/img]]Heroes [[url:script_link_campaign_heroes]][[tooltip:{{tt:tooltip_campaign_heroes}}]][[col:help_page_link]]here[[/col]][[/tooltip]][[/url]].	Bring them to Asaph	CAPTURE_REGIONS	rom_event_mission.png	dwf/generic	false	Military		0	0	false	0		false	false
false	dlc09_main_tmb_khalida_early_game_hero_technology_mission	"Have your Liches delve deep into the lost lore, seek out the dynasties of old and the champions from such eras, so that they may join your cause."\n\nLearn more about dynasties [[url:script_link_campaign_dynasties]][[tooltip:{{tt:tooltip_campaign_dynasties}}]][[col:help_page_link]]here[[/col]][[/tooltip]][[/url]].	Resurrection	CAPTURE_REGIONS	rom_event_mission.png	dwf/generic	false	Military		0	0	false	0		false	false
false	dlc09_main_tmb_khalida_early_game_mortuary_cult	"The lore we in the Mortuary Cult have discovered over the millennia is ready to be employed in your service, your majesty. Have one of my priestly artisans begin crafting at once."\n\nLearn more about the Mortuary Cult [[url:script_link_campaign_mortuary_cult]][[tooltip:{{tt:tooltip_campaign_mortuary_cult}}]][[col:help_page_link]]here[[/col]][[/tooltip]][[/url]].	Mortuary Can	CAPTURE_REGIONS	rom_event_mission.png	dwf/generic	false	Military		0	0	false	0		false	false
false	dlc09_main_tmb_khalida_early_game_non_aggression_pact	"Not all solutions can be solved with your gantlet my queen. We must look to Asaph’s wisdom, offer other rivals pacts of non-aggression. We can always strike at them later, if we need to."\n\nLearn more about non-aggression pacts [[url:script_link_campaign_non_aggression_pacts]][[tooltip:{{tt:tooltip_campaign_non_aggression_pacts}}]][[col:help_page_link]]here[[/col]][[/tooltip]][[/url]].	The Serpent is Sated	CAPTURE_REGIONS	rom_event_mission.png	dwf/generic	false	Military		0	0	false	0		false	false
false	dlc09_main_tmb_khalida_early_game_raise_army_mission	"My mistress, it is time for some of your servants to follow their own path. Awake a new legion to serve you even if they do not march directly in your wake."\n\nLearn more about raising armies [[url:script_link_campaign_raising_forces]][[tooltip:{{tt:tooltip_campaign_raising_forces}}]][[col:help_page_link]]here[[/col]][[/tooltip]][[/url]].	Arise for the Warrior-Queen	CAPTURE_REGIONS	rom_event_mission.png	dwf/generic	false	Military		0	0	false	0		false	false
false	dlc09_main_tmb_khalida_early_game_recruit_capless_units	{{tr:dlc09_main_tmb_early_game_recruit_capless_units_description}}	{{tr:dlc09_main_tmb_early_game_recruit_capless_units_title}}	OWN_N_UNITS	rom_event_mission.png	dwf/generic	false	Military		0	0	false	0		false	false
false	dlc09_main_tmb_khalida_early_game_recruitment_building	"There are many legions, warriors and servants still under the sands ready and will to serve. We must find them."\n\nLearn more about buildings [[url:script_link_campaign_buildings]][[tooltip:{{tt:tooltip_campaign_buildings}}]][[col:help_page_link]]here[[/col]][[/tooltip]][[/url]].	Under the Sands	CAPTURE_REGIONS	rom_event_mission.png	dwf/generic	false	Military		0	0	false	0		false	false
false	dlc09_main_tmb_khalida_early_game_research_dynasty	"A humble suggestion, your eternal majesty, set Liche Priests - other than myself - to uncovering the lost secrets of the dynasties. Such endeavours may grant you even greater power and the discovery of lost legions."\n\nLearn more about dynasties [[url:script_link_campaign_dynasties]][[tooltip:{{tt:tooltip_campaign_dynasties}}]][[col:help_page_link]]here[[/col]][[/tooltip]][[/url]].	Dynastic Power	CAPTURE_REGIONS	rom_event_mission.png	dwf/generic	false	Military		0	0	false	0		false	false
false	dlc09_main_tmb_khalida_early_game_resources	"My queen, due a lack of sandstone in this region, we require marble if we are to rebuild these cities and monuments to match the greatness of Lybaras."\n\nLearn more about resources [[url:script_link_campaign_resources]][[tooltip:{{tt:tooltip_campaign_resources}}]][[col:help_page_link]]here[[/col]][[/tooltip]][[/url]].	Marble Madness	CAPTURE_REGIONS	rom_event_mission.png	dwf/generic	false	Military		0	0	false	0		false	false
false	dlc09_main_tmb_khalida_early_game_rogue_armies	"My mistress, rogue elements invade your kingdom. I advise no mercy. They will pay the price for challenging the Beloved of Asaph!"\n\nLearn more about rogue armies [[url:script_link_campaign_rogue_armies]][[tooltip:{{tt:tooltip_campaign_rogue_armies}}]][[col:help_page_link]]here[[/col]][[/tooltip]][[/url]].	Rogue Elements	CAPTURE_REGIONS	rom_event_mission.png	dwf/generic	false	Military		0	0	false	0		false	false
