mp_budgets_tables	0
budget	budget_size_key	key	land	siege_defender
100000	custom	ambush_custom	true	false
17000	huge	ambush_huge	true	false
12400	large	ambush_large	true	false
8600	medium	ambush_medium	true	false
5000	small	ambush_small	true	false
100000	custom	city_custom	true	true
17000	huge	city_huge	true	true
12400	large	city_large	true	true
8600	medium	city_medium	true	true
5000	small	city_small	true	true
100000	custom	coastal_custom	false	false
17000	huge	coastal_huge	false	false
12400	large	coastal_large	false	false
8600	medium	coastal_medium	false	false
5000	small	coastal_small	false	false
100000	custom	land_custom	true	false
17000	huge	land_huge	true	false
12400	large	land_large	true	false
8600	medium	land_medium	true	false
5000	small	land_small	true	false
100000	custom	naval_custom	false	false
17000	huge	naval_huge	false	false
12400	large	naval_large	false	false
8600	medium	naval_medium	false	false
5000	small	naval_small	false	false
100000	custom	port_custom	false	true
17000	huge	port_huge	false	true
12400	large	port_large	false	true
8600	medium	port_medium	false	true
5000	small	port_small	false	true
100000	custom	river_crossing_custom	true	false
17000	huge	river_crossing_huge	true	false
12400	large	river_crossing_large	true	false
8600	medium	river_crossing_medium	true	false
5000	small	river_crossing_small	true	false
100000	custom	unfortified_port_custom	false	true
17000	huge	unfortified_port_huge	false	true
12400	large	unfortified_port_large	false	true
8600	medium	unfortified_port_medium	false	true
5000	small	unfortified_port_small	false	true
100000	custom	unfortified_town_custom	true	true
17000	huge	unfortified_town_huge	true	true
12400	large	unfortified_town_large	true	true
8600	medium	unfortified_town_medium	true	true
5000	small	unfortified_town_small	true	true
