projectiles_tables	44
key	category	shot_type	explosion_type	spin_type	projectile_number	trajectory_sight	effective_range	minimum_range	max_elevation	muzzle_velocity	marksmanship_bonus	spread	damage	ap_damage	can_bounce	high_air_resistance	collision_radius	base_reload_time	calibration_distance	calibration_area	bonus_v_infantry	bonus_v_cavalry	bonus_v_large	projectile_display	overhead_stat_effect	projectile_audio	shockwave_radius	can_damage_buildings	contact_stat_effect	is_grapple	gravity	burst_size	burst_shot_delay	mass	homing_params	first_person_params	ignition_amount	is_magical	can_target_airborne	fixed_elevation	projectile_penetration	expiry_range	is_beam_launch_burst	expire_on_impact	can_roll	trail_always_on	shots_per_volley	fired_by_mount	lock_on_multiple_fire_pos	prefer_central_targets	can_damage_vehicles
wh2_cst_handcannon_bullet	musket	small_arm_default		none	3	low	90	0	88	100	10	2	3	8	false	false	0.050000004	13	35	3.5	0	0	0	wh_emp_rifle_bullet		wh2_bullet_multi_impact_large	-1	false		false	-1	1	0	7			0	false	true	45	very_low	300	false	false	false	false	1	false	false	false	false
wh2_cst_necrofex_colossus_cannon_ball	artillery	artillery_default		none	4	low	330	0	45	110	20	2	33	137	true	false	0.2	12	225	10	0	0	0	wh2_dlc11_cst_necrofex_colossus_cannonball		wh_cannon_necrofex_cannonball_normal	0.3	true		false	-1	1	0	340			0	false	true	45	very_high_low_entity	700	false	false	true	false	1	true	false	true	true
wh2_cst_necrofex_colossus_flame	artillery	artillery_flammable	wh2_cst_necrofex_colossus_flame_explosion	none	1	low	110	0	88	54	60	0	10	20	false	false	1	8	75	12	0	0	0	wh2_dlc11_necrofex_flamethrower		wh2_dlc11_cst_necrofex_colossus_flamethrower_fire	0	true	wh_main_unit_contact_morale	false	3	4	0.35	60			1	false	true	45	medium	88	true	true	false	false	1	false	false	false	false
wh2_cst_rifle_bullet	musket	small_arm_default		none	1	low	145	0	88	100	10	0	4	13	false	false	0.050000004	13	90	3.5	0	0	0	wh_emp_rifle_bullet		wh_bullet	-1	false		false	-1	1	0	5			0	false	true	45	very_low	300	false	false	false	false	1	false	false	false	false
wh2_cst_rifle_deck_gunner_bullet	musket	small_arm_default		none	1	low	245	0	88	100	10	0	7	37	false	false	0.050000004	11	145	1.8	0	0	0	wh_emp_rifle_bullet		wh2_bullet_multi_impact_large	-1	false	wh2_dlc09_unit_contact_shieldbreaker	false	-1	1	0	6			0	false	true	45	low	300	false	false	false	false	1	false	false	false	false
wh2_cst_rifle_deck_gunner_bullet_ror	musket	small_arm_default		none	1	low	245	0	88	100	10	0	5	28	false	false	0.050000004	11	145	1.8	0	0	0	wh2_dlc11_cst_deck_gunner_ror_bullet		wh2_dlc11_cst_Deck_Gun_RoR_Magical	-1	false	wh_dlc06_unit_contact_discouraged	false	-1	1	0	6			0	true	true	45	low_3	300	false	false	false	false	1	false	false	false	false
wh2_dlc09_casket_of_souls	artillery	artillery_explosive	wh2_dlc09_casket_of_souls	shell_spin	7	fixed	440	45	88	50	10	7	40	90	false	false	1	19	300	180	0	0	0	wh2_dlc09_casket_of_souls_projectile		wh2_casket_of_souls	0.7	true		false	20	1	0	200			0	true	true	35	high_magic	650	false	false	false	true	1	true	false	true	true
wh2_dlc09_tmb_skull_projectile	artillery	artillery_default	wh2_dlc09_screaming_skull_explosion	none	1	low	380	35	50	67	10	0	30	120	false	false	0.4	16	320	80	0	0	0	wh2_dlc09_tmb_skull_projectile		wh2_catapult_screamingskull	0.6	true	wh_main_unit_contact_overhead_morale	false	-1	1	0	120			0	true	true	45	large_2	700	false	true	false	true	1	false	false	true	true
wh2_dlc09_tmb_stalker_gaze	artillery	artillery_default		shell_spin	8	low	80	0	88	32	10	3.7	0	13	false	false	0.1	10	80	12	0	0	0	wh2_dlc09_tmb_stalker_gaze		wh2_dlc_tmb_stalker_gaze	-1	false	wh_main_unit_contact_poison	false	1	1	0	40			0	true	true	45	low	110	false	true	false	true	1	false	false	false	true
wh2_dlc09_tmb_ushabti_bolt_ror	arrow	artillery_canister	wh2_dlc09_tmb_ushabti_bolt_ror	none	1	fixed	255	20	88	70	30	2.5	4	16	false	false	0.1	11	212	10	0	0	0	wh_tmb_ushabti_arrow		wh2_ushabti_bolt_ror	0.3	true	wh2_dlc09_unit_contact_shieldbreaker	false	-1	1	0	20			0	false	true	20	medium	700	false	false	false	false	1	false	false	false	true
wh2_dlc09_tmb_warsphinx_arrow	arrow	small_arm_default		none	1	dual_low_fixed	115	0	88	45	10	0	27	13	false	false	0.1	6	50	2.9	0	0	0	wh_brt_longbow_arrow		wh_bow_arrow_normal	-1	false		false	-1	1	0	5			0	false	true	45	low	160	false	false	false	false	1	false	false	false	false
wh2_dlc09_tower_tmb_bolt_1	arrow	small_arm_default		none	1	dual_low_fixed	450	0	88	67	10	1.25	150	75	false	false	0.1	20	225	75	0	0	0	wh_tmb_ushabti_arrow		wh_bolt_thrower	-1	true		false	-1	3	1	1			0	false	true	45	low	-1	false	false	false	false	1	false	false	false	true
wh2_dlc09_tower_tmb_bolt_2	arrow	small_arm_default		none	1	dual_low_fixed	450	0	88	67	10	1.25	165	85	false	false	0.1	20	225	75	0	0	0	wh_tmb_ushabti_arrow		wh_bolt_thrower	-1	true		false	-1	3	1	1			0	false	true	45	low	-1	false	false	false	false	1	false	false	false	true
