province_to_mercenary_set_junctions_tables	0
mercenary_set	province
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_aghol_wastelands
wh_main_vmp_province_pool	wh2_main_aghol_wastelands
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_albion
wh_main_vmp_province_pool	wh2_main_albion
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_ash_river
wh_main_vmp_province_pool	wh2_main_ash_river
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_atalan_mountains
wh_main_vmp_province_pool	wh2_main_atalan_mountains
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_avelorn
wh_main_vmp_province_pool	wh2_main_avelorn
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_blackspine_mountains
wh_main_vmp_province_pool	wh2_main_blackspine_mountains
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_caledor
wh_main_vmp_province_pool	wh2_main_caledor
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_charnel_valley
wh_main_vmp_province_pool	wh2_main_charnel_valley
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_chrace
wh_main_vmp_province_pool	wh2_main_chrace
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_coast_of_araby
wh_main_vmp_province_pool	wh2_main_coast_of_araby
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_cothique
wh_main_vmp_province_pool	wh2_main_cothique
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_crater_of_the_walking_dead
wh_main_vmp_province_pool	wh2_main_crater_of_the_walking_dead
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_deadwood
wh_main_vmp_province_pool	wh2_main_deadwood
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_devils_backbone
wh_main_vmp_province_pool	wh2_main_devils_backbone
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_doom_glades
wh_main_vmp_province_pool	wh2_main_doom_glades
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_eagle_gate
wh_main_vmp_province_pool	wh2_main_eagle_gate
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_eataine
wh_main_vmp_province_pool	wh2_main_eataine
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_ellyrion
wh_main_vmp_province_pool	wh2_main_ellyrion
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_galleons_graveyard
wh_main_vmp_province_pool	wh2_main_galleons_graveyard
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_great_desert_of_araby
wh_main_vmp_province_pool	wh2_main_great_desert_of_araby
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_great_mortis_delta
wh_main_vmp_province_pool	wh2_main_great_mortis_delta
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_griffon_gate
wh_main_vmp_province_pool	wh2_main_griffon_gate
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_headhunters_jungle
wh_main_vmp_province_pool	wh2_main_headhunters_jungle
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_heart_of_the_jungle
wh_main_vmp_province_pool	wh2_main_heart_of_the_jungle
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_hell_pit
wh_main_vmp_province_pool	wh2_main_hell_pit
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_huahuan_desert
wh_main_vmp_province_pool	wh2_main_huahuan_desert
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_iron_mountains
wh_main_vmp_province_pool	wh2_main_iron_mountains
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_ironfrost_glacier
wh_main_vmp_province_pool	wh2_main_ironfrost_glacier
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_isthmus_of_lustria
wh_main_vmp_province_pool	wh2_main_isthmus_of_lustria
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_jungles_of_green_mists
wh_main_vmp_province_pool	wh2_main_jungles_of_green_mists
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_kingdom_of_beasts
wh_main_vmp_province_pool	wh2_main_kingdom_of_beasts
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_land_of_assassins
wh_main_vmp_province_pool	wh2_main_land_of_assassins
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_land_of_the_dead
wh_main_vmp_province_pool	wh2_main_land_of_the_dead
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_land_of_the_dervishes
wh_main_vmp_province_pool	wh2_main_land_of_the_dervishes
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_nagarythe
wh_main_vmp_province_pool	wh2_main_nagarythe
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_northern_great_jungle
wh_main_vmp_province_pool	wh2_main_northern_great_jungle
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_northern_jungle_of_pahualaxa
wh_main_vmp_province_pool	wh2_main_northern_jungle_of_pahualaxa
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_obsidian_peaks
wh_main_vmp_province_pool	wh2_main_obsidian_peaks
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_phoenix_gate
wh_main_vmp_province_pool	wh2_main_phoenix_gate
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_saphery
wh_main_vmp_province_pool	wh2_main_saphery
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_sartosa
wh_main_vmp_province_pool	wh2_main_sartosa
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_shifting_sands
wh_main_vmp_province_pool	wh2_main_shifting_sands
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_skavenblight
wh_main_vmp_province_pool	wh2_main_skavenblight
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_southern_great_jungle
wh_main_vmp_province_pool	wh2_main_southern_great_jungle
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_southern_jungle_of_pahualaxa
wh_main_vmp_province_pool	wh2_main_southern_jungle_of_pahualaxa
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_southlands_jungle
wh_main_vmp_province_pool	wh2_main_southlands_jungle
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_southlands_worlds_edge_mountains
wh_main_vmp_province_pool	wh2_main_southlands_worlds_edge_mountains
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_spine_of_sotek
wh_main_vmp_province_pool	wh2_main_spine_of_sotek
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_the_black_coast
wh_main_vmp_province_pool	wh2_main_the_black_coast
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_the_black_flood
wh_main_vmp_province_pool	wh2_main_the_black_flood
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_the_broken_land
wh_main_vmp_province_pool	wh2_main_the_broken_land
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_the_chill_road
wh_main_vmp_province_pool	wh2_main_the_chill_road
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_the_clawed_coast
wh_main_vmp_province_pool	wh2_main_the_clawed_coast
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_the_creeping_jungle
wh_main_vmp_province_pool	wh2_main_the_creeping_jungle
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_the_road_of_skulls
wh_main_vmp_province_pool	wh2_main_the_road_of_skulls
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_tiranoc
wh_main_vmp_province_pool	wh2_main_tiranoc
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_titan_peaks
wh_main_vmp_province_pool	wh2_main_titan_peaks
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_unicorn_gate
wh_main_vmp_province_pool	wh2_main_unicorn_gate
wh2_dlc11_cst_vampire_pirate_province_pool	wh2_main_vampire_coast
wh_main_vmp_province_pool	wh2_main_vampire_coast
