Loc PackedFile	1
key	text	tooltip
provincial_initiative_records_localised_name_wh_main_edict_stimulate_trade	Stimulate Trade	true
provincial_initiative_records_localised_name_wh_main_edict_the_peasants_duty	The Peasant's Duty	true
provincial_initiative_records_localised_name_wh2_main_edict_lzd_alignment_of_order	Alignment of Order	true
provincial_initiative_records_localised_name_wh_main_edict_brag_about_da_boss	Brag about da Boss	true
provincial_initiative_records_localised_name_wh_main_edict_sigmarite_dogma	Sigmarite Dogma	true
provincial_initiative_records_localised_name_wh2_dlc09_edict_tmb_worship_of_asaph	Worship of Asaph	true
provincial_initiative_records_localised_name_wh_main_edict_council_of_burgomeisters	Council of Burgomeisters	true
provincial_initiative_records_localised_name_wh_main_edict_high_kings_tribute	High King's Tribute	true
provincial_initiative_records_localised_name_wh2_main_edict_def_increase_production	Increase Slave Production Quota	true
provincial_initiative_records_localised_name_wh2_dlc11_edict_cst_dredge_the_sea	Dredge the Sea!	true
provincial_initiative_records_localised_name_wh2_dlc09_edict_tmb_worship_of_khsar	Worship of Khsar	true
provincial_initiative_records_localised_name_wh2_main_edict_hef_tribute_for_the_king	Tribute to the Phoenix King	true
provincial_initiative_records_localised_name_wh_main_edict_masters_of_steel_and_stone	Masters of Steel and Stone	true
provincial_initiative_records_localised_name_wh_main_edict_state_troop_levy	State Troop Levy	true
provincial_initiative_records_localised_name_wh2_main_edict_skv_efficient_planning	Efficient Planning	true
provincial_initiative_records_localised_name_wh_main_edict_collect_tribute	Collect Tribute	true
provincial_initiative_records_localised_name_wh2_main_edict_hef_banish_corruption	Banish Corruption	true
provincial_initiative_records_localised_name_wh_main_edict_venerate_the_lady	Venerate the Lady	true
provincial_initiative_records_localised_name_wh2_dlc11_edict_cst_even_more_powder	Even More Powder!	true
provincial_initiative_records_localised_name_wh_main_edict_imperial_taxation	Imperial Taxation	true
provincial_initiative_records_localised_name_wh_main_edict_extensive_patrols	Extensive Patrols	true
provincial_initiative_records_localised_name_wh_main_edict_levy_conscripts	Levy Conscripts	true
provincial_initiative_records_localised_name_wh_main_edict_repress_mortals	Repress Mortals	true
provincial_initiative_records_localised_name_wh_main_edict_empower_the_guilds	Empower the Guilds	true
provincial_initiative_records_localised_name_wh_main_edict_harvest_corpses	Harvest Corpses	true
provincial_initiative_records_localised_name_wh2_dlc11_edict_cst_share_the_spoils	Share the Spoils	true
provincial_initiative_records_localised_name_wh_main_edict_realm_of_chivalry	Realm of Chivalry	true
provincial_initiative_records_localised_name_wh2_dlc09_edict_tmb_worship_of_djaf	Worship of Djaf	true
provincial_initiative_records_localised_name_wh_main_edict_foster_terror	Foster Terror	true
provincial_initiative_records_localised_name_wh_main_edict_camp_ruckus	Camp Ruckus	true
provincial_initiative_records_localised_name_wh2_main_edict_def_sacrifices_for_khaine	Sacrifices for Khaine	true
provincial_initiative_records_localised_name_wh_main_edict_host_festag	Host Festag	true
provincial_initiative_records_localised_name_wh_main_edict_venerate_the_ancestors	Venerate the Ancestors	true
provincial_initiative_records_localised_name_wh2_main_edict_skv_expansionist_planning	Expansionist Planning	true
provincial_initiative_records_localised_name_wh2_dlc09_edict_tmb_worship_of_ptra	Worship of Ptra	true
provincial_initiative_records_localised_name_wh_main_edict_give_it_ere	Give it 'ere	true
provincial_initiative_records_localised_name_wh2_dlc09_edict_tmb_worship_of_phakth	Worship of Phakth	true
provincial_initiative_records_localised_name_wh2_main_edict_def_festivals_of_hedonism	Festivals of Hedonism	true
provincial_initiative_records_localised_name_wh_main_edict_grand_market_charter	Grand Market Charter	true
provincial_initiative_records_localised_name_wh_main_edict_levy_tithes	Levy Tithes	true
provincial_initiative_records_localised_name_wh_main_edict_foster_independence	Foster Independence	true
provincial_initiative_records_localised_name_wh2_main_edict_def_read_portents	Read Dark Portents	true
provincial_initiative_records_localised_name_wh2_main_edict_hef_reaver_patrols	Reaver Patrols	true
provincial_initiative_records_localised_name_wh2_main_edict_hef_rally_citizen_militia	Rally Citizen Militia	true
provincial_initiative_records_localised_name_wh2_main_edict_lzd_alignment_of_crafting	Alignment of Crafting	true
provincial_initiative_records_localised_name_wh2_dlc11_edict_cst_bat_swarms	Bat Swarms	true
provincial_initiative_records_localised_name_wh2_main_edict_def_demand_hostages	Demand Highborn Hostages	true
provincial_initiative_records_localised_name_wh_main_edict_evocation_of_nagash	Evocation of Nagash	true
provincial_initiative_records_localised_name_wh2_main_edict_lzd_alignment_of_monuments	Alignment of Monuments	true
provincial_initiative_records_localised_name_wh2_main_edict_lzd_alignment_of_war	Alignment of War	true
provincial_initiative_records_localised_name_wh2_main_edict_skv_martial_planning	Martial Planning	true
provincial_initiative_records_localised_name_wh2_main_edict_skv_devious_planning	Exploitative Planning	true
provincial_initiative_records_localised_name_wh2_main_edict_hef_rebuild_lost_splendour	Rebuild Lost Splendour	true
provincial_initiative_records_localised_name_wh2_main_edict_def_enforce_tribute	Enforce Tribute Payments	true
