Loc PackedFile	1
key	text	tooltip
region_groups_localised_name_wh2_main_vor_wom_region_group_47	[PH] Vortex WOM Group 47	true
region_groups_localised_name_wh2_main_vor_wom_region_group_46	[PH] Vortex WOM Group 46	true
region_groups_localised_name_wh2_main_vor_wom_region_group_45	[PH] Vortex WOM Group 45	true
region_groups_localised_name_wh2_main_vor_wom_region_group_44	[PH] Vortex WOM Group 44	true
region_groups_localised_name_wh2_main_vor_wom_region_group_43	[PH] Vortex WOM Group 43	true
region_groups_localised_name_wh2_main_vor_wom_region_group_42	[PH] Vortex WOM Group 42	true
region_groups_localised_name_wh2_main_vor_wom_region_group_41	[PH] Vortex WOM Group 41	true
region_groups_localised_name_wh2_main_vor_wom_region_group_40	[PH] Vortex WOM Group 40	true
region_groups_localised_name_wh2_main_vor_wom_region_group_49	[PH] Vortex WOM Group 49	true
region_groups_localised_name_wh2_main_vor_wom_region_group_48	[PH] Vortex WOM Group 48	true
region_groups_localised_name_wh2_main_vor_wom_region_group_57	[PH] Vortex WOM Group 57	true
region_groups_localised_name_wh2_main_vor_wom_region_group_56	[PH] Vortex WOM Group 56	true
region_groups_localised_name_wh2_main_vor_wom_region_group_55	[PH] Vortex WOM Group 55	true
region_groups_localised_name_wh2_main_vor_wom_region_group_54	[PH] Vortex WOM Group 54	true
region_groups_localised_name_wh2_main_vor_wom_region_group_53	[PH] Vortex WOM Group 53	true
region_groups_localised_name_wh2_main_vor_wom_region_group_52	[PH] Vortex WOM Group 52	true
region_groups_localised_name_wh2_main_vor_wom_region_group_51	[PH] Vortex WOM Group 51	true
region_groups_localised_name_wh2_main_vor_wom_region_group_50	[PH] Vortex WOM Group 50	true
region_groups_localised_name_wh2_main_vor_wom_region_group_59	[PH] Vortex WOM Group 59	true
region_groups_localised_name_wh2_main_vor_wom_region_group_58	[PH] Vortex WOM Group 58	true
region_groups_localised_name_wh2_main_vor_wom_region_group_67	[PH] Vortex WOM Group 67	true
region_groups_localised_name_wh2_main_vor_wom_region_group_66	[PH] Vortex WOM Group 66	true
region_groups_localised_name_wh2_main_vor_wom_region_group_65	[PH] Vortex WOM Group 65	true
region_groups_localised_name_wh2_main_vor_wom_region_group_64	[PH] Vortex WOM Group 64	true
region_groups_localised_name_wh2_main_vor_wom_region_group_63	[PH] Vortex WOM Group 63	true
region_groups_localised_name_wh2_main_vor_wom_region_group_62	[PH] Vortex WOM Group 62	true
region_groups_localised_name_wh2_main_vor_wom_region_group_61	[PH] Vortex WOM Group 61	true
region_groups_localised_name_wh2_main_vor_wom_region_group_60	[PH] Vortex WOM Group 60	true
region_groups_localised_name_wh2_main_vor_wom_region_group_69	[PH] Vortex WOM Group 69	true
region_groups_localised_name_wh2_main_vor_wom_region_group_68	[PH] Vortex WOM Group 68	true
region_groups_localised_name_wh2_main_vor_wom_region_group_73	[PH] Vortex WOM Group 73	true
region_groups_localised_name_wh2_main_vor_wom_region_group_72	[PH] Vortex WOM Group 72	true
region_groups_localised_name_wh2_main_vor_wom_region_group_71	[PH] Vortex WOM Group 71	true
region_groups_localised_name_wh2_main_vor_wom_region_group_70	[PH] Vortex WOM Group 70	true
region_groups_localised_name_wh2_main_vor_wom_region_group_07	[PH] Vortex WOM Group 7	true
region_groups_localised_name_wh2_main_vor_wom_region_group_06	[PH] Vortex WOM Group 6	true
