Loc PackedFile	1
key	text	tooltip
region_unit_resources_string_Auxilia_Assyrian	Assyrian Auxilia	true
region_unit_resources_string_Auxilia_Parthian	Parthian Auxilia	true
region_unit_resources_string_Auxilia_Thracian	Thracian Auxilia	true
region_unit_resources_string_Auxilia_local_Phazania_Libue_Aithiops	Local Auxilia Phazani, a Libue, Aithiops	true
region_unit_resources_string_Auxilia_Persian	Persian Auxilia	true
region_unit_resources_string_Auxilia_Germanic	Germanic Auxilia	true
region_unit_resources_string_Auxilia_Egyptian	Egyptian Auxilia	true
region_unit_resources_string_Auxilia_Scythian	Scythian Auxilia	true
region_unit_resources_string_Auxilia_Sabaean	Sabaean Auxilia	true
region_unit_resources_string_Auxilia_Thracia	Local Auxilia Thracia	true
region_unit_resources_string_Auxilia_Caucasia	Local Auxilia Caucasia	true
region_unit_resources_string_Auxilia_Iberian	Iberian Auxilia	true
region_unit_resources_string_Auxilia_Nabatea_ArabiaMagna_ArabiaFelix	Local Auxilia Nabatea, Arabia Magna, Arabia Felix	true
region_unit_resources_string_Auxilia_Bactrian	Bactrian Auxilia	true
region_unit_resources_string_Auxilia_Gallic	Gallic Auxilia	true
region_unit_resources_string_Auxilia_Briton	Briton Auxilia	true
region_unit_resources_string_Auxilia_Bosporus	Local Auxilia Bosporus	true
region_unit_resources_string_Auxilia_Celtic	Celtic Auxilia	true
region_unit_resources_string_Auxilia_Hellas	Local Auxilia Hellas	true
region_unit_resources_string_Auxilia_Hellenic	Hellenic Auxilia	true
region_unit_resources_string_Auxilia_Italian	Italian Auxilia	true
region_unit_resources_string_Auxilia_local_Gedrosia_Arachosia_Bactria_Aria	Local Auxilia Gedrosia, Arachosia, Bactria, Aria	true
region_unit_resources_string_Auxilia_Arabian	Arabian Auxilia	true
region_unit_resources_string_Auxilia_Illyrian	Illyirian Auxilia	true
region_unit_resources_string_Auxilia_Syria	Local Auxilia Syria	true
region_unit_resources_string_Auxilia_Roman	Roman Auxilia	true
region_unit_resources_string_Auxilia_local_Macedonia	Local Auxilia Macedonia	true
region_unit_resources_string_Auxilia_local_Raetia_et_Noricum	Local Auxilia Raetia et Noricum	true
region_unit_resources_string_Auxilia_Galatia_et_Cappadocia	Local Auxilia Galatia et Cappadocia	true
region_unit_resources_string_Auxilia_North_African	North African Auxilia	true
region_unit_resources_string_Auxilia_Sarmatian	Sarmatian Auxilia	true
region_unit_resources_string_Auxilia_local_Tarraconensis	Local Auxilia Tarraconensis	true
region_unit_resources_string_Auxilia_local_Cartaginensis	Local Auxilia Cartaginensis	true
region_unit_resources_string_CiG_Regional_Roman	Roman	true
region_unit_resources_string_CiG_Regional_German	German	true
region_unit_resources_string_CiG_Regional_Greek	Greek	true
region_unit_resources_string_CiG_Regional_Celtic	Celtic	true
region_unit_resources_string_CiG_Regional_Briton	Briton	true
region_unit_resources_string_Auxilia_Saka	Saka Auxilia	true
region_unit_resources_string_Auxilia_Asia	Local Auxilia Asia	true
