Loc PackedFile	1
key	text	tooltip
regions_onscreen_wh2_main_northern_great_jungle_xlanhuapec	Xlanhuapec	true
regions_battle_name_wh2_main_vor_the_turtle_isles_mud_isle	Mud Isles	true
regions_onscreen_wh_main_wissenland_pfeildorf	Pfeildorf	true
regions_onscreen_wh2_main_great_mortis_delta_black_pyramid_of_nagash	Black Pyramid of Nagash	true
regions_battle_name_wh2_main_vor_shifting_mangrove_coastline_teotiqua	Teotiqua	true
regions_onscreen_wh2_main_deadwood_shagrath	Shagrath	true
regions_battle_name_wh_main_parravon_et_quenelles_parravon	Parravon	true
regions_onscreen_wh_main_massif_orcal_massif_orcal	Massif Orcal	true
regions_battle_name_wh_main_couronne_et_languille_couronne	Couronne	true
regions_onscreen_wh2_main_sea_the_forbidding_coast	The Forbidding Coast	true
regions_battle_name_wh2_main_albion_albion	Albion	true
regions_onscreen_wh2_main_vor_sea_the_black_ocean	The Black Ocean	true
regions_onscreen_wh_main_eastern_sylvania_waldenhof	Waldenhof	true
regions_onscreen_wh2_main_vor_the_galleons_graveyard	The Galleon's Graveyard	true
regions_onscreen_wh_main_sea_the_pirate_coast	The Pirate Coast	true
regions_battle_name_wh2_main_saphery_tower_of_hoeth	White Tower of Hoeth	true
regions_onscreen_wh2_main_kingdom_of_beasts_temple_of_skulls	Temple of Skulls	true
regions_battle_name_wh_main_reikland_helmgart	Helmgart	true
regions_battle_name_wh2_main_vor_sea_southern_straits_of_the_great_ocean	Southern Straits of the Great Ocean	true
regions_battle_name_wh2_main_the_black_flood_shroktak_mount	Shroktak Mount	true
regions_battle_name_wh2_main_vor_sea_northern_straits_of_the_great_ocean	Northern Straits of the Great Ocean	true
regions_onscreen_wh2_main_vor_southern_great_jungle_xhotl	Xhotl	true
regions_battle_name_wh2_main_vor_iron_peaks_the_moon_shard	The Moon Shard	true
regions_onscreen_wh2_main_southlands_worlds_edge_mountains_mount_arachnos	Mount Arachnos	true
regions_battle_name_wh_main_mountains_of_hel_altar_of_spawns	Altar of Spawns	true
regions_onscreen_wh2_main_vor_sea_tarantula_coast	Tarantula Coast	true
regions_onscreen_wh2_main_titan_peaks_ssildra_tor	Ss'ildra Tor	true
regions_onscreen_wh_main_sea_gulf_of_kislev	Gulf of Kislev	true
regions_onscreen_wh2_main_the_black_coast_arnheim	Arnheim	true
regions_battle_name_wh2_main_vor_the_broken_land_black_creek_spire	Black Creek Spire	true
regions_battle_name_wh_main_western_sylvania_schwartzhafen	Schwartzhafen	true
regions_onscreen_wh2_main_vor_the_forbidden_jungle_sentinels_of_xeti	Sentinels of Xeti	true
regions_battle_name_wh2_main_great_desert_of_araby_el-kalabad	El-Kalabad	true
regions_battle_name_wh2_main_vor_sea_shifting_isles	Shifting Isles	true
regions_battle_name_wh2_main_vor_phoenix_gate	Phoenix Gate	true
regions_battle_name_wh_main_vanaheim_mountains_bjornlings_gathering	Bjornling's Gathering	true
regions_battle_name_wh2_main_the_black_flood_cragroth_deep	Cragroth Deep	true
regions_onscreen_wh2_main_vor_straits_of_lothern_glittering_tower	Glittering Tower	true
regions_battle_name_wh2_main_vor_eataine_angerrial	Angerrial	true
regions_onscreen_wh2_main_eataine_tower_of_lysean	Tower of Lysean	true
regions_battle_name_wh2_main_sea_the_isles	The Isles	true
regions_onscreen_wh2_main_aghol_wastelands_palace_of_princes	Palace of Princes	true
regions_battle_name_wh2_main_vor_mosquito_swamps_tlax	Tlax	true
regions_battle_name_wh2_main_vor_ashen_coast_scarpels_lair	Scarpel's Lair	true
regions_onscreen_wh_main_western_badlands_bitterstone_mine	Bitterstone Mine	true
regions_battle_name_wh_main_western_badlands_stonemine_tower	Stonemine Tower	true
regions_onscreen_wh2_main_sea_the_galleons_graveyard	The Galleon's Graveyard	true
regions_battle_name_wh2_main_vor_headhunters_jungle_altar_of_the_horned_rat	Altar of the Horned Rat	true
regions_onscreen_wh_main_gianthome_mountains_khazid_bordkarag	Khazid Bordkarag	true
regions_battle_name_wh_main_eastern_sylvania_castle_drakenhof	Castle Drakenhof	true
regions_onscreen_wh2_main_southlands_jungle_golden_tower_of_the_gods	The Golden Tower	true
regions_onscreen_wh2_main_blackspine_mountains_plain_of_dogs	Plain of Dogs	true
regions_onscreen_wh2_main_the_road_of_skulls_kauark	Kauark	true
regions_onscreen_wh2_main_northern_jungle_of_pahualaxa_port_reaver	Port Reaver	true
regions_onscreen_wh2_main_great_desert_of_araby_bel_aliad	Bel Aliad	true
regions_battle_name_wh_main_sea_western_straits_of_the_great_ocean	Western Straits of the Great Ocean	true
regions_onscreen_wh2_main_vor_the_clawed_coast_hoteks_column	Hotek's Column	true
regions_onscreen_wh2_main_land_of_the_dead_pyramid_of_nagash	Black Pyramid of Nagash	true
regions_battle_name_wh2_main_vor_sea_serpents_coast	Serpents Coast	true
regions_onscreen_wh2_main_spine_of_sotek_hualotal	Hualotal	true
regions_onscreen_wh2_main_vor_northern_spine_of_sotek_monument_of_izzatal	Monument of Izzatal	true
regions_battle_name_wh2_main_vor_shadow_wood_circle_of_destruction	Circle of Destruction	true
regions_battle_name_wh2_main_southlands_worlds_edge_mountains_karak_zorn	Karak Zorn	true
regions_battle_name_wh2_main_vor_grey_guardians_ssildra_tor	Ss'ildra Tor	true
regions_battle_name_wh2_main_saphery_tor_finu	Tor Finu	true
regions_onscreen_wh2_main_vor_the_lost_valleys_oyxl	Oyxl	true
regions_onscreen_wh2_main_vor_caledor_vauls_anvil	Vaul's Anvil	true
regions_onscreen_wh2_main_atalan_mountains_vulture_mountain	Vulture Mountain	true
regions_battle_name_wh2_main_vor_iron_peaks_ancient_city_of_quintex	Ancient City of Quintex	true
regions_battle_name_wh2_main_vor_settlers_coast_port_reaver	Port Reaver	true
regions_battle_name_wh2_main_land_of_assassins_sorcerers_islands	Sorcerer's Islands	true
regions_battle_name_wh_main_lyonesse_lyonesse	Lyonesse	true
regions_battle_name_wh2_main_vor_land_of_the_dervishes_sudenburg	Sudenburg	true
regions_onscreen_wh2_main_iron_mountains_naggarond	Naggarond	true
regions_onscreen_wh2_main_ellyrion_tor_elyr	Tor Elyr	true
regions_onscreen_wh2_main_vor_cobra_pass_vulture_mountain	Vulture Mountain	true
regions_battle_name_wh_main_southern_badlands_gronti_mingol	Gronti Mingol	true
regions_battle_name_wh2_main_vor_southlands_world_edge_mountains_karak_zorn	Karak Zorn	true
regions_battle_name_wh2_main_deadwood_dargoth	Dargoth	true
regions_onscreen_wh2_main_spine_of_sotek_monument_of_izzatal	Monument of Izzatal	true
regions_battle_name_wh_main_northern_grey_mountains_blackstone_post	Blackstone Post	true
regions_battle_name_wh2_main_vor_land_of_assassins_lashiek	Lashiek	true
regions_onscreen_wh2_main_land_of_the_dervishes_sudenburg	Sudenburg	true
regions_onscreen_wh2_main_vor_land_of_assassins_palace_of_the_wizard_caliph	Wizard Caliph's Palace	true
regions_onscreen_wh2_main_hell_pit_hell_pit	Hell Pit	true
