ritual_payload_ancillaries_tables	0
id	payload	ancillary
101445503	wh2_dlc10_dwf_ritual_enchanted_item_gauntlets_of_urgency	wh2_dlc10_dwf_anc_enchanted_item_troll_slayers_gauntlets
10336032	wh2_dlc10_dwf_ritual_enchanted_item_horn_of_the_ancestors	wh2_dlc10_dwf_anc_enchanted_item_horn_of_the_ancestors
1036212365	wh2_dlc10_dwf_ritual_armour_forgeproven_gromril_armour	wh2_dlc10_dwf_anc_armour_ironbeards_armour
1057087341	wh2_dlc10_dwf_ritual_armour_wailing_mail	wh2_dlc10_dwf_anc_armour_dragon_slayers_scales
1078043491	wh2_dlc09_ritual_crafting_tmb_enchanted_item_potion_of_toughness	wh_main_anc_enchanted_item_potion_of_toughness
1085070622	wh2_dlc10_dwf_ritual_enchanted_item_drinking_horn	wh2_dlc10_dwf_anc_enchanted_item_miners_drinking_horn
1107821838	wh2_dlc10_dwf_ritual_armour_shield_of_warding	wh2_dlc10_dwf_anc_armour_rangers_cloak
1163434079	wh2_dlc10_dwf_ritual_enchanted_item_bracers_of_evasion	wh2_dlc10_dwf_anc_enchanted_item_ironbeards_bracers
117335850	wh2_dlc09_ritual_crafting_tmb_weapon_enchanted_lapis_mace	wh2_dlc09_anc_weapon_enchanted_lapis_mace
1198555628	wh2_dlc10_dwf_ritual_enchanted_item_sceptre_of_stone	wh2_dlc10_dwf_anc_enchanted_item_sceptre_of_stone
1220421107	wh2_dlc10_dwf_ritual_weapon_trollslayer_axe	wh2_dlc10_dwf_anc_weapon_trollslayer_axe
1225871236	wh2_dlc10_dwf_ritual_weapon_hammer_of_eight_peaks	wh2_dlc10_dwf_anc_weapon_old_guards_hammer
1310934519	wh2_dlc10_dwf_ritual_armour_helm_of_courage	wh2_dlc10_dwf_anc_armour_miners_helm
1313213610	wh2_dlc09_ritual_crafting_tmb_enchanted_item_hieratic_jar	wh2_dlc09_anc_enchanted_item_hieratic_jar
1325717122	wh2_dlc09_ritual_crafting_tmb_armour_armour_of_dawn	wh2_dlc09_anc_armour_armour_armour_of_dawn
1353601095	wh2_dlc09_ritual_crafting_tmb_enchanted_item_ouroboros	wh2_dlc09_anc_enchanted_item_ouroboros
