ritual_payloads_tables	1
key	human_only
wh2_dlc09_ritual_crafting_tmb_arcane_item_blue_khepra	false
wh2_dlc09_ritual_crafting_tmb_arcane_item_enkhils_kanopi	false
wh2_dlc09_ritual_crafting_tmb_arcane_item_neferras_scrolls_of_mighty_incantations	false
wh2_dlc09_ritual_crafting_tmb_arcane_item_power_scroll	false
wh2_dlc09_ritual_crafting_tmb_arcane_item_scroll_of_leeching	false
wh2_dlc09_ritual_crafting_tmb_arcane_item_scroll_of_shielding	false
wh2_dlc09_ritual_crafting_tmb_armour_armour_of_dawn	false
wh2_dlc09_ritual_crafting_tmb_armour_armour_of_eternity	false
wh2_dlc09_ritual_crafting_tmb_armour_armour_of_the_ages	false
wh2_dlc09_ritual_crafting_tmb_armour_helmet_of_khsar	false
wh2_dlc09_ritual_crafting_tmb_armour_mortuary_robes	false
wh2_dlc09_ritual_crafting_tmb_armour_scorpion_armour	false
wh2_dlc09_ritual_crafting_tmb_armour_shield_of_ptra	false
wh2_dlc09_ritual_crafting_tmb_armour_skull_cap_of_the_moon	false
wh2_dlc09_ritual_crafting_tmb_army_capacity	false
wh2_dlc09_ritual_crafting_tmb_carrion	false
wh2_dlc09_ritual_crafting_tmb_enchanted_item_brooch_of_the_great_desert	false
wh2_dlc09_ritual_crafting_tmb_enchanted_item_death_mask_of_kharnut	false
wh2_dlc09_ritual_crafting_tmb_enchanted_item_elixir_of_might	false
wh2_dlc09_ritual_crafting_tmb_enchanted_item_hieratic_jar	false
wh2_dlc09_ritual_crafting_tmb_enchanted_item_icon_of_rulership	false
wh2_dlc09_ritual_crafting_tmb_enchanted_item_ouroboros	false
wh2_dlc09_ritual_crafting_tmb_enchanted_item_potion_of_foolhardiness	false
wh2_dlc09_ritual_crafting_tmb_enchanted_item_potion_of_speed	false
wh2_dlc09_ritual_crafting_tmb_enchanted_item_potion_of_strength	false
wh2_dlc09_ritual_crafting_tmb_enchanted_item_potion_of_toughness	false
wh2_dlc09_ritual_crafting_tmb_enchanted_item_shroud_of_sokth	false
wh2_dlc09_ritual_crafting_tmb_enchanted_item_vambraces_of_the_sun	false
wh2_dlc09_ritual_crafting_tmb_necropolis_knights	false
wh2_dlc09_ritual_crafting_tmb_nehekhara_horsemen	false
