Loc PackedFile	1
key	text	tooltip
rituals_display_name_wh2_dlc09_ritual_crafting_tmb_enchanted_item_brooch_of_the_great_desert	Brooch of the Great Desert	true
rituals_display_name_wh2_dlc09_ritual_tmb_ptra	Great Incantation of Ptra	true
rituals_description_wh2_dlc10_ritual_hef_lileath	{{tr:wh2_dlc10_ritual_hef_lileath_description}}	true
rituals_display_name_wh2_dlc10_dwf_ritual_armour_prospectors_mail	Prospector's Mail	true
rituals_description_wh2_dlc09_ritual_crafting_tmb_armour_armour_of_eternity	 	true
rituals_description_wh2_dlc10_dwf_ritual_armour_gate_keepers_helm	 	true
rituals_display_name_wh2_dlc09_ritual_tmb_khsar	Great Incantation of Khsar	true
rituals_description_wh2_dlc09_ritual_tmb_khsar	{{tr:wh2_dlc09_ritual_tmb_khsar_description}}	true
rituals_description_wh2_dlc11_ritual_cst_queens_cannon	{{tr:wh2_dlc11_ritual_cst_queens_cannon_description}}	true
rituals_display_name_wh2_dlc11_ritual_cst_queens_cannon	Curse of the Queen’s Cannon	true
rituals_description_wh2_main_ritual_hef_hoeth	{{tr:wh2_main_ritual_hef_hoeth_description}}	true
rituals_description_wh2_main_ritual_skv_pestilence	{{tr:wh2_main_ritual_skv_pestilence_description}}	true
rituals_display_name_wh2_main_ritual_skv_pestilence	The Pestilent Scheme	true
rituals_display_name_wh2_dlc09_ritual_crafting_tmb_armour_armour_of_eternity	Armour of Eternity	true
rituals_display_name_wh2_dlc11_vmp_ritual_bloodline_awaken_lahmian_03	Lahmian	true
rituals_display_name_wh2_dlc11_vmp_ritual_bloodline_awaken_lahmian_02	Lahmian	true
rituals_display_name_wh2_dlc11_vmp_ritual_bloodline_awaken_lahmian_01	Lahmian	true
rituals_display_name_wh2_dlc09_ritual_crafting_tmb_weapon_golden_dagger	Golden Dagger	true
rituals_description_wh2_dlc09_ritual_crafting_tmb_weapon_golden_dagger	 	true
rituals_description_wh2_dlc09_ritual_crafting_tmb_enchanted_item_brooch_of_the_great_desert	 	true
rituals_description_wh2_dlc09_ritual_tmb_geheb	{{tr:wh2_dlc09_ritual_tmb_geheb_description}}	true
rituals_display_name_wh2_dlc09_ritual_tmb_geheb	Great Incantation of Geheb	true
rituals_description_wh2_main_ritual_lzd_ferocity	{{tr:wh2_main_ritual_lzd_ferocity_description}}	true
rituals_display_name_wh2_dlc09_ritual_crafting_tmb_talisman_collar_of_shakkara	Collar of Shakkara	true
rituals_description_wh2_dlc09_ritual_crafting_tmb_enchanted_item_potion_of_strength	 	true
rituals_display_name_wh2_dlc12_tehenhauin_sacrifice_tier6_sotek	Great Sacrifice of Sotek	true
rituals_description_wh2_dlc12_tehenhauin_sacrifice_tier6_sotek	\nTurns duration: 10\n\n[[col:green]][[img:icon_sotek]][[/img]]Army ability: "The Great Invocation of Sotek"\n (all armies)	true
rituals_description_wh2_dlc12_tehenhauin_sacrifice_tier2_ror_pok_hopak_cohort	\n[[col:green]][[img:icon_spawning]][[/img]]Unlocks Regiment of Renown: Pok-Hopak Cohort (Cold One Spear-Riders)	true
rituals_display_name_wh2_dlc10_dwf_ritual_talisman_dragon_slayers_fang	Dragon Slayer's Fang	true
rituals_description_wh2_dlc10_dwf_ritual_armour_prospectors_mail	 	true
rituals_display_name_wh2_dlc10_ritual_hef_lileath	Invocation of Lileath	true
rituals_display_name_wh2_dlc10_dwf_ritual_armour_rangers_cloak	Ranger's Cloak	true
rituals_description_wh2_dlc09_ritual_crafting_tmb_armour_skull_cap_of_the_moon	 	true
rituals_display_name_wh2_dlc09_ritual_crafting_tmb_armour_skull_cap_of_the_moon	Skull Cap of the Moon	true
rituals_display_name_wh2_main_ritual_lzd_ferocity	Rite of Ferocity	true
rituals_description_wh2_dlc11_vmp_ritual_bloodline_awaken_lahmian_03	{{tr:wh2_dlc11_vmp_ritual_bloodline_awaken_lahmian_description}}	true
rituals_description_wh2_dlc11_vmp_ritual_bloodline_awaken_lahmian_02	{{tr:wh2_dlc11_vmp_ritual_bloodline_awaken_lahmian_description}}	true
rituals_description_wh2_dlc11_vmp_ritual_bloodline_awaken_lahmian_01	{{tr:wh2_dlc11_vmp_ritual_bloodline_awaken_lahmian_description}}	true
rituals_display_name_wh2_dlc09_ritual_crafting_tmb_enchanted_item_potion_of_strength	Potion of Strength	true
rituals_display_name_wh2_dlc12_tehenhauin_sacrifice_tier4_ror_star_chamber_guardians	Sacrifice of Axlotl	true
rituals_description_wh2_dlc11_vmp_ritual_bloodline_awaken_necrarch_01	{{tr:wh2_dlc11_vmp_ritual_bloodline_awaken_necrarch_description}}	true
rituals_description_wh2_dlc11_vmp_ritual_bloodline_awaken_necrarch_02	{{tr:wh2_dlc11_vmp_ritual_bloodline_awaken_necrarch_description}}	true
rituals_description_wh2_dlc11_vmp_ritual_bloodline_awaken_necrarch_03	{{tr:wh2_dlc11_vmp_ritual_bloodline_awaken_necrarch_description}}	true
rituals_display_name_wh2_dlc12_lzd_tiktaqto_ritual_persistence	{{tr:wh2_dlc12_lzd_tiktaqto_ritual_persistence_title}}	true
rituals_display_name_wh2_dlc11_ritual_cst_bountiful_treasure	Curse of the Bountiful Treasure	true
rituals_description_wh2_dlc10_dwf_ritual_enchanted_item_gate_keepers_belt	 	true
rituals_display_name_wh2_dlc09_ritual_crafting_tmb_weapon_double_crescent_of_neru	Double Crescent of Neru	true
rituals_description_wh2_main_ritual_skv_ascendancy	{{tr:wh2_main_ritual_skv_ascendancy_description}}	true
rituals_display_name_wh2_main_ritual_skv_ascendancy	The Dominating Scheme	true
rituals_description_wh2_dlc09_ritual_crafting_tmb_arcane_item_scroll_of_shielding	 	true
rituals_description_wh2_dlc10_dwf_ritual_talisman_the_ankor_chain	 	true
rituals_display_name_wh2_dlc09_ritual_skv_thirteen_rictus	The Thirteenth Scheme	true
rituals_display_name_wh2_main_ritual_def_mathlann	Sacrifice to Mathlann	true
rituals_display_name_wh2_dlc09_ritual_crafting_tmb_weapon_enchanted_lapis_mace	Enchanted Lapis Mace	true
rituals_description_wh2_main_ritual_lzd_sotek	{{tr:wh2_main_ritual_lzd_sotek_description}}	true
rituals_display_name_wh2_dlc11_ritual_cst_eternal_service	Curse of Eternal Service	true
rituals_description_wh2_dlc09_ritual_crafting_tmb_armour_armour_of_the_ages	 	true
rituals_display_name_wh2_dlc10_dwf_ritual_enchanted_item_sceptre_of_stone	Sceptre of Stone	true
rituals_description_wh2_dlc10_dwf_ritual_armour_ironbeards_armour	 	true
rituals_display_name_wh2_dlc09_ritual_crafting_tmb_arcane_item_scroll_of_leeching	Scroll of Leeching	true
rituals_display_name_wh2_dlc11_vmp_ritual_bloodline_awaken_strigoi_01	Strigoi	true
rituals_display_name_wh2_dlc11_vmp_ritual_bloodline_awaken_strigoi_02	Strigoi	true
rituals_display_name_wh2_dlc11_vmp_ritual_bloodline_awaken_strigoi_03	Strigoi	true
rituals_display_name_wh2_dlc09_ritual_crafting_tmb_armour_armour_of_the_ages	Armour of the Ages	true
rituals_description_wh2_main_ritual_skv_thirteen_moulder	{{tr:wh2_main_ritual_skv_thirteen_description}}	true
rituals_description_wh2_dlc12_tehenhauin_sacrifice_tier4_ror_star_chamber_guardians	\n[[col:green]][[img:icon_spawning]][[/img]]Unlocks Regiment of Renown: Star Chamber Guardians (Temple Guard)	true
rituals_display_name_wh2_dlc09_ritual_crafting_tmb_armour_scorpion_armour	Scorpion Armour	true
rituals_display_name_wh2_dlc10_ritual_def_drakira	Sacrifice to Drakira	true
rituals_description_wh2_dlc11_ritual_cst_bountiful_treasure	{{tr:wh2_dlc11_ritual_cst_bountiful_treasure_description}}	true
rituals_display_name_wh2_dlc10_dwf_ritual_talisman_miners_lattern	Miner's Lantern	true
rituals_description_wh2_dlc09_ritual_skv_thirteen_rictus	{{tr:wh2_main_ritual_skv_thirteen_description}}	true
rituals_description_wh2_main_ritual_skv_thirteen_mors	{{tr:wh2_main_ritual_skv_thirteen_description}}	true
rituals_description_wh2_dlc11_ritual_cst_eternal_service	{{tr:wh2_dlc11_ritual_cst_eternal_service_description}}	true
rituals_description_wh2_dlc09_ritual_crafting_tmb_enchanted_item_death_mask_of_kharnut	 	true
rituals_display_name_wh2_dlc09_ritual_crafting_tmb_enchanted_item_death_mask_of_kharnut	Death Mask of Kharnut	true
rituals_description_wh2_main_ritual_def_mathlann	{{tr:wh2_main_ritual_def_mathlann_description}}	true
rituals_display_name_wh2_dlc09_ritual_crafting_tmb_arcane_item_neferras_scrolls_of_mighty_incantations	Neferra's Scrolls of Mighty Incantations	true
rituals_display_name_wh2_dlc11_vmp_ritual_bloodline_awaken_blood_dragon_01	Blood Dragon	true
rituals_display_name_wh2_dlc11_vmp_ritual_bloodline_awaken_blood_dragon_02	Blood Dragon	true
rituals_display_name_wh2_dlc11_vmp_ritual_bloodline_awaken_blood_dragon_03	Blood Dragon	true
rituals_description_wh2_dlc09_ritual_crafting_tmb_weapon_double_crescent_of_neru	 	true
rituals_description_wh2_dlc09_ritual_crafting_tmb_armour_scorpion_armour	 	true
rituals_description_wh2_dlc10_ritual_def_drakira	{{tr:wh2_dlc10_ritual_def_drakira_description}}	true
rituals_display_name_wh2_dlc12_tehenhauin_sacrifice_tier1_replenishment	Sacrifice of Qurveza	true
rituals_description_wh2_dlc12_tehenhauin_sacrifice_tier1_replenishment	\nTurns duration: 10\n\n[[col:green]][[img:icon_casualty_replenishment]][[/img]]Casualty replenishment rate: +15%\n (all armies)	true
rituals_description_wh2_dlc10_dwf_ritual_talisman_miners_lattern	 	true
rituals_display_name_wh2_dlc09_ritual_crafting_tmb_talisman_amulet_of_pha_stah	Amulet of Pha-Stah	true
rituals_description_wh2_dlc10_dwf_ritual_enchanted_item_sceptre_of_stone	 	true
rituals_display_name_wh2_dlc12_ikit_workshop_doomflayer_part_8	Spiked Armour Plates	true
rituals_display_name_wh2_dlc12_ikit_workshop_doomflayer_part_9	Aero-Die-Namics	true
rituals_display_name_wh2_dlc12_ikit_workshop_doomflayer_part_4	Propeller Knife-Blades	true
rituals_display_name_wh2_dlc12_ikit_workshop_doomflayer_part_5	Warp-Flares	true
rituals_display_name_wh2_dlc12_ikit_workshop_doomflayer_part_6	Obsidian Alloy	true
rituals_display_name_wh2_dlc12_ikit_workshop_doomflayer_part_7	Decomposing Decoys	true
rituals_display_name_wh2_dlc12_ikit_workshop_doomflayer_part_0	Micro-Reactors	true
rituals_display_name_wh2_dlc12_ikit_workshop_doomflayer_part_1	Doom Diagnostics	true
rituals_display_name_wh2_dlc12_ikit_workshop_doomflayer_part_2	Biointerfaces	true
rituals_display_name_wh2_dlc12_ikit_workshop_doomflayer_part_3	Deployable Skewer-Blades	true
rituals_description_wh2_dlc09_ritual_crafting_tmb_arcane_item_scroll_of_leeching	 	true
rituals_description_wh2_dlc11_vmp_ritual_bloodline_awaken_strigoi_01	{{tr:wh2_dlc11_vmp_ritual_bloodline_awaken_strigoi_description}}	true
rituals_description_wh2_dlc11_vmp_ritual_bloodline_awaken_strigoi_02	{{tr:wh2_dlc11_vmp_ritual_bloodline_awaken_strigoi_description}}	true
rituals_description_wh2_dlc11_vmp_ritual_bloodline_awaken_strigoi_03	{{tr:wh2_dlc11_vmp_ritual_bloodline_awaken_strigoi_description}}	true
rituals_display_name_wh2_main_ritual_skv_thirteen_moulder	The Thirteenth Scheme	true
rituals_display_name_wh2_dlc09_ritual_crafting_tmb_talisman_obsidian_lodestone	Obsidian Pendant	true
rituals_description_wh2_dlc10_dwf_ritual_armour_slayers_gauntlets	 	true
rituals_description_wh2_dlc12_ikit_workshop_warpfire_part_2	With pump designs haphazardly copied from the Dwarfs, the Warpfire Throwers will squirt their toxic filth further than ever before!	true
rituals_description_wh2_dlc12_ikit_workshop_warpfire_part_0	A double-barrelled flamethrower has two uses – preventing the weapon from overheating and shooting enemies approaching from two different directions!	true
rituals_description_wh2_dlc12_ikit_workshop_warpfire_part_1	Whether handling dangerous materials in the lab or wielding chemical-spewing weaponry in the field, protective attire is always a boon!	true
rituals_display_name_wh2_dlc10_dwf_ritual_armour_miners_helm	Miner's Helm	true
rituals_display_name_wh2_dlc09_ritual_crafting_tmb_enchanted_item_potion_of_speed	Potion of Speed	true
rituals_description_wh2_main_ritual_vortex_3_skv	{{tr:wh2_main_ritual_vortex_3_skv_description}}	true
rituals_description_wh2_main_ritual_vortex_2_skv	{{tr:wh2_main_ritual_vortex_2_skv_description}}	true
rituals_description_wh2_main_ritual_vortex_1_skv	{{tr:wh2_main_ritual_vortex_1_skv_description}}	true
rituals_description_wh2_main_ritual_vortex_5_skv	{{tr:wh2_main_ritual_vortex_5_skv_description}}	true
rituals_description_wh2_main_ritual_vortex_4_skv	{{tr:wh2_main_ritual_vortex_4_skv_description}}	true
rituals_description_wh2_dlc12_ikit_workshop_jezail_part_0	The Skaven do not have great eyesight, so the sniping ability of Warplock Jezzails benefits greatly from immensely powerful telescopic scopes.	true
rituals_description_wh2_dlc12_ikit_workshop_jezail_part_1	A costly method of manufacturing bullets results in this all-purpose ammunition, effective against all types of armour whenever within killing range.	true
rituals_description_wh2_dlc12_ikit_workshop_jezail_part_2	Invisibility is seemingly a step too far, so the Engineers of Skryre shall devise something they claim is just as good.	true
rituals_display_name_wh2_dlc10_dwf_ritual_enchanted_item_old_guards_keg	Old Guard's Keg	true
rituals_description_wh2_dlc10_dwf_ritual_enchanted_item_old_guards_keg	 	true
rituals_display_name_wh2_dlc11_vmp_ritual_bloodline_awaken_von_carstein_01	Von Carstein	true
rituals_display_name_wh2_dlc11_vmp_ritual_bloodline_awaken_von_carstein_03	Von Carstein	true
rituals_display_name_wh2_dlc11_vmp_ritual_bloodline_awaken_von_carstein_02	Von Carstein	true
rituals_display_name_wh2_dlc12_ikit_workshop_warpfire_part_0	Motorised Pumps	true
rituals_display_name_wh2_dlc12_ikit_workshop_warpfire_part_1	Hazmat Fur-Suits	true
rituals_display_name_wh2_dlc12_ikit_workshop_warpfire_part_2	Gout Boosters	true
rituals_description_wh2_dlc10_dwf_ritual_armour_old_guards_armour	 	true
rituals_description_wh2_dlc10_dwf_ritual_armour_miners_helm	 	true
rituals_display_name_wh2_dlc09_ritual_crafting_tmb_armour_helmet_of_khsar	Helmet of Khsar	true
rituals_display_name_wh2_main_ritual_vortex_3_def	{{tr:wh2_main_ritual_vortex_3_def}}	true
rituals_display_name_wh2_main_ritual_vortex_3_hef	{{tr:wh2_main_ritual_vortex_3_hef}}	true
rituals_display_name_wh2_main_ritual_vortex_2_def	{{tr:wh2_main_ritual_vortex_2_def}}	true
rituals_display_name_wh2_main_ritual_vortex_2_hef	{{tr:wh2_main_ritual_vortex_2_hef}}	true
rituals_display_name_wh2_main_ritual_vortex_1_def	{{tr:wh2_main_ritual_vortex_1_def}}	true
rituals_display_name_wh2_main_ritual_vortex_1_hef	{{tr:wh2_main_ritual_vortex_1_hef}}	true
rituals_display_name_wh2_main_ritual_vortex_5_def	{{tr:wh2_main_ritual_vortex_5_def}}	true
rituals_display_name_wh2_main_ritual_vortex_5_hef	{{tr:wh2_main_ritual_vortex_5_hef}}	true
rituals_display_name_wh2_main_ritual_vortex_4_def	{{tr:wh2_main_ritual_vortex_4_def}}	true
rituals_display_name_wh2_main_ritual_vortex_4_hef	{{tr:wh2_main_ritual_vortex_4_hef}}	true
rituals_description_wh2_dlc09_ritual_crafting_tmb_enchanted_item_potion_of_speed	 	true
rituals_display_name_wh2_dlc10_dwf_ritual_talisman_slayers_ring	Slayer's Ring	true
rituals_description_wh2_dlc10_dwf_ritual_talisman_slayers_ring	 	true
rituals_description_wh2_dlc10_dwf_ritual_talisman_ironbeards_ring	 	true
rituals_display_name_wh2_dlc09_ritual_crafting_tmb_weapon_fang_of_quaph	Fang of Qu'aph	true
rituals_description_wh2_dlc09_ritual_crafting_tmb_weapon_fang_of_quaph	 	true
rituals_display_name_wh2_main_ritual_vortex_3_skv	{{tr:wh2_main_ritual_vortex_3_skv}}	true
rituals_display_name_wh2_main_ritual_vortex_2_skv	{{tr:wh2_main_ritual_vortex_2_skv}}	true
rituals_display_name_wh2_main_ritual_vortex_1_skv	{{tr:wh2_main_ritual_vortex_1_skv}}	true
rituals_display_name_wh2_main_ritual_vortex_5_skv	{{tr:wh2_main_ritual_vortex_5_skv}}	true
rituals_display_name_wh2_main_ritual_vortex_4_skv	{{tr:wh2_main_ritual_vortex_4_skv}}	true
