special_ability_phase_displays_tables	0
active_vfx	banner_vfx	entity_vfx	key
	wh_main_generic_banner_debuff	wh2_dlc09_abilities_befalling_curse	wh2_dlc09_abilities_befalling_curse
	wh_main_generic_banner_debuff	wh2_dlc09_abilities_blade_of_setep	wh2_dlc09_abilities_blade_of_setep
		wh2_dlc09_abilities_blessing_of_asaph	wh2_dlc09_abilities_blessing_of_asaph
		wh2_dlc09_abilities_curse_of_djaf	wh2_dlc09_abilities_curse_of_djaf
	wh_main_generic_banner_buff	wh2_dlc09_abilities_realm_of_souls_level_1	wh2_dlc09_abilities_realm_of_souls_tier_1
	wh_main_generic_banner_buff	wh2_dlc09_abilities_realm_of_souls_level_2	wh2_dlc09_abilities_realm_of_souls_tier_2
	wh_main_generic_banner_buff	wh2_dlc09_abilities_realm_of_souls_level_3	wh2_dlc09_abilities_realm_of_souls_tier_3
	wh_main_generic_banner_debuff	wh2_dlc09_abilities_stay_here	wh2_dlc09_abilities_stay_here_ill_get_help
	wh_main_generic_banner_debuff	wh2_dlc09_abilities_the_curse	wh2_dlc09_abilities_the_curse
		wh2_dlc09_army_abilities_sand_veil	wh2_dlc09_army_abilities_sand_veil
	wh_main_generic_banner_debuff	wh2_dlc09_army_abilities_tomb_swarm_entity_debuff	wh2_dlc09_army_abilities_tomb_swarm
	wh2_dlc09_tomb_kings_banner_unstable	wh2_dlc09_tomb_kings_unstable	wh2_dlc09_sand_crumble
	wh2_dlc09_tomb_kings_banner_unstable_severe	wh2_dlc09_tomb_kings_unstable_severe	wh2_dlc09_sand_crumble_II
	wh_main_generic_banner_buff	wh2_dlc09_nehekhara_cursed_blades	wh2_dlc09_spell_nehekhara_djafs_incantation_of_cursed_blades
	wh_main_generic_banner_buff	wh2_dlc09_nehekhara_protection	wh2_dlc09_spell_nehekhara_nerus_incantation_of_protection
	wh_main_generic_banner_buff	wh2_dlc09_nehekhara_righteous_smiting	wh2_dlc09_spell_nehekhara_ptras_incantation_of_righteous_smiting
	wh_main_generic_banner_debuff	wh2_dlc09_nehekhara_desiccation	wh2_dlc09_spell_nehekhara_usekhps_incantation_of_desiccation
	wh_main_generic_banner_debuff	wh2_dlc09_nehekhara_vengeance	wh2_dlc09_spell_nehekhara_usirians_incantation_of_vengeance
	wh2_dlc10_entangle_phase_banner	wh2_dlc10_entangle_phase	wh2_dlc10_entangle_phase
		wh2_dlc10_insane_head_debuff	wh2_dlc10_insane_head
	wh_main_generic_banner_buff	wh2_dlc10_buff_star_of_avelorn_entity	wh2_dlc10_item_abilities_star_of_avelorn
		wh2_dlc10_bloodfrenzy_1	wh2_dlc10_lord_phase_blood_frenzy_1
		wh2_dlc10_bloodfrenzy_2	wh2_dlc10_lord_phase_blood_frenzy_2
		wh2_dlc10_bloodfrenzy_3	wh2_dlc10_lord_phase_blood_frenzy_3
		wh2_dlc10_mislead_disappear	wh2_dlc10_mislead_phase
	wh_main_generic_banner_buff	wh2_dlc10_motherofflame_buff	wh2_dlc10_motherofflame
	wh2_dlc10_primalrampage1		wh2_dlc10_primalrampage1
	wh2_dlc10_primalrampage2		wh2_dlc10_primalrampage2
	wh2_dlc10_primalrampage3		wh2_dlc10_primalrampage3
	wh2_dlc10_waaagh_banner	wh2_dlc10_waaagh_phase	wh2_dlc10_waaagh
		wh2_dlc10_bloodfrenzy_1	wh2_dlc10_weapon_abilities_shadow_of_khaine
		wh2_dlc11_entity_flames_dot	wh2_dlc11_abilities_pyromaniac
	wh_main_generic_banner_debuff	wh2_dlc11_spearfishers_net_entity_debuff	wh2_dlc11_ability_spearfishers_net
	wh2_dlc11_abilities_sea_shanty1_banner	wh_main_generic_entity_buff_defence_attack	wh2_dlc11_army_abilities_shanty_verse_1
	wh2_dlc11_abilities_sea_shanty2_banner	wh_main_generic_entity_buff_defence_attack	wh2_dlc11_army_abilities_shanty_verse_2
	wh2_dlc11_abilities_sea_shanty3_banner	wh_main_generic_entity_buff_defence_attack	wh2_dlc11_army_abilities_shanty_verse_3
	wh_main_generic_banner_debuff	wh2_dlc11_ability_debuff_attack	wh2_dlc11_deep_debuff_attack
		wh2_dlc11_abilities_storm_of_the_night_entity_debuff	wh2_dlc11_lord_abilities_storm_of_the_night
	wh2_dlc11_deep_banner_debuff	wh2_dlc11_deep_fog_of_damned_unit_debuff	wh2_dlc11_spell_deep_fog_of_the_damned
	wh_main_generic_banner_buff	wh2_dlc11_deep_spiteful_shot	wh2_dlc11_spell_deep_spiteful_shot
	wh2_dlc11_unit_passive_extra_powder_banner		wh2_dlc11_unit_passive_extra_powder
	wh2_dlc12_skv_banner_buff_wom		wh2_dlc12_ability_unlimited_power
		wh2_dlc12_drop_sphere_entity	wh2_dlc12_drop_sphere_contact
	wh_main_generic_banner_debuff	wh2_main_abilities_lure_of_the_pale_queen	wh2_main_abilities_lure_of_the_pale_queen
	wh2_main_generic_banner_debuff_wom	wh_main_generic_entity_hp_regen	wh2_main_abilities_potion_of_charoi
		wh2_main_bound_entity_energy_eagle	wh2_main_bound_entity_energy_eagle
		wh2_main_bound_entity_energy_rat	wh2_main_bound_entity_energy_rat
	wh_main_generic_banner_buff	wh2_main_abilities_cold_blooded	wh2_main_character_abilities_cold_blooded
		wh2_main_abilities_aura_of_pestilence	wh2_main_character_passive_aura_of_pestilence
	wh2_main_abilities_murderous_prowess_banner	wh2_main_abilities_murderous_prowess_entity_buff	wh2_main_faction_abilities_murderous_prowess
	wh2_main_abilities_murderous_prowess_banner_indicator		wh2_main_faction_abilities_murderous_prowess_indicator
		wh2_main_generic_entity_buff_speed	wh2_main_generic_buff_speed_passive
	wh_main_generic_banner_buff	wh2_main_generic_entity_buff_wom	wh2_main_generic_buff_wom
	wh2_main_generic_banner_buff_wom		wh2_main_generic_buff_wom_banner
	wh_main_generic_banner_debuff	wh2_main_generic_entity_debuff_wom	wh2_main_generic_debuff_wom
	wh2_main_generic_banner_debuff_wom		wh2_main_generic_debuff_wom_banner
	wh_main_generic_banner_buff	wh2_main_abilities_armour_of_the_stars	wh2_main_item_abilities_armour_of_the_stars
		wh2_main_abilities_billowing_death	wh2_main_mount_passive_billowing_death
		wh2_main_unit_rebirth_miscast	wh2_main_rebirth_miscast
	wh2_main_generic_banner_buff_wom	wh2_main_dark_power_of_darkness_entity_buff	wh2_main_spell_dark_magic_power_of_darkness
	wh_main_generic_banner_debuff	wh2_main_dark_soul_stealer_entity_debuff	wh2_main_spell_dark_magic_soul_stealer
	wh_main_generic_banner_debuff	wh2_main_dark_word_of_pain_entity_debuff	wh2_main_spell_dark_magic_word_of_pain
	wh_main_generic_banner_buff	wh2_main_high_apotheosis_entity_buff	wh2_main_spell_high_magic_apothesis
	wh_main_generic_banner_debuff	wh2_main_high_arcane_unforgiving_entity_debuff	wh2_main_spell_high_magic_arcane_unforgiving
	wh_main_generic_banner_buff	wh2_main_high_hand_of_glory_entity_buff	wh2_main_spell_high_magic_hand_of_glory
		wh2_main_high_tempest_entity_debuff	wh2_main_spell_high_magic_tempest
	wh_main_generic_banner_buff	wh2_main_plague_bless_with_filth_entity_buff	wh2_main_spell_plague_bless_with_filth
	wh2_main_plague_vermintide_decal		wh2_main_spell_plague_vermintide
	wh_main_generic_banner_buff	wh2_main_plague_wither_entity_debuff	wh2_main_spell_plague_wither
	wh_main_generic_banner_buff	wh2_main_ruin_death_frenzy_entity_buff	wh2_main_spell_ruin_death_frenzy
	wh_main_generic_banner_debuff	wh2_main_ruin_howling_warpgale_entity_debuff	wh2_main_spell_ruin_howling_warpgale
	wh_main_generic_banner_buff	wh2_main_ruin_skitterleap_entity_buff	wh2_main_spell_ruin_skitterleap
	wh_main_generic_banner_buff	wh2_main_abilities_concealment_bombs	wh2_main_unit_abilities_concealment_bombs
	wh_main_generic_banner_debuff		wh2_main_unit_contact_weeping_blade
	wh_main_generic_banner_buff	wh2_main_abilities_another_takes_its_place	wh2_main_unit_passive_another_takes_its_place
