Loc PackedFile	1
key	text	tooltip
special_ability_phases_onscreen_name_wh2_dlc10_item_passive_ironbeards_bracers	Bracers of Evasion	true
special_ability_phases_onscreen_name_wh2_dlc12_unit_passive_portent_of_warding		true
special_ability_phases_onscreen_name_wh2_main_item_passive_diamond_guardian_phoenix		true
special_ability_phases_onscreen_name_wh_main_spell_death_doom_and_darkness		true
special_ability_phases_onscreen_name_wh2_main_item_abilities_the_tricksters_pendant		true
special_ability_phases_onscreen_name_wh_dlc03_character_abilities_apocalyptic_vision		true
special_ability_phases_onscreen_name_wh_pro01_weapon_abilities_rune_axe_of_grombrindal		true
special_ability_phases_onscreen_name_wh2_main_item_passive_warp_shard_armour		true
special_ability_phases_onscreen_name_wh2_main_spell_dark_magic_word_of_pain		true
special_ability_phases_onscreen_name_wh2_dlc12_lord_passive_secondwind_serum		true
special_ability_phases_onscreen_name_wh_dlc07_lord_abilities_lions_shield		true
special_ability_phases_onscreen_name_wh_dlc04_unit_passive_balefire		true
special_ability_phases_onscreen_name_wh_pro04_unit_passive_guardian		true
special_ability_phases_onscreen_name_wh2_main_spell_dark_magic_soul_stealer_miscast	[[col:green]][[img:icon_hp]][[/img]]Absorb hitpoints from enemies[[/col]]	true
special_ability_phases_onscreen_name_wh_pro04_unit_abilities_warp_gaze		true
special_ability_phases_onscreen_name_wh_dlc05_spell_life_awakening_of_the_wood		true
special_ability_phases_onscreen_name_wh_main_spell_death_the_fate_of_bjuna		true
special_ability_phases_onscreen_name_wh_main_spell_lil_waaagh_sneaky_stabbin		true
special_ability_phases_onscreen_name_wh_dlc05_spell_life_shield_of_thorns		true
special_ability_phases_onscreen_name_wh2_main_army_abilities_temple_of_mists		true
special_ability_phases_onscreen_name_wh_main_lord_passive_the_ladys_champion		true
special_ability_phases_onscreen_name_wh_main_rune_abilities_rune_of_wrath_and_ruin		true
special_ability_phases_onscreen_name_wh_dlc03_spell_beasts_flock_of_doom_upgraded		true
special_ability_phases_onscreen_name_wh2_main_army_abilities_eshin_clanstone		true
special_ability_phases_onscreen_name_wh_dlc06_unit_passive_the_old_grumblers		true
special_ability_phases_onscreen_name_wh2_main_item_abilities_scroll_of_hoeth		true
special_ability_phases_onscreen_name_wh_main_spell_lil_waaagh_gorkll_fix_it		true
special_ability_phases_onscreen_name_wh_dlc03_hero_passive_strength_of_the_land_iii		true
special_ability_phases_onscreen_name_wh_main_mount_passive_bloodroar		true
special_ability_phases_onscreen_name_wh_main_hero_abilities_mad_cap_mushrooms		true
special_ability_phases_onscreen_name_wh2_main_character_passive_horn_of_isha		true
special_ability_phases_onscreen_name_wh_dlc06_unit_passive_squigs_go_wild		true
special_ability_phases_onscreen_name_wh_dlc03_weapon_abilities_axe_of_men		true
special_ability_phases_onscreen_name_wh_dlc05_lord_abilities_spirit_essence_of_chaos		true
special_ability_phases_onscreen_name_wh_dlc04_unit_passive_blasphemous_tome		true
special_ability_phases_onscreen_name_wh_dlc08_hero_passive_twisted_flesh_ii		true
special_ability_phases_onscreen_name_wh_dlc08_quest_passive_lightening_down		true
special_ability_phases_onscreen_name_wh2_main_faction_abilities_murderous_prowess		true
special_ability_phases_onscreen_name_wh_main_banner_passive_scarecrow_banner		true
special_ability_phases_onscreen_name_wh2_main_spell_ruin_skitterleap		true
special_ability_phases_onscreen_name_wh2_main_mount_abilities_unholy_clamour		true
special_ability_phases_onscreen_name_wh2_dlc10_quest_passive_mother_of_flame		true
special_ability_phases_onscreen_name_wh2_main_item_passive_heart_of_averlorn	Heart of Avelorn	true
special_ability_phases_onscreen_name_wh2_dlc10_item_abilities_the_amber_trance_miscast		true
special_ability_phases_onscreen_name_wh2_dlc09_character_abilities_strike_of_nehekhara		true
special_ability_phases_onscreen_name_wh2_dlc10_item_abilities_stave_of_avelorn		true
special_ability_phases_onscreen_name_wh_main_spell_lil_waaagh_night_shroud_upgraded		true
special_ability_phases_onscreen_name_wh2_dlc10_item_abilities_speed_of_lykos		true
special_ability_phases_onscreen_name_wh_main_spell_death_spirit_leech		true
special_ability_phases_onscreen_name_wh2_dlc10_item_passive_shieldstone_of_isha		true
special_ability_phases_onscreen_name_wh_dlc05_unit_passive_guardians_of_the_wildwood		true
special_ability_phases_onscreen_name_wh_main_lord_passive_beloved_son_of_bretonnia		true
special_ability_phases_onscreen_name_wh_main_character_abilities_stand_your_ground		true
special_ability_phases_onscreen_name_wh_main_weapon_abilities_axe_of_dargo		true
special_ability_phases_onscreen_name_wh_dlc03_weapon_abilities_scourge		true
special_ability_phases_onscreen_name_wh2_dlc11_army_abilities_shanty_verse_3		true
special_ability_phases_onscreen_name_wh2_dlc11_army_abilities_shanty_verse_2		true
special_ability_phases_onscreen_name_wh2_dlc11_army_abilities_shanty_verse_1		true
special_ability_phases_onscreen_name_wh_dlc05_spell_life_the_dwellers_below_upgraded	Dwellers Below	true
special_ability_phases_onscreen_name_wh2_dlc11_unit_passive_gaseous_demise_buffer		true
special_ability_phases_onscreen_name_wh_main_spell_vampires_curse_of_years		true
special_ability_phases_onscreen_name_wh2_main_item_abilities_amulet_of_itzl		true
special_ability_phases_onscreen_name_wh2_dlc10_unit_passive_unbreakable_hidden		true
special_ability_phases_onscreen_name_wh_main_spell_big_waaagh_fists_of_gork		true
special_ability_phases_onscreen_name_wh_dlc05_lord_passive_call_of_the_woods		true
special_ability_phases_onscreen_name_wh_dlc04_unit_contact_helmans_blight	[[col:red]][[img:ui/skins/default/modifier_icon_poison.png]][[/img]]Helman's Blight![[/col]]	true
special_ability_phases_onscreen_name_wh2_dlc10_item_passive_ironwardens_shield		true
special_ability_phases_onscreen_name_wh2_main_army_abilities_lure_of_the_pale_queen		true
special_ability_phases_onscreen_name_wh2_main_spell_plague_wither		true
special_ability_phases_onscreen_name_wh2_dlc10_item_passive_dragon_slayers_fang		true
special_ability_phases_onscreen_name_wh_dlc07_unit_formation_lance_buffer		true
special_ability_phases_onscreen_name_wh_dlc03_item_abilities_skull_of_rarkos		true
special_ability_phases_onscreen_name_wh_main_unit_abilities_blooood		true
special_ability_phases_onscreen_name_wh_dlc07_unit_passive_icon_of_devotion		true
special_ability_phases_onscreen_name_wh_pro03_unit_passive_unbinding_krell_upgraded		true
special_ability_phases_onscreen_name_wh_main_weapon_abilities_gitsnik		true
special_ability_phases_onscreen_name_wh2_dlc09_character_passive_true_blessing_of_asaph		true
special_ability_phases_onscreen_name_wh2_dlc11_item_passive_the_bordeleaux_flabellum	The Bordeleaux Flabellum	true
special_ability_phases_onscreen_name_wh2_dlc09_character_abilities_stay_here_ill_get_help_miscast		true
special_ability_phases_onscreen_name_wh_dlc03_weapon_passive_the_brass_cleaver		true
special_ability_phases_onscreen_name_wh2_main_item_passive_warpstone_armour		true
special_ability_phases_onscreen_name_wh_main_spell_bound_staff_of_damnation		true
special_ability_phases_onscreen_name_wh_main_weapon_abilities_charmed_shield		true
special_ability_phases_onscreen_name_wh2_dlc09_quest_passive_full_hide		true
special_ability_phases_onscreen_name_wh2_dlc11_lord_abilities_spearfishers_net		true
special_ability_phases_onscreen_name_wh_dlc04_unit_passive_the_reliquary_corruption		true
special_ability_phases_onscreen_name_wh_main_rune_abilities_rune_of_stoicism		true
special_ability_phases_onscreen_name_wh_dlc06_lord_passive_sneaky_schemes		true
special_ability_phases_onscreen_name_wh_dlc07_lord_abilities_favour_of_the_fay		true
special_ability_phases_onscreen_name_wh_dlc08_quest_passive_chilling_aura_boss		true
special_ability_phases_onscreen_name_wh2_main_unit_passive_snare_net	Snare Net	true
special_ability_phases_onscreen_name_wh_dlc08_hero_passive_vicious_assault_i		true
special_ability_phases_onscreen_name_wh2_main_unit_passive_unbinding_plague_monks		true
special_ability_phases_onscreen_name_wh_dlc03_item_passive_banner_of_the_fallen_king		true
special_ability_phases_onscreen_name_wh_dlc03_item_abilities_horn_of_the_first_beast		true
special_ability_phases_onscreen_name_wh_dlc03_item_passive_trollhide		true
special_ability_phases_onscreen_name_wh2_dlc10_item_passive_old_guards_tankard		true
special_ability_phases_onscreen_name_wh2_main_unit_abilities_revivification_crystal		true
special_ability_phases_onscreen_name_wh2_main_spell_high_magic_hand_of_glory		true
special_ability_phases_onscreen_name_wh2_main_lord_abilities_trophy_heads		true
special_ability_phases_onscreen_name_wh2_main_spell_high_magic_apotheosis		true
special_ability_phases_onscreen_name_wh2_main_character_passive_grand_arcane_conduit		true
special_ability_phases_onscreen_name_wh2_main_item_passive_sapphire_guardian_phoenix		true
special_ability_phases_onscreen_name_wh2_dlc10_lord_abilities_oath_of_vengeance		true
special_ability_phases_onscreen_name_wh_dlc08_unit_abilities_fight_or_die		true
special_ability_phases_onscreen_name_wh_main_hero_abilities_slippery		true
special_ability_phases_onscreen_name_wh2_dlc10_quest_abilities_regenerating_head_dummy		true
special_ability_phases_onscreen_name_wh_main_banner_passive_gleaming_pennant		true
special_ability_phases_onscreen_name_wh_main_item_abilities_skull_of_katam		true
special_ability_phases_onscreen_name_wh2_dlc12_character_abilities_brass_orb	[[col:red]]Brass Orb[[/col]]	true
special_ability_phases_onscreen_name_wh_main_unit_passive_unbinding_skeleton_warriors		true
special_ability_phases_onscreen_name_wh_dlc05_unit_abilities_storm_of_blades		true
special_ability_phases_onscreen_name_wh2_dlc10_quest_passive_primal_rampage_ii	[[img:stage_two]][[/img]]Stage Two	true
special_ability_phases_onscreen_name_wh_dlc06_character_abilities_effagee_of_da_git		true
special_ability_phases_onscreen_name_wh_main_item_abilities_van_horstmanns_speculum		true
special_ability_phases_onscreen_name_wh_main_mount_passive_aura_of_protection		true
special_ability_phases_onscreen_name_wh2_dlc09_character_abilities_curse_of_khsar		true
special_ability_phases_onscreen_name_wh_pro04_unit_abilities_loecs_shroud		true
special_ability_phases_onscreen_name_wh2_main_item_abilities_blade_of_bel_korhadris		true
special_ability_phases_onscreen_name_wh_main_unit_passive_unbinding_critical		true
special_ability_phases_onscreen_name_wh2_dlc09_lord_abilities_the_liber_mortis		true
special_ability_phases_onscreen_name_wh2_main_faction_abilities_murderous_mastery		true
special_ability_phases_onscreen_name_wh_dlc03_unit_abilities_slaughterers_call		true
special_ability_phases_onscreen_name_wh2_dlc10_lord_abilities_gaze_of_khaine		true
special_ability_phases_onscreen_name_wh2_main_weapon_passive_heartrender_and_the_darksword		true
special_ability_phases_onscreen_name_wh2_main_character_passive_aura_of_pestilence		true
special_ability_phases_onscreen_name_wh2_main_item_passive_darkstar_cloak		true
special_ability_phases_onscreen_name_wh_dlc03_item_passive_shard_of_the_herdstone		true
special_ability_phases_onscreen_name_wh2_main_unit_passive_unbinding_skaven_slaves		true
special_ability_phases_onscreen_name_wh_pro04_unit_abilities_enrage		true
special_ability_phases_onscreen_name_wh_main_unit_passive_unbinding_feral_cold_ones		true
special_ability_phases_onscreen_name_wh_dlc03_unit_passive_unbinding_manticore		true
special_ability_phases_onscreen_name_wh2_dlc09_character_abilities_stay_here_ill_get_help		true
special_ability_phases_onscreen_name_wh_main_item_passive_the_white_cloak_of_ulric		true
special_ability_phases_onscreen_name_wh2_dlc11_unit_passive_unbinding_varghulf		true
special_ability_phases_onscreen_name_wh2_main_weapon_abilities_dwarf_gouger		true
special_ability_phases_onscreen_name_wh2_main_lord_passive_enchanting_beauty		true
special_ability_phases_onscreen_name_wh2_dlc12_lord_abilities_master_of_the_skies		true
special_ability_phases_onscreen_name_wh_dlc03_spell_wild_mantle_of_ghorok		true
special_ability_phases_onscreen_name_wh_main_spell_lil_waaagh_curse_of_da_bad_moon_upgraded	[[col:red]]Da Nasty Curse![[/col]]	true
special_ability_phases_onscreen_name_wh_dlc05_hero_passive_blessing_of_the_ancients		true
special_ability_phases_onscreen_name_wh_dlc08_hero_passive_frenzied_assault		true
special_ability_phases_onscreen_name_wh_dlc07_lord_passive_mist_of_the_lady		true
special_ability_phases_onscreen_name_wh_main_lord_passive_the_hunger		true
special_ability_phases_onscreen_name_wh2_main_spell_dark_magic_soul_stealer		true
special_ability_phases_onscreen_name_wh_main_mount_abilities_locus_of_hysh		true
special_ability_phases_onscreen_name_wh_dlc04_unit_passive_strength_of_the_penitent		true
special_ability_phases_onscreen_name_wh_main_item_abilities_crown_of_command		true
special_ability_phases_onscreen_name_wh_main_rune_abilities_rune_of_negation		true
special_ability_phases_onscreen_name_wh2_main_lore_passive_shield_of_saphery	Shield of Saphery	true
special_ability_phases_onscreen_name_wh_dlc03_weapon_passive_the_middenland_runefang		true
special_ability_phases_onscreen_name_wh2_dlc10_item_abilities_fear_of_aramar		true
special_ability_phases_onscreen_name_wh_dlc03_spell_beasts_wyssans_wildform		true
special_ability_phases_onscreen_name_wh_main_rune_abilities_rune_of_courage		true
special_ability_phases_onscreen_name_wh_main_spell_metal_final_transmutation		true
