special_ability_to_auto_deactivate_flags_tables	0
deactivate_flag	special_ability
health_above_50%	wh2_dlc09_army_abilities_barrage_of_the_legion
hasnt_realm_of_souls_tier_3	wh2_dlc09_army_passive_realm_of_souls_ushabti_trigger
health_above_50%	wh2_dlc09_character_passive_befalling_curse
losing_melee_combat	wh2_dlc09_character_passive_tretchs_raiders
hasnt_realm_of_souls_tier_1	wh2_dlc09_faction_passive_realm_of_souls_tier_1
morale_is_broken_or_lower	wh2_dlc09_faction_passive_realm_of_souls_tier_1
hasnt_realm_of_souls_tier_2	wh2_dlc09_faction_passive_realm_of_souls_tier_2
morale_is_broken_or_lower	wh2_dlc09_faction_passive_realm_of_souls_tier_2
hasnt_realm_of_souls_tier_3	wh2_dlc09_faction_passive_realm_of_souls_tier_3
morale_is_broken_or_lower	wh2_dlc09_faction_passive_realm_of_souls_tier_3
winning_melee_combat	wh2_dlc09_item_passive_lucky_skullhelm
health_above_50%	wh2_dlc09_item_passive_scorpion_armour
morale_is_broken_or_lower	wh2_dlc09_item_passive_vambraces_of_the_sun
health_above_50%	wh2_dlc09_lord_passive_the_curse
morale_is_broken_or_lower	wh2_dlc09_lore_passive_the_restless_dead
other_abilities_none_on_wind_up	wh2_dlc09_lore_passive_the_restless_dead
morale_is_higher_than_shattered	wh2_dlc09_unit_passive_unstable_mark_ii_sand
phase_is_the_end_phase	wh2_dlc09_unit_passive_unstable_mark_ii_sand
morale_is_higher_than_broken	wh2_dlc09_unit_passive_unstable_sand
phase_is_the_end_phase	wh2_dlc09_unit_passive_unstable_sand
other_abilities_none_on_wind_up	wh2_dlc09_weapon_passive_the_liche_staff
health_above_50%_base	wh2_dlc10_item_passive_dragon_slayers_fang
health_above_20%	wh2_dlc10_item_passive_gate_keepers_belt
winning_melee_combat	wh2_dlc10_item_passive_ironbeards_bracers
health_above_50%_base	wh2_dlc10_item_passive_ironwardens_shield
engaged_in_melee	wh2_dlc10_item_passive_old_guards_tankard
morale_is_lower_than_half_of_base_morale	wh2_dlc10_item_passive_ring_of_grimnir
morale_is_lower_than_half_of_base_morale	wh2_dlc10_item_passive_starmetal_plate
cannot_find_enemies_in_intercept_range	wh2_dlc10_item_passive_the_shadow_crown
morale_is_broken_or_lower	wh2_dlc10_quest_passive_primal_rage
out_of_melee	wh2_dlc10_unit_passive_the_trial_of_blades
health_above_50%_base	wh2_dlc10_weapon_passive_dragon_slayers_axe
morale_is_lower_than_half_of_base_morale	wh2_dlc10_weapon_passive_ironwardens_hammer
out_of_melee	wh2_dlc10_weapon_passive_the_cursed_blade
out_of_melee	wh2_dlc11_item_passive_helm_of_the_kraken
other_abilities_none_on_wind_up	wh2_dlc11_item_passive_the_bordeleaux_flabellum
out_of_melee	wh2_dlc11_lord_passive_honour_or_death
other_abilities_none_on_wind_up	wh2_dlc11_lore_passive_kiss_of_the_deep
health_above_50%	wh2_dlc11_unit_passive_abandon_ship
