special_ability_to_invalid_target_flags_tables	0
invalid_target	special_ability
flying_currently	wh2_dlc09_army_abilities_barrage_of_the_legion
on_a_platform	wh2_dlc09_army_abilities_barrage_of_the_legion
climbing_manning_eq_on_platform	wh2_dlc09_army_abilities_realm_of_souls_ushabti
climbing_manning_eq_on_platform	wh2_dlc09_army_abilities_sand_veil
unit_is_not_construct	wh2_dlc09_character_abilities_restore
unit_is_not_construct	wh2_dlc09_character_passive_stone_shaper
unit_is_not_construct	wh2_dlc09_character_passive_wrath_of_the_creator
living_unit	wh2_dlc09_lore_passive_the_restless_dead
cannot_perform_missile_attack	wh2_dlc09_spell_nehekhara_ptras_incantation_of_righteous_smiting_upgraded
cannot_perform_missile_attack	wh2_dlc09_spell_nehekhara_ptras_incantation_of_righteous_smiting
on_a_platform	wh2_dlc09_spell_nehekhara_sakhmets_incantation_of_the_skullstorm_upgraded
on_a_platform	wh2_dlc09_spell_nehekhara_sakhmets_incantation_of_the_skullstorm
unit_is_not_commander_class	wh2_dlc09_unit_passive_guardian
climbing_manning_eq_on_platform	wh2_dlc09_weapon_abilities_tomb_blade_of_arkhan
flying_currently	wh2_dlc10_character_abilities_entangle
cannot_perform_missile_attack	wh2_dlc10_hero_passive_quicksilver_shot
climbing_manning_eq_on_platform	wh2_dlc10_item_abilities_horn_of_the_ancestors
on_a_platform	wh2_dlc10_item_abilities_star_of_avelorn
flying_currently	wh2_dlc10_item_bound_arnizipals_black_horror
on_a_platform	wh2_dlc10_item_bound_arnizipals_black_horror
on_a_platform	wh2_dlc10_lord_abilities_deadly_mislead
on_a_platform	wh2_dlc10_lord_abilities_mislead
manning_equipment	wh2_dlc10_quest_abilities_magic_fiery_convocation
on_a_platform	wh2_dlc10_quest_abilities_magic_fiery_convocation
manning_equipment	wh2_dlc10_spell_bound_magic_fiery_convocation
on_a_platform	wh2_dlc10_spell_bound_magic_fiery_convocation
unit_is_not_commander_class	wh2_dlc10_unit_passive_guardian
climbing	wh2_dlc10_weapon_abilities_sword_of_khaine
on_a_platform	wh2_dlc10_weapon_abilities_sword_of_khaine
winning_melee_combat	wh2_dlc10_weapon_passive_the_cursed_blade
on_a_platform	wh2_dlc11_army_abilities_norse_roar
on_a_platform	wh2_dlc11_army_abilities_sartosa_grapeshot
on_a_platform	wh2_dlc11_army_abilities_zhufbar_42_pounders
on_a_platform	wh2_dlc11_item_abilities_captain_roths_moondial
hasnt_casting_ability	wh2_dlc11_item_abilities_slann_gold
flying_currently	wh2_dlc11_lord_abilities_spearfishers_net
grounded	wh2_dlc11_lord_abilities_storm_of_the_night
climbing_manning_eq_on_platform	wh2_dlc11_spell_beasts_transformation_of_kadon
climbing_manning_eq_on_platform	wh2_dlc11_spell_deep_denizens_of_the_deep
flying_currently	wh2_dlc11_spell_deep_fog_of_the_damned_upgraded
flying_currently	wh2_dlc11_spell_deep_fog_of_the_damned
flying_currently	wh2_dlc11_spell_deep_ghost_ship_upgraded
on_a_platform	wh2_dlc11_spell_deep_ghost_ship_upgraded
flying_currently	wh2_dlc11_spell_deep_ghost_ship
on_a_platform	wh2_dlc11_spell_deep_ghost_ship
flying_currently	wh2_dlc11_spell_deep_krakens_pull_upgraded
on_a_platform	wh2_dlc11_spell_deep_krakens_pull_upgraded
flying_currently	wh2_dlc11_spell_deep_krakens_pull
on_a_platform	wh2_dlc11_spell_deep_krakens_pull
cannot_perform_missile_attack	wh2_dlc11_spell_deep_spiteful_shot_upgraded
cannot_perform_missile_attack	wh2_dlc11_spell_deep_spiteful_shot
flying_currently	wh2_dlc11_spell_deep_tidecall_upgraded
on_a_platform	wh2_dlc11_spell_deep_tidecall_upgraded
flying_currently	wh2_dlc11_spell_deep_tidecall
on_a_platform	wh2_dlc11_spell_deep_tidecall
climbing_manning_eq_on_platform	wh2_dlc11_spell_vampires_drowned_dead_upgraded
climbing_manning_eq_on_platform	wh2_dlc11_spell_vampires_drowned_dead
climbing_manning_eq_on_platform	wh2_dlc11_unit_passive_abandon_ship
hasnt_casting_ability	wh2_main_army_abilities_channeling_spire
climbing_manning_eq_on_platform	wh2_main_army_abilities_eagle_sanctuary
on_a_platform	wh2_main_army_abilities_eshin_clanstone
climbing_manning_eq_on_platform	wh2_main_army_abilities_feral_cold_ones
climbing_manning_eq_on_platform	wh2_main_army_abilities_geomantic_nexus
on_a_platform	wh2_main_army_abilities_holy_stela
on_a_platform	wh2_main_army_abilities_mors_clanstone
on_a_platform	wh2_main_army_abilities_moulder_clanstone
unit_is_not_skaven	wh2_main_army_abilities_moulder_clanstone
on_a_platform	wh2_main_army_abilities_pestilens_clanstone
on_a_platform	wh2_main_army_abilities_shadows_of_anlec
on_a_platform	wh2_main_army_abilities_skyre_clanstone
on_a_platform	wh2_main_army_abilities_temple_of_mists
climbing_manning_eq_on_platform	wh2_main_army_abilities_the_menace_below
not_climbing_manning_eq_on_platform	wh2_main_army_abilities_vauls_hammer
health_above_50%	wh2_main_army_abilities_warpbomb
unit_is_commander_class	wh2_main_army_abilities_warpbomb
unit_is_not_commander_class	wh2_main_character_abilities_assassins_trophy
unit_is_not_a_lizard_unit	wh2_main_character_abilities_cold_blooded
ground_unit	wh2_main_item_abilities_warpstorm_scroll
flying_currently	wh2_main_item_bound_gilded_horn_of_galon_konook
on_a_platform	wh2_main_item_bound_gilded_horn_of_galon_konook
unit_is_not_commander_class	wh2_main_item_passive_circlet_of_iron
unit_is_not_commander_class	wh2_main_item_passive_ring_of_hotek
on_a_platform	wh2_main_lord_abilities_gaze_of_malice
flying_currently	wh2_main_lord_abilities_the_ruination_of_cities
on_a_platform	wh2_main_lord_abilities_the_ruination_of_cities
unit_is_not_commander_class	wh2_main_lord_abilities_trophy_heads
unit_is_not_skaven	wh2_main_mount_abilities_unholy_clamour
on_a_platform	wh2_main_mount_bound_pestilent_breath
on_a_platform	wh2_main_mount_bound_scorch
unit_is_not_skaven	wh2_main_mount_passive_wall_of_unholy_sound
climbing	wh2_main_spell_bound_khaines_ring_of_fury
on_a_platform	wh2_main_spell_bound_khaines_ring_of_fury
climbing	wh2_main_spell_dark_magic_bladewind_upgraded
on_a_platform	wh2_main_spell_dark_magic_bladewind_upgraded
climbing	wh2_main_spell_dark_magic_bladewind
on_a_platform	wh2_main_spell_dark_magic_bladewind
climbing	wh2_main_spell_dark_magic_chillwind_upgraded
on_a_platform	wh2_main_spell_dark_magic_chillwind_upgraded
climbing	wh2_main_spell_dark_magic_chillwind
on_a_platform	wh2_main_spell_dark_magic_chillwind
climbing_manning_eq_on_platform	wh2_main_spell_grey_seer_the_dreaded_thirteenth_spell
climbing	wh2_main_spell_high_magic_fiery_convocation_upgraded
on_a_platform	wh2_main_spell_high_magic_fiery_convocation_upgraded
climbing	wh2_main_spell_high_magic_fiery_convocation
on_a_platform	wh2_main_spell_high_magic_fiery_convocation
grounded	wh2_main_spell_high_magic_tempest_upgraded
grounded	wh2_main_spell_high_magic_tempest
climbing_manning_eq_on_platform	wh2_main_spell_plague_pestilent_birth
on_a_platform	wh2_main_spell_plague_pestilent_breath_upgraded
on_a_platform	wh2_main_spell_plague_pestilent_breath
climbing_manning_eq_on_platform	wh2_main_spell_plague_vermintide
flying_currently	wh2_main_spell_ruin_cracks_call_upgraded
