subtitle_timings_tables	2
end	language	script_id	start	subtitle_field	text_section	foreign_key	text_id	always_show
390	br	58	180	1686093551	0	battle_arkhan	vo_fmv_texts_text_battle_arkhan	false
360	br	59	210	1686093551	0	battle_khalida	vo_fmv_texts_text_battle_khalida	false
360	br	60	210	1686093551	0	battle_khatep	vo_fmv_texts_text_battle_khatep	false
360	br	61	210	1686093551	0	battle_settra	vo_fmv_texts_text_battle_settra	false
240	br	62	150	1686093551	0	book_1	vo_fmv_texts_text_book_1	false
240	br	63	150	1686093551	0	book_1_arkhan	vo_fmv_texts_text_book_1_arkhan	false
330	br	64	180	1686093551	0	book_2	vo_fmv_texts_text_book_2	false
330	br	65	180	1686093551	0	book_2_arkhan	vo_fmv_texts_text_book_2_arkhan	false
300	br	66	210	1686093551	0	book_3	vo_fmv_texts_text_book_3	false
300	br	67	210	1686093551	0	book_3_arkhan	vo_fmv_texts_text_book_3_arkhan	false
180	br	68	120	1686093551	0	book_4	vo_fmv_texts_text_book_4	false
180	br	69	120	1686093551	0	book_4_arkhan	vo_fmv_texts_text_book_4_arkhan	false
250	br	19	162	1686093551	0	chs_invasion	vo_fmv_texts_text_chs_invasion	false
97	br	18	52	1686093551	0	chs_rises	vo_fmv_texts_text_chs_rises	false
360	br	87	105	1686093551	0	cst_battle_aranessa	vo_fmv_texts_text_cst_battle	false
360	br	86	105	1686093551	0	cst_battle_cylostra	vo_fmv_texts_text_cst_battle	false
360	br	84	105	1686093551	0	cst_battle_harkon	vo_fmv_texts_text_cst_battle	false
360	br	85	105	1686093551	0	cst_battle_noctilus	vo_fmv_texts_text_cst_battle	false
315	br	83	120	1686093551	0	cst_items	vo_fmv_texts_text_cst_items	false
180	br	91	105	1686093551	0	cst_win_aranessa	vo_fmv_texts_text_cst_win	false
180	br	90	105	1686093551	0	cst_win_cylostra	vo_fmv_texts_text_cst_win	false
180	br	88	105	1686093551	0	cst_win_harkon	vo_fmv_texts_text_cst_win	false
180	br	89	105	1686093551	0	cst_win_noctilus	vo_fmv_texts_text_cst_win	false
540	br	82	145	1686093551	0	cst_wreck	vo_fmv_texts_text_cst_wreck	false
370	br	30	140	1686093551	0	def_horned_rat	vo_fmv_texts_text_def_horned_rat	false
200	br	25	100	1686093551	0	def_intro	vo_fmv_texts_text_def_intro	false
395	br	26	135	1686093551	0	def_ritual_1	vo_fmv_texts_text_def_ritual_1	false
455	br	27	165	1686093551	0	def_ritual_2	vo_fmv_texts_text_def_ritual_2	false
320	br	28	135	1686093551	0	def_ritual_3	vo_fmv_texts_text_def_ritual_3	false
240	br	29	140	1686093551	0	def_ritual_4	vo_fmv_texts_text_def_ritual_4	false
575	br	31	400	1686093551	0	def_ritual_5	vo_fmv_texts_text_def_ritual_5	false
400	br	32	140	1686093551	0	def_win	vo_fmv_texts_text_def_win	false
260	br	38	140	1686093551	0	hef_horned_rat	vo_fmv_texts_text_hef_horned_rat	false
230	br	33	170	1686093551	0	hef_intro	vo_fmv_texts_text_hef_intro	false
225	br	34	115	1686093551	0	hef_ritual_1	vo_fmv_texts_text_hef_ritual_1	false
400	br	35	135	1686093551	0	hef_ritual_2	vo_fmv_texts_text_hef_ritual_2	false
230	br	36	130	1686093551	0	hef_ritual_3	vo_fmv_texts_text_hef_ritual_3	false
225	br	37	140	1686093551	0	hef_ritual_4	vo_fmv_texts_text_hef_ritual_4	false
465	br	39	380	1686093551	0	hef_ritual_5	vo_fmv_texts_text_hef_ritual_5	false
225	br	40	150	1686093551	0	hef_win	vo_fmv_texts_text_hef_win	false
784	br	12	608	1686093551	0	intro	vo_fmv_texts_text_intro	false
390	br	70	270	1686093551	0	intro_arkhan	vo_fmv_texts_text_intro_arkhan	false
