technology_nodes_tables	3
campaign_key	faction_key	indent	key	technology_key	technology_node_set	tier	research_points_required	cost_per_round	food_cost	optional_ui_group	resource_cost
		4	dlc05_tech_wef_0_0_0	tech_dlc05_2_morai_heg	wef_civ	0	400	0	0		
		3	dlc05_tech_wef_0_1_0	tech_dlc05_1_vaul	wef_civ	1	600	0	0		
		2	dlc05_tech_wef_0_1_1	tech_dlc05_1_isha	wef_civ	1	100	0	1		
		2	dlc05_tech_wef_0_2_0	tech_dlc05_1_ladrielle	wef_civ	2	600	0	0		
		1	dlc05_tech_wef_0_2_1	tech_dlc05_1_loec	wef_civ	2	100	0	1		
		1	dlc05_tech_wef_0_3_0	tech_dlc05_1_hoeth	wef_civ	3	600	0	0		
		0	dlc05_tech_wef_0_3_1	tech_dlc05_2_mathlann	wef_civ	3	100	0	1		
		2	dlc05_tech_wef_0_4_0	tech_dlc05_1_kurnous	wef_civ	4	800	0	0		
		1	dlc05_tech_wef_0_4_1	tech_dlc05_2_estreath	wef_civ	4	100	0	1		
		3	dlc05_tech_wef_0_5_0	tech_dlc05_1_lileath	wef_civ	5	1000	0	0		
		2	dlc05_tech_wef_0_5_1	tech_dlc05_1_asuryan	wef_civ	5	100	0	2		
		4	dlc05_tech_wef_0_6_0	tech_dlc05_2_khaine	wef_civ	6	1200	0	0		
		3	dlc05_tech_wef_0_6_1	tech_dlc05_1_cadai	wef_civ	6	100	0	2		
		5	dlc05_tech_wef_0_6_2	tech_dlc05_2_cytharai	wef_civ	6	100	0	2		
		5	dlc05_tech_wef_1_1_0	tech_dlc05_2_ellinill	wef_civ	1	600	0	0		
		6	dlc05_tech_wef_1_1_1	tech_dlc05_2_anath_raema	wef_civ	1	100	0	2		
		6	dlc05_tech_wef_1_2_0	tech_dlc05_2_drakira	wef_civ	2	600	0	0		
		7	dlc05_tech_wef_1_2_1	tech_dlc05_2_hukon	wef_civ	2	100	0	1		
		7	dlc05_tech_wef_1_3_0	tech_dlc05_2_eldrazor	wef_civ	3	600	0	0		
		8	dlc05_tech_wef_1_3_1	tech_dlc05_2_nethu	wef_civ	3	100	0	1		
		6	dlc05_tech_wef_1_4_0	tech_dlc05_2_addaioth	wef_civ	4	800	0	0		
		7	dlc05_tech_wef_1_4_1	tech_dlc05_2_atharti	wef_civ	4	100	0	1		
		5	dlc05_tech_wef_1_5_0	tech_dlc05_2_ereth_khial	wef_civ	5	1000	0	0		
		6	dlc05_tech_wef_1_5_1	tech_dlc05_2_hekarti	wef_civ	5	100	0	2		
		3	tech_chs_branch_1_1	tech_chs_branch_1_1	chs_mil	1	500	0	0		
		4	tech_chs_branch_1_2	tech_chs_branch_1_2	chs_mil	1	500	0	0		
		5	tech_chs_branch_1_3	tech_chs_branch_1_3	chs_mil	1	500	0	0		
		3	tech_chs_branch_2_1	tech_chs_branch_2_1	chs_mil	3	1000	0	0		
		4	tech_chs_branch_2_2	tech_chs_branch_2_2	chs_mil	3	1000	0	0		
		5	tech_chs_branch_2_3	tech_chs_branch_2_3	chs_mil	3	1000	0	0		
		6	tech_chs_branch_2_4	tech_chs_branch_2_4	chs_mil	3	1000	0	0		
		3	tech_chs_branch_3_1	tech_chs_branch_3_1	chs_mil	5	1500	0	0		
		4	tech_chs_branch_3_2	tech_chs_branch_3_2	chs_mil	5	1500	0	0		
		5	tech_chs_branch_3_3	tech_chs_branch_3_3	chs_mil	5	1500	0	0		
		6	tech_chs_branch_3_4	tech_chs_branch_3_4	chs_mil	5	1500	0	0		
		7	tech_chs_branch_3_5	tech_chs_branch_3_5	chs_mil	5	1500	0	0		
