Loc PackedFile	1
key	text	tooltip
technology_ui_groups_optional_display_desctiption_brt_heraldry		true
technology_ui_groups_optional_display_name_brt_heraldry		true
technology_ui_groups_optional_display_name_tmb_2	2nd Dynasty	true
technology_ui_groups_optional_display_name_tmb_3	3rd Dynasty	true
technology_ui_groups_optional_display_name_tmb_1	1st Dynasty	true
technology_ui_groups_optional_display_name_tmb_6	6th Dynasty	true
technology_ui_groups_optional_display_name_tmb_7		true
technology_ui_groups_optional_display_name_tmb_4	4th Dynasty	true
technology_ui_groups_optional_display_name_tmb_5	5th Dynasty	true
technology_ui_groups_optional_display_name_cst_5	Legendary Admirals	true
technology_ui_groups_optional_display_name_cst_4	Piracy Tools	true
technology_ui_groups_optional_display_name_lzd_8		true
technology_ui_groups_optional_display_name_cst_1	Command	true
technology_ui_groups_optional_display_name_cst_3	Salvage	true
technology_ui_groups_optional_display_name_cst_2	Firepower	true
technology_ui_groups_optional_display_name_lzd_2		true
technology_ui_groups_optional_display_name_lzd_3		true
technology_ui_groups_optional_display_name_hef_4	Trade-Good Advancements	true
technology_ui_groups_optional_display_name_hef_5	Cultural Advancements	true
technology_ui_groups_optional_display_name_lzd_1		true
technology_ui_groups_optional_display_name_hef_2	Military Advancements III	true
technology_ui_groups_optional_display_name_lzd_6		true
technology_ui_groups_optional_display_name_hef_3	Military Advancements IV	true
technology_ui_groups_optional_display_name_lzd_7		true
technology_ui_groups_optional_display_name_hef_0	Military Advancements I	true
technology_ui_groups_optional_display_name_lzd_4		true
technology_ui_groups_optional_display_name_hef_1	Military Advancements II	true
technology_ui_groups_optional_display_name_lzd_5		true
technology_ui_groups_optional_display_desctiption_tmb_5		true
technology_ui_groups_optional_display_desctiption_tmb_4		true
technology_ui_groups_optional_display_desctiption_tmb_7		true
technology_ui_groups_optional_display_desctiption_tmb_6		true
technology_ui_groups_optional_display_desctiption_tmb_1		true
technology_ui_groups_optional_display_desctiption_tmb_3		true
technology_ui_groups_optional_display_desctiption_tmb_2		true
technology_ui_groups_optional_display_desctiption_cst_2		true
technology_ui_groups_optional_display_desctiption_cst_3		true
technology_ui_groups_optional_display_desctiption_cst_1		true
technology_ui_groups_optional_display_desctiption_lzd_8		true
technology_ui_groups_optional_display_desctiption_cst_4		true
technology_ui_groups_optional_display_desctiption_cst_5		true
technology_ui_groups_optional_display_desctiption_hef_1		true
technology_ui_groups_optional_display_desctiption_lzd_5		true
technology_ui_groups_optional_display_desctiption_hef_0		true
technology_ui_groups_optional_display_desctiption_lzd_4		true
technology_ui_groups_optional_display_desctiption_hef_3		true
technology_ui_groups_optional_display_desctiption_lzd_7		true
technology_ui_groups_optional_display_desctiption_hef_2		true
technology_ui_groups_optional_display_desctiption_lzd_6		true
technology_ui_groups_optional_display_desctiption_hef_5		true
technology_ui_groups_optional_display_desctiption_lzd_1		true
technology_ui_groups_optional_display_desctiption_hef_4		true
technology_ui_groups_optional_display_desctiption_lzd_3		true
technology_ui_groups_optional_display_desctiption_lzd_2		true
technology_ui_groups_optional_display_name_brt_chivalry		true
technology_ui_groups_optional_display_desctiption_brt_chivalry		true
