trait_categories_tables	0
category	icon_path
agent	ui/campaign ui/skills/trait_agent.png
beastmen	ui/campaign ui/skills/trait_beastmen.png
bretonnia	ui/campaign ui/skills/trait_bretonnia.png
chaos	ui/campaign ui/skills/trait_chaos.png
chivalry_negative	ui/campaign ui/skills/virtue_negative.png
chivalry_positive	ui/campaign ui/skills/virtue_positive.png
dark_elves	ui/campaign ui/skills/trait_dark_elves.png
dwarf	ui/campaign ui/skills/trait_dwarf.png
greenskin	ui/campaign ui/skills/trait_greenskins.png
harkon_fractured	ui/campaign ui/effect_bundles/fractured_mind.png
harkon_restored	ui/campaign ui/effect_bundles/restored_mind.png
high_elves	ui/campaign ui/skills/trait_high_elves.png
human	ui/campaign ui/skills/trait_human.png
lizardmen	ui/campaign ui/skills/trait_lizardmen.png
loyalty	ui/campaign ui/effect_bundles/loyalty.png
military	ui/campaign ui/skills/trait_military.png
navy	ui/campaign ui/skills/trait_navy.png
norsca	ui/campaign ui/skills/trait_norsca.png
personality	ui/campaign ui/skills/trait_personality.png
physical	ui/campaign ui/skills/trait_physical.png
skaven	ui/campaign ui/skills/trait_skaven.png
sword_of_khaine	ui/campaign ui/effect_bundles/dlc10_sword_of_khaine.png
tomb_kings	ui/campaign ui/skills/trait_tomb_kings.png
trait_bad	ui/campaign ui/effect_bundles/trait_battle_negative.png
trait_good	ui/campaign ui/effect_bundles/trait_campaign_positive.png
vampire_coast	ui/campaign ui/skills/trait_vampire_coast.png
vampire_counts	ui/campaign ui/skills/trait_vampire_counts.png
vow_grail	ui/campaign ui/effect_bundles/vow_grail_positive.png
vow_knights	ui/campaign ui/effect_bundles/vow_knights_positive.png
vow_questing	ui/campaign ui/effect_bundles/vow_questing_positive.png
wood_elf	ui/campaign ui/skills/trait_wood_elves.png
