Loc PackedFile	1
key	text	tooltip
ui_tooltip_components_localised_text_test_title_list_and_footer_tooltipfooter	Test footer	true
ui_tooltip_components_localised_text_test_title_list_and_footer_tooltipentry1	Test first row entry	true
ui_tooltip_components_localised_text_test_title_list_and_footer_tooltipentry3	Test third row entry	true
ui_tooltip_components_localised_text_test_title_list_and_footer_tooltipentry2	Test second row entry	true
ui_tooltip_components_localised_text_test_effect_list_tooltipentry3	3rd effect row entry	true
ui_tooltip_components_localised_text_test_effect_list_tooltipentry2	2nd effect row entry	true
ui_tooltip_components_localised_text_test_effect_list_tooltipentry1	1st effect row entry	true
ui_tooltip_components_localised_text_test_effect_list_tooltiptitle	Test title	true
ui_tooltip_components_localised_text_test_title_list_and_footer_tooltiptitle	Test Title	true
ui_tooltip_components_localised_text_tooltip_how_to_play_titletext	Left-click to read more about this topic	true
ui_tooltip_components_localised_text_test_effect_list_tooltipdescription	Test description	true
ui_tooltip_components_localised_text_test_quit_game_tooltipicon_with_text	This is an example of some data-driven custom tooltip text!	true
