Loc PackedFile	1
key	text	tooltip
ui_unit_groupings_onscreen_wh_dlc05_bst_harpies	Flying Melee Infantry	true
ui_unit_groupings_tooltip_wh2_main_hef_hero_champion	Well-respected war leaders in their own right, High Elf Nobles have developed their considerable skill-at-arms over many years of intensive experience in melee combat.	true
ui_unit_groupings_tooltip_wh2_main_lzd_hero_champion	The Lizardmen's Saurus Scar-Veterans are highly-seasoned melee fighters, with few equals among their adversaries on the field.	true
ui_unit_groupings_onscreen_catapult	Catapult	true
ui_unit_groupings_onscreen_wh2_dlc09_lord_infantry_spear	Spear Infantry	true
ui_unit_groupings_tooltip_wh2_main_wizard_high	High Magic practitioners, proficient in using all the Winds of Magic, are supremely powerful beings whose spells are way beyond ordinary mortal understanding.	true
ui_unit_groupings_onscreen_wh_dlc07_brt_grail_relique	Support Infantry	true
ui_unit_groupings_onscreen_vmp_cavalry_scythe	Cavalry	true
ui_unit_groupings_tooltip_wizard_fire_pegasus	Pyromancers are effectively magical artillery, due to the Lore of Fire's selection of aggressive spells, but are not necessarily the most powerful.	true
ui_unit_groupings_onscreen_lord_wizard_life	Wizard	true
ui_unit_groupings_tooltip_wh2_main_lord_wizard_ruin	Sudden, unnatural gales and lethal bolts of Warp-lightning from the sky, ground-splitting earthquakes and scorching fire from the soil – each one delivered in the Horned Rat’s undying name. 	true
ui_unit_groupings_tooltip_wh_dlc05_wef_dryad	Vicious in hand-to-hand combat, these shapeshifting spirit-creatures prey on the unsuspecting.	true
ui_unit_groupings_onscreen_vmp_tomb_banshee	Melee Specialist	true
ui_unit_groupings_onscreen_wh_dlc05_wef_treeman	Monster	true
ui_unit_groupings_tooltip_missile_cavalry_axe	Fast moving and with a long range, missile cavalry excel at harassing their enemies, but are weak if pinned in melee.	true
ui_unit_groupings_tooltip_wh_dlc03_bst_centigor_missile	Fearsome beasts, armed with a pair of lethal throwing axes – running away will not help.	true
ui_unit_groupings_tooltip_wizard_death_flying_monster	The Lore of Death is an offensive lore with a suite of spells that can assassinate enemy characters and decimate entire units!	true
ui_unit_groupings_tooltip_wh2_dlc09_tmb_casket_of_souls	Tormented souls, now freed from their spiritual prison, burst forth in a flash of blinding light to seek out the foe and deliver unbearable madness and death to their door.	true
ui_unit_groupings_onscreen_lord_wizard_deep	Wizard	true
ui_unit_groupings_onscreen_wh2_main_missile_infantry_javelin	Missile Infantry	true
ui_unit_groupings_onscreen_grn_goblin_bigboss_cavalry	Melee Specialist	true
ui_unit_groupings_onscreen_wh_dlc03_bst_centigor_great_weapon	Bestial Cavalry Great Weapons	true
