Loc PackedFile	1
key	text	tooltip
unit_ability_source_types_name_item	Item	true
unit_ability_source_types_name_weapon	Weapon	true
unit_ability_source_types_name_army	Army ability	true
unit_ability_source_types_name_spell	Spell	true
unit_ability_source_types_name_rune	Rune	true
unit_ability_source_types_name_bound	Bound spell	true
unit_ability_source_types_name_mount	Mount ability	true
unit_ability_source_types_name_unit	Unit ability	true
unit_ability_source_types_name_quest	Quest ability	true
unit_ability_source_types_name_hero	Hero ability	true
unit_ability_source_types_name_mark	Mark of Chaos	true
unit_ability_source_types_name_lore	Lore attribute	true
unit_ability_source_types_name_lord	Lord ability	true
unit_ability_source_types_name_banner	Banner	true
unit_ability_source_types_tooltip_character	Lords and Heroes all have abilities to aid them in their quest for supremacy on campaign and in battle.	true
unit_ability_source_types_tooltip_quest	Unique and bizarre abilities that can only be found at the mysterious locations where quest battles are fought.	true
unit_ability_source_types_tooltip_item	Items with magical properties may assist their owners on the battlefield.	true
unit_ability_source_types_tooltip_unit	An ability is as much a part of its owning units as arms or legs, and can mark the difference between victory and defeat.	true
unit_ability_source_types_tooltip_rune	A varied and powerful ability type, often concerned with defence.	true
unit_ability_source_types_tooltip_weapon	Weapons can do so much more than hack and slash - some are imbued with magical properties to further aid their bearers.	true
unit_ability_source_types_tooltip_army	These abilities are not bound to any one unit and can therefore be used anywhere on the battlefield.	true
unit_ability_source_types_tooltip_mark	When the Ruinous Powers smile upon their servants, those marks - and their beneficial effects - are borne for the duration of the battle.	true
unit_ability_source_types_tooltip_hero	A Hero's abilities are specific to their owner, providing temporary or permanent assistance.	true
unit_ability_source_types_tooltip_lord	A Lord's abilities are specific to their owner, providing temporary or permanent assistance.	true
unit_ability_source_types_tooltip_lore	The foundation of any spell connected to a magical Lore, attributes offer wide-reaching and constant effects.	true
unit_ability_source_types_tooltip_banner	Banners can be carried into battle by any unit, improving their condition for the duration of the fray.	true
unit_ability_source_types_name_default	default	true
unit_ability_source_types_tooltip_bound	Spells sometimes apply limited charges to items or weapons, without draining the Winds of Magic.	true
unit_ability_source_types_tooltip_mount	A mount's abilities are a core part of its being and, used wisely, can mark the difference between victory and defeat.	true
unit_ability_source_types_tooltip_spell	Spells are summoned from the Winds of Magic, taking time and energy to conjure, and always directed outwards - never on the magic-user themself.	true
unit_ability_source_types_name_faction	Faction	true
unit_ability_source_types_tooltip_faction	These abilities are intrinsic to the faction and its specific personality.	true
unit_ability_source_types_name_character	Character ability	true
unit_ability_source_types_tooltip_default		true
