unit_banner_unit_height_offsets_tables	1
height_offset	unit_record	campaign_height_offset
2	wh2_dlc09_tmb_art_casket_of_souls_0	0
3	wh2_dlc09_tmb_cha_arkhan_2	0
0	wh2_dlc09_tmb_cha_khalida_1	-4
2	wh2_dlc09_tmb_mon_carrion_0	0
2	wh2_dlc09_tmb_mon_carrion_ror	0
3	wh2_dlc09_tmb_mon_heirotitan_0	0
6	wh2_dlc10_def_cha_crone_4	0
2	wh2_dlc10_def_cha_crone_5	0
2	wh2_dlc10_def_cha_supreme_sorceress_beasts_4	0
2	wh2_dlc10_def_cha_supreme_sorceress_dark_4	0
2	wh2_dlc10_def_cha_supreme_sorceress_death_4	0
2	wh2_dlc10_def_cha_supreme_sorceress_fire_4	0
2	wh2_dlc10_def_cha_supreme_sorceress_shadow_4	0
4	wh2_dlc10_def_mon_chill_of_sontar_ror_0	0
4	wh2_dlc10_def_mon_kharibdyss_0	0
1	wh2_dlc10_hef_cha_alarielle_the_radiant_3	0
1	wh2_dlc11_cst_cha_aranessa_0	0
1	wh2_dlc11_cst_cha_aranessa_1	0
2	wh2_dlc11_cst_cha_cylostra_direfin_0	0
2	wh2_dlc11_cst_cha_cylostra_direfin_1	0
1	wh2_dlc11_cst_cha_gunnery_wight_0	0
1	wh2_dlc11_cst_cha_gunnery_wight_1	0
1	wh2_dlc11_cst_cha_luthor_harkon_0	0
2	wh2_dlc11_cst_cha_luthor_harkon_1	0
1	wh2_dlc11_cst_cha_vampire_fleet_admiral_0	0
1	wh2_dlc11_cst_cha_vampire_fleet_admiral_1	0
1	wh2_dlc11_cst_cha_vampire_fleet_admiral_death_0	0
1	wh2_dlc11_cst_cha_vampire_fleet_admiral_death_1	0
1	wh2_dlc11_cst_cha_vampire_fleet_admiral_deeps_0	0
1	wh2_dlc11_cst_cha_vampire_fleet_admiral_deeps_1	0
1	wh2_dlc11_cst_cha_vampire_fleet_admiral_female_0	0
1	wh2_dlc11_cst_cha_vampire_fleet_admiral_female_1	0
1	wh2_dlc11_cst_cha_vampire_fleet_admiral_female_death_0	0
1	wh2_dlc11_cst_cha_vampire_fleet_admiral_female_death_1	0
1	wh2_dlc11_cst_cha_vampire_fleet_admiral_female_deeps_0	0
1	wh2_dlc11_cst_cha_vampire_fleet_admiral_female_deeps_1	0
1	wh2_dlc11_cst_cha_vampire_fleet_captain_0	0
1	wh2_dlc11_cst_cha_vampire_fleet_captain_1	0
1	wh2_dlc11_cst_cha_vampire_fleet_captain_death_0	0
1	wh2_dlc11_cst_cha_vampire_fleet_captain_death_1	0
1	wh2_dlc11_cst_cha_vampire_fleet_captain_deeps_0	0
1	wh2_dlc11_cst_cha_vampire_fleet_captain_deeps_1	0
1	wh2_dlc11_cst_inf_count_noctilus_0	0
2	wh2_dlc11_cst_inf_count_noctilus_1	0
2	wh2_dlc11_cst_mon_necrofex_colossus_0	0
2	wh2_dlc11_cst_mon_necrofex_colossus_ror_0	0
1	wh2_dlc11_cst_mon_rotting_leviathan_0	0
2	wh2_dlc11_cst_mon_terrorgheist	0
3	wh2_dlc12_lzd_cha_tehenhauin_3	0
6	wh2_dlc12_lzd_lzd_cha_kroak_0	0
6	wh2_dlc12_lzd_lzd_cha_kroak_0_boss	0
3	wh2_dlc12_lzd_mon_ancient_stegadon_1	0
3	wh2_dlc12_lzd_mon_ancient_stegadon_ror_0	0
6	wh2_main_def_cha_death_hag_1	0
3	wh2_main_def_cha_dreadlord_4	0
3	wh2_main_def_cha_dreadlord_female_4	0
3	wh2_main_def_cha_malekith_3	0
3	wh2_main_def_mon_black_dragon	0
4	wh2_main_def_mon_war_hydra	0
3	wh2_main_hef_cha_prince_4	0
3	wh2_main_hef_cha_prince_5	0
3	wh2_main_hef_cha_princess_4	0
3	wh2_main_hef_cha_princess_5	0
3	wh2_main_hef_mon_moon_dragon	0
1	wh2_main_hef_mon_phoenix_flamespyre	0
1	wh2_main_hef_mon_phoenix_frostheart	0
3	wh2_main_hef_mon_star_dragon	0
3	wh2_main_hef_mon_sun_dragon	0
5	wh2_main_lzd_cha_lord_mazdamundi_0	0
5	wh2_main_lzd_cha_lord_mazdamundi_1	0
5	wh2_main_lzd_cha_slann_mage_priest_campaign_0	0
5	wh2_main_lzd_cha_slann_mage_priest_heavens_0	0
5	wh2_main_lzd_cha_slann_mage_priest_high_0	0
5	wh2_main_lzd_cha_slann_mage_priest_light_0	0
3	wh2_main_lzd_mon_ancient_stegadon	0
3	wh2_main_skv_cha_grey_seer_plague_1	0
