Loc PackedFile	1
key	text	tooltip
unit_description_short_texts_text_wh2_main_unit_short_text_skv_veh_doomwheel	Careening across the battlefield, smashing everything on contact and incinerating anything too close with bolts of savage Warpstone lightning.	true
unit_description_short_texts_text_wh2_dlc09_tmb_mon_sepulchral_stalkers	These sentinels mark the borders of the Tomb Kings' realm, submerged in the sand, waiting to strike at the unsuspecting.	true
unit_description_short_texts_text_wh_main_unit_short_text_dwf_lord	In battle, the Dwarfen Lord gets lost in the melee with hammer in hand, strong as a dozen Dwarfen soldiers.	true
unit_description_short_texts_text_wh_dlc08_unit_short_text_nor_marauder_hunters	The harshest of wildernesses creates the most brutal of hunters.	true
unit_description_short_texts_text_wh_dlc08_unit_short_text_nor_marauder_chariot	With spinning scythes and a spike-laden chassis, this chariot causes maximum bloodshed with its devastating charge. 	true
unit_description_short_texts_text_wh2_dlc12_unit_short_text_skv_inf_ratling_gun_ror_0	Keep your mouth shut and your head down if you want to live.	true
unit_description_short_texts_text_wh2_dlc09_tmb_inf_skeleton_warriors	The Undead devotees of the Tomb Kings are risen again, unswervingly loyal to their liege.	true
unit_description_short_texts_text_wh2_dlc09_tmb_inf_skeleton_spearmen	Spears extend, like gnarled and sharpened bones, held firmly in place by their deathly-grip.	true
unit_description_short_texts_text_wh_dlc07_unit_short_text_brt_prophetess_life	These spellcasters use the Lore of Life to protect friendly troops, yet frustrate and confound enemies.	true
unit_description_short_texts_text_wh2_dlc09_tmb_mon_necrosphinx	The living are scythed down as these nightmarish beasts glide and bound amongst their helpless, terrified prey.	true
unit_description_short_texts_text_wh2_main_unit_short_text_lzd_cav_cold_ones_1	Those able to ride Cold Ones charge headlong into enemy lines, thrashing with crude but effective clubs.	true
unit_description_short_texts_text_wh2_main_unit_short_text_lzd_cav_cold_ones_0	Those able to ride Cold Ones charge headlong into enemy lines, thrashing with crude but effective clubs.	true
unit_description_short_texts_text_wh_pro04_unit_short_text_bst_inf_ungor_spearmen_ror	The nimblest Ungors of the herds, originating from one of the most ancient woods in the Old World.	true
