unit_missile_weapon_junctions_tables	0
missile_weapon	unit	id
wh2_dlc11_gunnery_wight_rifle_bullet_blunderbuss	wh2_dlc11_cst_cha_gunnery_wight_1	1277265313
wh2_dlc11_cst_vampire_fleet_admiral_female_pistol_blunderbuss	wh2_dlc11_cst_cha_vampire_fleet_admiral_female_deeps_1	1495614411
wh2_dlc11_cst_vampire_fleet_admiral_female_pistol_blunderbuss	wh2_dlc11_cst_cha_vampire_fleet_admiral_female_0	1846671182
wh2_dlc11_cst_vampire_fleet_admiral_female_pistol_blunderbuss	wh2_dlc11_cst_cha_vampire_fleet_admiral_female_deeps_0	2071118437
wh2_dlc11_gunnery_wight_rifle_bullet_blunderbuss	wh2_dlc11_cst_cha_gunnery_wight_0	404375395
wh2_dlc11_cst_vampire_fleet_admiral_female_pistol_blunderbuss	wh2_dlc11_cst_cha_vampire_fleet_admiral_female_death_1	45159837
wh2_dlc11_cst_vampire_fleet_admiral_female_pistol_blunderbuss	wh2_dlc11_cst_cha_vampire_fleet_admiral_female_death_0	503577128
wh2_dlc11_cst_vampire_fleet_admiral_female_pistol_blunderbuss	wh2_dlc11_cst_cha_vampire_fleet_admiral_female_1	786100440
wh2_dlc11_cst_luthor_harkon_pistol_explosive	wh2_dlc11_cst_cha_luthor_harkon_0	916785152
