unit_sets_tables	1
key	use_unit_exp_level_range	min_unit_exp_level_inclusive	max_unit_exp_level_inclusive
all_land_artillery	false	-1	-1
all_land_units	false	-1	-1
all_land_units_exluding_artillery	false	-1	-1
all_support_units	false	-1	-1
all_units	false	-1	-1
all_units_excluding_guerrilla_deployment	false	-1	-1
all_units_excluding_immune_to_psychology	false	-1	-1
all_units_excluding_strider	false	-1	-1
all_units_excluding_terror	false	-1	-1
artillery_units	false	-1	-1
black_ark	false	-1	-1
bodyguard_units_admirals	false	-1	-1
bodyguard_units_generals	false	-1	-1
brt_bow_cav	false	-1	-1
brt_bow_inf	false	-1	-1
brt_horse_knights	false	-1	-1
brt_knights	false	-1	-1
brt_monster_knights	false	-1	-1
brt_polearms	false	-1	-1
brt_reliquae	false	-1	-1
brt_spear_cav	false	-1	-1
brt_spear_inf	false	-1	-1
brt_squires_yeomen	false	-1	-1
brt_sword_inf	false	-1	-1
brt_trebuchets	false	-1	-1
bst_dlc03_bestigors	false	-1	-1
bst_dlc03_centigors	false	-1	-1
bst_dlc03_chaos_warhounds	false	-1	-1
bst_dlc03_characters	false	-1	-1
bst_dlc03_cygors	false	-1	-1
bst_dlc03_gors	false	-1	-1
bst_dlc03_khazrak	false	-1	-1
bst_dlc03_melee_infantry_tier_1	false	-1	-1
bst_dlc03_melee_infantry_tier_2	false	-1	-1
bst_dlc03_minotaurs	false	-1	-1
bst_dlc03_razgors_chariots	false	-1	-1
bst_dlc03_razorgors	false	-1	-1
bst_dlc03_ungors	false	-1	-1
bst_dlc03_ungors_centigors	false	-1	-1
bst_dlc03_ungors_gors	false	-1	-1
bst_giants	false	-1	-1
cavalry_and_monsters_knights	false	-1	-1
cavalry_monstrous	false	-1	-1
cavalry_units	false	-1	-1
characters	false	-1	-1
chariots	false	-1	-1
chs_all	false	-1	-1
chs_chariot_plain	false	-1	-1
chs_chosen	false	-1	-1
chs_dragon_ogre_shaggoths	false	-1	-1
chs_dragon_ogres	false	-1	-1
chs_forsaken	false	-1	-1
chs_giants	false	-1	-1
chs_gorebeast_chariot	false	-1	-1
chs_hellcannon	false	-1	-1
chs_hounds	false	-1	-1
chs_knights	false	-1	-1
chs_lords	false	-1	-1
chs_manticores	false	-1	-1
chs_marauders	false	-1	-1
chs_spawns	false	-1	-1
chs_trolls	false	-1	-1
chs_warmachines	false	-1	-1
chs_warriors	false	-1	-1
chs_warriors_only	false	-1	-1
def_agents	false	-1	-1
def_beasts	false	-1	-1
def_black_council	false	-1	-1
def_blackguard	false	-1	-1
def_boltthrowers	false	-1	-1
def_characters	false	-1	-1
def_coldonechariots	false	-1	-1
def_coldoneknights	false	-1	-1
def_corsairs	false	-1	-1
def_crossbowmen	false	-1	-1
def_darkriders	false	-1	-1
def_darkshards_shields	false	-1	-1
def_doomfire_warlocks	false	-1	-1
def_doomfire_warlocks_rank7	true	7	9
def_dragons	false	-1	-1
def_dreadknights	false	-1	-1
def_executioners	false	-1	-1
def_feral_manticore	false	-1	-1
def_feral_manticore_rank7	true	7	9
def_harpies	false	-1	-1
def_hydra	false	-1	-1
def_kharibdyss	false	-1	-1
def_shades	false	-1	-1
def_sisters_of_slaughter	false	-1	-1
def_sisters_of_slaughter_rank7	true	7	9
def_spearmen	false	-1	-1
def_swordmen	false	-1	-1
def_witchelves	false	-1	-1
def_witchelves_and_sisters_of_slaughter	false	-1	-1
dlc07_brt_foot_squires	false	-1	-1
dlc07_brt_grail_guardians	false	-1	-1
dlc07_brt_grail_knights_guardians	false	-1	-1
dlc07_brt_grail_vow	false	-1	-1
dlc07_brt_grail_vow_unique_fay	false	-1	-1
dlc07_brt_inf_battle_pilgrims	false	-1	-1
dlc07_brt_knights_questing	false	-1	-1
dlc07_brt_knights_realm	false	-1	-1
dlc07_brt_knights_vow	false	-1	-1
dlc07_brt_paladins	false	-1	-1
dlc07_brt_quest_vow	false	-1	-1
dlc07_brt_royal_units	false	-1	-1
dlc08_mammoths	false	-1	-1
dlc08_nor_all_norscan_wolf_creatures_and_warhounds	false	-1	-1
dlc08_nor_all_warhounds	false	-1	-1
dlc08_nor_fimirs	false	-1	-1
dlc08_nor_frost_wyrm	false	-1	-1
dlc08_nor_giants	false	-1	-1
dlc08_nor_marauders_all	false	-1	-1
dlc08_nor_marauders_berserkers	false	-1	-1
dlc08_nor_marauders_cav	false	-1	-1
dlc08_nor_marauders_cav_chariots	false	-1	-1
dlc08_nor_marauders_champions	false	-1	-1
dlc08_nor_marauders_chariots	false	-1	-1
dlc08_nor_marauders_hunters	false	-1	-1
dlc08_nor_marauders_inf	false	-1	-1
dlc08_nor_marauders_mis	false	-1	-1
dlc08_nor_marauders_spearmen	false	-1	-1
dlc08_nor_monsters	false	-1	-1
dlc08_nor_skin_wolves	false	-1	-1
dlc08_nor_trolls	false	-1	-1
dlc08_nor_trolls_fimirs	false	-1	-1
dlc08_nor_war_mammoth_warshrine	false	-1	-1
dlc08_nor_war_mammoths	false	-1	-1
dlc08_nor_warhounds_only	false	-1	-1
dwf_all_units_characters	false	-1	-1
dwf_blackpowder	false	-1	-1
dwf_bomber	false	-1	-1
dwf_characters	false	-1	-1
dwf_dlc06_rangers	false	-1	-1
dwf_flame_cannon	false	-1	-1
dwf_grudgeboltthrowers	false	-1	-1
dwf_gyro_flame	false	-1	-1
dwf_gyros	false	-1	-1
dwf_hammerers	false	-1	-1
dwf_infantry	false	-1	-1
dwf_infantry_ranged	false	-1	-1
dwf_ironbreaker	false	-1	-1
dwf_irondrakes	false	-1	-1
dwf_longbeards	false	-1	-1
dwf_master_engineer	false	-1	-1
dwf_melee_infantry	false	-1	-1
dwf_miners	false	-1	-1
dwf_pro01_grombrindal	false	-1	-1
dwf_quarrelers	false	-1	-1
dwf_ranged_tier_1	false	-1	-1
dwf_ranged_tier_2	false	-1	-1
dwf_runesmith	false	-1	-1
dwf_shield_units	false	-1	-1
dwf_slayers	false	-1	-1
dwf_slayers_and_ungrim	false	-1	-1
dwf_thane	false	-1	-1
dwf_thunderers	false	-1	-1
dwf_warriors	false	-1	-1
dwf_wpn_greataxe	false	-1	-1
dwf_wpn_hammer	false	-1	-1
dwf_wpn_handweapon	false	-1	-1
dwf_wpn_picks	false	-1	-1
elephants	false	-1	-1
emp_artillery	false	-1	-1
emp_characters	false	-1	-1
emp_crossbow	false	-1	-1
emp_demigryphs	false	-1	-1
emp_flagellants	false	-1	-1
emp_freecompany	false	-1	-1
emp_greatcannon	false	-1	-1
emp_greatswords	false	-1	-1
emp_halberds	false	-1	-1
emp_handgunners	false	-1	-1
emp_infantry	false	-1	-1
emp_knights	false	-1	-1
emp_lances	false	-1	-1
emp_melee_infantry_tier_1	false	-1	-1
emp_melee_infantry_tier_2	false	-1	-1
emp_outriders	false	-1	-1
emp_pistoleers	false	-1	-1
emp_reiksguard	false	-1	-1
emp_spears	false	-1	-1
emp_state_troops	false	-1	-1
emp_steam_tank	false	-1	-1
emp_steam_tank_and_demigryph_knights	false	-1	-1
emp_swords	false	-1	-1
emp_warmachines	false	-1	-1
emp_wizards	false	-1	-1
ethereal	false	-1	-1
flying_units	false	-1	-1
grn_all_big_uns	false	-1	-1
grn_arachnarok	false	-1	-1
grn_archer_infantry	false	-1	-1
grn_archers	false	-1	-1
grn_arrer_boyz	false	-1	-1
grn_big_uns	false	-1	-1
grn_black_orcs	false	-1	-1
grn_boars	false	-1	-1
grn_boyz	false	-1	-1
grn_characters	false	-1	-1
grn_chariots	false	-1	-1
grn_dlc06_da_warlords_boyz	false	-1	-1
grn_dlc06_grn_inf_nasty_skukers	false	-1	-1
grn_dlc06_night_goblins	false	-1	-1
grn_dlc06_night_goblins_and_goblins	false	-1	-1
grn_dlc06_savage_orc_infantry	false	-1	-1
grn_dlc06_savage_orc_riders	false	-1	-1
grn_dlc06_savage_orcs	false	-1	-1
grn_dlc06_squig_hoppers	false	-1	-1
grn_dlc06_squigs	false	-1	-1
grn_doomdiver	false	-1	-1
grn_fanatics	false	-1	-1
grn_giants	false	-1	-1
grn_goblins	false	-1	-1
grn_infantry_goblin	false	-1	-1
grn_infantry_orc	false	-1	-1
grn_melee_infantry_tier_1	false	-1	-1
grn_melee_infantry_tier_2	false	-1	-1
grn_night_goblins	false	-1	-1
grn_normal_orcs	false	-1	-1
grn_orc_warboss	false	-1	-1
grn_orcs	false	-1	-1
grn_rocklobber	false	-1	-1
grn_spear_infantry	false	-1	-1
grn_spears	false	-1	-1
grn_spider_riders	false	-1	-1
grn_trolls	false	-1	-1
grn_wolf_riders	false	-1	-1
hef_all	false	-1	-1
hef_archer_seaguard_boltthrower_rank7	true	7	9
hef_archer_seaguard_rank7	true	7	9
hef_archers	false	-1	-1
hef_boltthrower	false	-1	-1
hef_casters	false	-1	-1
hef_chariots	false	-1	-1
hef_dlc10_trees	false	-1	-1
hef_dragon_phoenix_related_rank7	true	7	9
hef_dragonprince	false	-1	-1
hef_dragons	false	-1	-1
