unit_variants_colours_tables	2
faction	primary_colour_b	primary_colour_g	primary_colour_r	secondary_colour_b	secondary_colour_g	secondary_colour_r	soldier_type	tertiary_colour_b	tertiary_colour_g	tertiary_colour_r	key	unit_variant
wh_main_brt_bretonnia	18	16	137	136	43	38	soldier	0	0	0	0	wh_main_brt_cav_grail_knights
wh_main_brt_bretonnia	136	64	29	243	243	243	soldier	0	0	0	100	wh_main_brt_cav_knights_of_the_realm
wh_main_brt_parravon	25	25	180	14	14	25	soldier	0	0	0	10004	wh_main_brt_cav_pegasus_knights
wh_main_brt_artois	12	14	134	238	238	246	soldier	0	0	0	1001	wh_main_brt_cav_grail_knights
wh_main_brt_parravon	18	18	37	64	178	214	soldier	0	0	0	10011	wh_main_brt_cav_pegasus_knights
wh2_main_def_naggarond	116	68	204	0	0	0	soldier	0	0	0	1001760602	wh2_dlc10_def_inf_the_hellebronai_ror_0
wh_main_brt_parravon	16	16	132	135	42	37	soldier	0	0	0	10021	wh_main_brt_cav_pegasus_knights
wh_main_brt_parravon	239	239	241	75	126	220	soldier	0	0	0	10027	wh_main_brt_cav_pegasus_knights
wh_main_brt_parravon	45	193	244	22	26	142	soldier	0	0	0	10028	wh_main_brt_cav_pegasus_knights
wh_main_brt_artois	239	239	239	36	36	36	soldier	0	0	0	1003	wh_main_brt_cav_grail_knights
wh_main_brt_parravon	12	14	134	238	238	246	soldier	0	0	0	10035	wh_main_brt_cav_pegasus_knights
wh_main_brt_parravon	239	239	239	36	36	36	soldier	0	0	0	10038	wh_main_brt_cav_pegasus_knights
wh_main_brt_parravon	18	16	137	136	43	38	soldier	0	0	0	10046	wh_main_brt_cha_lord_0
wh_main_brt_parravon	136	64	29	243	243	243	soldier	0	0	0	10047	wh_main_brt_cha_lord_0
wh_main_brt_parravon	83	201	238	19	19	19	soldier	0	0	0	10048	wh_main_brt_cha_lord_0
wh_main_brt_parravon	95	35	35	77	171	214	soldier	0	0	0	10050	wh_main_brt_cha_lord_0
wh_main_brt_parravon	23	29	34	18	20	145	soldier	0	0	0	10054	wh_main_brt_cha_lord_0
wh_main_brt_parravon	132	41	36	15	15	145	soldier	0	0	0	10058	wh_main_brt_cha_lord_0
wh_main_brt_parravon	250	250	250	205	101	42	soldier	0	0	0	10063	wh_main_brt_cha_lord_0
wh_main_brt_artois	18	16	137	136	43	38	soldier	0	0	0	1007	wh_main_brt_cav_knights_of_the_realm
wh_main_brt_parravon	30	30	30	241	241	241	soldier	0	0	0	10070	wh_main_brt_cha_lord_0
wh_main_brt_parravon	236	236	245	11	11	139	soldier	0	0	0	10079	wh_main_brt_cha_lord_0
wh_main_brt_parravon	25	25	180	14	14	25	soldier	0	0	0	10087	wh_main_brt_cha_lord_0
wh_main_brt_parravon	18	18	37	64	178	214	soldier	0	0	0	10091	wh_main_brt_cha_lord_0
wh_main_brt_parravon	16	16	132	135	42	37	soldier	0	0	0	10098	wh_main_brt_cha_lord_0
wh_main_brt_parravon	239	239	241	75	126	220	soldier	0	0	0	10103	wh_main_brt_cha_lord_0
wh_main_brt_parravon	45	193	244	22	26	142	soldier	0	0	0	10107	wh_main_brt_cha_lord_0
wh_main_brt_parravon	12	14	134	238	238	246	soldier	0	0	0	10109	wh_main_brt_cha_lord_0
wh2_dlc09_tmb_khemri	58	229	165	77	77	77	soldier	0	0	0	1011063785	wh2_dlc09_tmb_inf_tomb_guard_ror
wh_main_brt_parravon	239	239	239	36	36	36	soldier	0	0	0	10115	wh_main_brt_cha_lord_0
wh_main_brt_parravon	18	16	137	136	43	38	soldier	0	0	0	10120	wh_main_brt_cha_lord_2
wh_main_brt_parravon	136	64	29	243	243	243	soldier	0	0	0	10130	wh_main_brt_cha_lord_2
wh_main_brt_parravon	83	201	238	19	19	19	soldier	0	0	0	10131	wh_main_brt_cha_lord_2
wh_main_brt_parravon	95	35	35	77	171	214	soldier	0	0	0	10137	wh_main_brt_cha_lord_2
wh2_dlc11_cst_pirates_of_sartosa	182	212	220	0	0	102	soldier	0	0	0	1013720406	wh2_dlc11_cst_inf_sartosa_free_company_0
wh_main_brt_parravon	23	29	34	18	20	145	soldier	0	0	0	10140	wh_main_brt_cha_lord_2
wh_main_brt_parravon	132	41	36	15	15	145	soldier	0	0	0	10141	wh_main_brt_cha_lord_2
wh_main_brt_parravon	250	250	250	205	101	42	soldier	0	0	0	10148	wh_main_brt_cha_lord_2
wh_main_brt_parravon	30	30	30	241	241	241	soldier	0	0	0	10149	wh_main_brt_cha_lord_2
wh_main_brt_artois	136	64	29	243	243	243	soldier	0	0	0	1015	wh_main_brt_cav_knights_of_the_realm
wh_main_brt_parravon	236	236	245	11	11	139	soldier	0	0	0	10153	wh_main_brt_cha_lord_2
wh_main_brt_parravon	25	25	180	14	14	25	soldier	0	0	0	10160	wh_main_brt_cha_lord_2
wh_main_brt_parravon	18	18	37	64	178	214	soldier	0	0	0	10162	wh_main_brt_cha_lord_2
wh_main_brt_artois	83	201	238	19	19	19	soldier	0	0	0	1017	wh_main_brt_cav_knights_of_the_realm
wh_main_brt_parravon	16	16	132	135	42	37	soldier	0	0	0	10172	wh_main_brt_cha_lord_2
wh_main_brt_parravon	239	239	241	75	126	220	soldier	0	0	0	10178	wh_main_brt_cha_lord_2
wh_main_brt_parravon	45	193	244	22	26	142	soldier	0	0	0	10182	wh_main_brt_cha_lord_2
wh_main_brt_parravon	12	14	134	238	238	246	soldier	0	0	0	10186	wh_main_brt_cha_lord_2
wh_main_brt_parravon	239	239	239	36	36	36	soldier	0	0	0	10195	wh_main_brt_cha_lord_2
wh_main_brt_parravon	18	16	137	136	43	38	soldier	0	0	0	10202	wh_main_brt_cha_lord_3
wh_main_brt_parravon	136	64	29	243	243	243	soldier	0	0	0	10212	wh_main_brt_cha_lord_3
wh2_dlc09_tmb_lybaras	58	229	165	77	77	77	soldier	0	0	0	1021281741	wh2_dlc09_tmb_inf_tomb_guard_ror
wh_main_brt_parravon	83	201	238	19	19	19	soldier	0	0	0	10219	wh_main_brt_cha_lord_3
wh_main_brt_parravon	95	35	35	77	171	214	soldier	0	0	0	10221	wh_main_brt_cha_lord_3
wh_main_brt_parravon	23	29	34	18	20	145	soldier	0	0	0	10229	wh_main_brt_cha_lord_3
wh_main_brt_parravon	132	41	36	15	15	145	soldier	0	0	0	10231	wh_main_brt_cha_lord_3
wh_main_brt_parravon	250	250	250	205	101	42	soldier	0	0	0	10235	wh_main_brt_cha_lord_3
wh_main_brt_parravon	30	30	30	241	241	241	soldier	0	0	0	10240	wh_main_brt_cha_lord_3
wh_main_brt_parravon	236	236	245	11	11	139	soldier	0	0	0	10249	wh_main_brt_cha_lord_3
wh_main_brt_artois	95	35	35	77	171	214	soldier	0	0	0	1025	wh_main_brt_cav_knights_of_the_realm
wh_main_brt_parravon	25	25	180	14	14	25	soldier	0	0	0	10254	wh_main_brt_cha_lord_3
wh_main_brt_parravon	18	18	37	64	178	214	soldier	0	0	0	10257	wh_main_brt_cha_lord_3
wh_main_brt_parravon	16	16	132	135	42	37	soldier	0	0	0	10265	wh_main_brt_cha_lord_3
wh_dlc03_bst_beastmen	140	120	10	100	1	1	soldier	0	0	0	1026877294	wh_pro04_bst_inf_ungor_spearmen_ror_0
wh_main_brt_parravon	239	239	241	75	126	220	soldier	0	0	0	10275	wh_main_brt_cha_lord_3
wh_main_brt_parravon	45	193	244	22	26	142	soldier	0	0	0	10280	wh_main_brt_cha_lord_3
wh_main_brt_parravon	12	14	134	238	238	246	soldier	0	0	0	10285	wh_main_brt_cha_lord_3
wh_main_brt_parravon	239	239	239	36	36	36	soldier	0	0	0	10292	wh_main_brt_cha_lord_3
wh_main_brt_parravon	18	16	137	136	43	38	soldier	0	0	0	10295	wh_main_brt_cha_lord_4
wh_main_brt_parravon	136	64	29	243	243	243	soldier	0	0	0	10300	wh_main_brt_cha_lord_4
wh_main_brt_parravon	83	201	238	19	19	19	soldier	0	0	0	10306	wh_main_brt_cha_lord_4
wh_main_brt_parravon	95	35	35	77	171	214	soldier	0	0	0	10309	wh_main_brt_cha_lord_4
wh_main_brt_artois	23	29	34	18	20	145	soldier	0	0	0	1031	wh_main_brt_cav_knights_of_the_realm
wh2_dlc09_tmb_exiles_of_nehek	58	229	165	77	77	77	soldier	0	0	0	1031587705	wh2_dlc09_tmb_cav_necropolis_knights_ror
wh_main_brt_parravon	23	29	34	18	20	145	soldier	0	0	0	10317	wh_main_brt_cha_lord_4
wh_main_brt_parravon	132	41	36	15	15	145	soldier	0	0	0	10319	wh_main_brt_cha_lord_4
wh_main_brt_parravon	250	250	250	205	101	42	soldier	0	0	0	10324	wh_main_brt_cha_lord_4
wh_main_brt_parravon	30	30	30	241	241	241	soldier	0	0	0	10329	wh_main_brt_cha_lord_4
wh_main_brt_parravon	236	236	245	11	11	139	soldier	0	0	0	10336	wh_main_brt_cha_lord_4
wh_main_brt_parravon	25	25	180	14	14	25	soldier	0	0	0	10342	wh_main_brt_cha_lord_4
wh_main_brt_parravon	18	18	37	64	178	214	soldier	0	0	0	10345	wh_main_brt_cha_lord_4
wh_main_brt_parravon	16	16	132	135	42	37	soldier	0	0	0	10353	wh_main_brt_cha_lord_4
wh_main_brt_parravon	239	239	241	75	126	220	soldier	0	0	0	10361	wh_main_brt_cha_lord_4
wh_main_brt_parravon	45	193	244	22	26	142	soldier	0	0	0	10363	wh_main_brt_cha_lord_4
wh_main_brt_parravon	12	14	134	238	238	246	soldier	0	0	0	10372	wh_main_brt_cha_lord_4
wh_main_brt_parravon	239	239	239	36	36	36	soldier	0	0	0	10375	wh_main_brt_cha_lord_4
wh_main_brt_parravon	18	16	137	136	43	38	soldier	0	0	0	10377	wh_main_brt_cha_paladin_0
wh_main_brt_parravon	136	64	29	243	243	243	soldier	0	0	0	10381	wh_main_brt_cha_paladin_0
wh_main_brt_parravon	83	201	238	19	19	19	soldier	0	0	0	10388	wh_main_brt_cha_paladin_0
wh_main_brt_parravon	95	35	35	77	171	214	soldier	0	0	0	10389	wh_main_brt_cha_paladin_0
wh_main_brt_artois	132	41	36	15	15	145	soldier	0	0	0	1039	wh_main_brt_cav_knights_of_the_realm
wh_main_brt_parravon	23	29	34	18	20	145	soldier	0	0	0	10397	wh_main_brt_cha_paladin_0
