Loc PackedFile	1
key	text	tooltip
units_custom_battle_mounts_mount_name_wh_dlc03_bst_cha_bray_shaman_wild_0wh_dlc03_bst_cha_bray_shaman_wild_1	Razorgor Chariot	true
units_custom_battle_mounts_mount_name_wh2_main_def_cha_sorceress_fire_0wh2_main_def_cha_sorceress_fire_1	Dark Steed	true
units_custom_battle_mounts_mount_name_wh2_main_def_cha_sorceress_fire_0wh2_main_def_cha_sorceress_fire_3	Dark Pegasus	true
units_custom_battle_mounts_mount_name_wh2_main_def_cha_sorceress_fire_0wh2_main_def_cha_sorceress_fire_2	Cold One	true
units_custom_battle_mounts_mount_name_wh2_main_skv_cha_grey_seer_ruin_0wh2_main_skv_cha_grey_seer_ruin_1	Screaming Bell	true
units_custom_battle_mounts_localised_description_wh2_dlc11_cst_cha_vampire_fleet_admiral_death_0wh2_dlc11_cst_cha_vampire_fleet_admiral_death_1	The unnatural speed and brutality of a reanimated Promethean makes it the ideal mount for any Undead, battle-mongering pirate.	true
units_custom_battle_mounts_mount_name_wh_main_chs_cha_chaos_sorcerer_metal_0wh_main_chs_cha_chaos_sorcerer_metal_9	Manticore	true
units_custom_battle_mounts_localised_description_wh_main_brt_cha_king_louen_leoncoeur_0wh_main_brt_cha_king_louen_leoncoeur_1	The greatest of the hippogryphs for the greatest Bretonnian leader since Gilles the Uniter.	true
units_custom_battle_mounts_localised_description_wh_main_brt_cha_lord_0wh_main_brt_cha_lord_4	The finest horses in the Old World, bred for their endurance and fiery temperament, barded for further protection.	true
units_custom_battle_mounts_localised_description_wh_main_brt_cha_king_louen_leoncoeur_0wh_main_brt_cha_king_louen_leoncoeur_2	The finest horses in the Old World, bred for their endurance and fiery temperament, barded for further protection.	true
units_custom_battle_mounts_localised_description_wh_main_brt_cha_king_louen_leoncoeur_0wh_main_brt_cha_king_louen_leoncoeur_3	Stronger and faster than the mightiest warhorse, these intelligent beasts are exceptionally loyal to their noble masters.	true
units_custom_battle_mounts_localised_description_wh_main_brt_cha_king_louen_leoncoeur_0wh_main_brt_cha_king_louen_leoncoeur_4	Fierce beasts that will fight to the death any who enter their territory – be they man or dragon!	true
units_custom_battle_mounts_localised_description_wh_main_brt_cha_lord_0wh_main_brt_cha_lord_3	Stronger and faster than the mightiest warhorse, these intelligent beasts are exceptionally loyal to their noble masters.	true
units_custom_battle_mounts_localised_description_wh_main_brt_cha_lord_0wh_main_brt_cha_lord_2	Fierce beasts that will fight to the death any who enter their territory – be they man or dragon!	true
units_custom_battle_mounts_mount_name_wh2_main_hef_cha_princess_0wh2_main_hef_cha_princess_3	Great Eagle	true
units_custom_battle_mounts_mount_name_wh2_main_hef_cha_princess_0wh2_main_hef_cha_princess_1	Elven Steed	true
units_custom_battle_mounts_mount_name_wh2_main_hef_cha_princess_0wh2_main_hef_cha_princess_5	Star Dragon	true
units_custom_battle_mounts_mount_name_wh2_main_hef_cha_princess_0wh2_main_hef_cha_princess_4	Moon Dragon	true
units_custom_battle_mounts_mount_name_wh_main_chs_cha_exalted_hero_0wh_dlc01_chs_cha_exalted_hero_10	Manticore	true
units_custom_battle_mounts_mount_name_wh2_dlc11_cst_cha_vampire_fleet_captain_0wh2_dlc11_cst_cha_vampire_fleet_captain_1	Rotting Promethean	true
units_custom_battle_mounts_mount_name_wh2_dlc11_cst_inf_count_noctilus_0wh2_dlc11_cst_inf_count_noctilus_1	Necrofex Colossus	true
units_custom_battle_mounts_localised_description_wh_main_vmp_cha_vampire_lord_0wh_main_vmp_cha_vampire_lord_5	Covered in heavy barding and spikes, to tear the flesh of their foes.	true
units_custom_battle_mounts_localised_description_wh_main_vmp_cha_vampire_lord_0wh_main_vmp_cha_vampire_lord_2	Driven mad by the stench of blood, they are eager to trample their prey into the dirt.	true
units_custom_battle_mounts_localised_description_wh_main_vmp_cha_vampire_lord_0wh_main_vmp_cha_vampire_lord_3	Powerful Dark Magic saturated the bones of long-dead dragons, raising them to new purpose. 	true
units_custom_battle_mounts_localised_description_wh2_dlc09_tmb_cha_liche_priest_nehekhara_0wh2_dlc09_tmb_cha_liche_priest_nehekhara_1	Long-dead destriers, awakened to serve their Unliving masters far beyond death.	true
units_custom_battle_mounts_localised_description_wh2_dlc11_vmp_cha_bloodline_von_carstein_lord_0wh2_dlc11_vmp_cha_bloodline_von_carstein_lord_2	Driven mad by the stench of blood, they are eager to trample their prey into the dirt.	true
units_custom_battle_mounts_localised_description_wh2_dlc11_vmp_cha_bloodline_von_carstein_lord_0wh2_dlc11_vmp_cha_bloodline_von_carstein_lord_3	Powerful Dark Magic saturated the bones of long-dead dragons, raising them to new purpose. 	true
units_custom_battle_mounts_localised_description_wh2_dlc11_vmp_cha_bloodline_von_carstein_lord_0wh2_dlc11_vmp_cha_bloodline_von_carstein_lord_1	Covered in heavy barding and spikes, to tear the flesh of their foes.	true
