units_custom_battle_permissions_tables	7
faction	general_unit	unit	siege_unit_attacker	siege_unit_defender	general_portrait	general_uniform	set_piece_character
wh2_dlc09_skv_clan_rictus	true	wh2_dlc09_skv_cha_tretch_craventail	true	true	ui/portraits/portholes/wh2_main_skv_skaven/skv_tretch_craventail_0.png		wh2_dlc09_skv_cha_tretch_craventail
wh2_main_skv_skaven	true	wh2_dlc09_skv_cha_tretch_craventail	true	true	ui/portraits/portholes/wh2_main_skv_skaven/skv_tretch_craventail_0.png		wh2_dlc09_skv_cha_tretch_craventail
wh2_dlc09_tmb_exiles_of_nehek	false	wh2_dlc09_tmb_art_casket_of_souls_0	true	true			
wh2_dlc09_tmb_followers_of_nagash	false	wh2_dlc09_tmb_art_casket_of_souls_0	true	true			
wh2_dlc09_tmb_lybaras	false	wh2_dlc09_tmb_art_casket_of_souls_0	true	true			
wh2_dlc09_tmb_tomb_kings	false	wh2_dlc09_tmb_art_casket_of_souls_0	true	true			
wh2_dlc09_tmb_exiles_of_nehek	false	wh2_dlc09_tmb_art_screaming_skull_catapult_0	true	true			
wh2_dlc09_tmb_followers_of_nagash	false	wh2_dlc09_tmb_art_screaming_skull_catapult_0	true	true			
wh2_dlc09_tmb_lybaras	false	wh2_dlc09_tmb_art_screaming_skull_catapult_0	true	true			
wh2_dlc09_tmb_tomb_kings	false	wh2_dlc09_tmb_art_screaming_skull_catapult_0	true	true			
wh2_dlc09_tmb_followers_of_nagash	false	wh2_dlc09_tmb_cav_hexwraiths	true	true			
wh2_dlc09_tmb_exiles_of_nehek	false	wh2_dlc09_tmb_cav_necropolis_knights_0	true	true			
wh2_dlc09_tmb_followers_of_nagash	false	wh2_dlc09_tmb_cav_necropolis_knights_0	true	true			
wh2_dlc09_tmb_lybaras	false	wh2_dlc09_tmb_cav_necropolis_knights_0	true	true			
wh2_dlc09_tmb_tomb_kings	false	wh2_dlc09_tmb_cav_necropolis_knights_0	true	true			
wh2_dlc09_tmb_exiles_of_nehek	false	wh2_dlc09_tmb_cav_necropolis_knights_1	true	true			
wh2_dlc09_tmb_followers_of_nagash	false	wh2_dlc09_tmb_cav_necropolis_knights_1	true	true			
wh2_dlc09_tmb_lybaras	false	wh2_dlc09_tmb_cav_necropolis_knights_1	true	true			
wh2_dlc09_tmb_tomb_kings	false	wh2_dlc09_tmb_cav_necropolis_knights_1	true	true			
wh2_dlc09_tmb_exiles_of_nehek	false	wh2_dlc09_tmb_cav_nehekhara_horsemen_0	true	true			
wh2_dlc09_tmb_followers_of_nagash	false	wh2_dlc09_tmb_cav_nehekhara_horsemen_0	true	true			
wh2_dlc09_tmb_lybaras	false	wh2_dlc09_tmb_cav_nehekhara_horsemen_0	true	true			
wh2_dlc09_tmb_tomb_kings	false	wh2_dlc09_tmb_cav_nehekhara_horsemen_0	true	true			
wh2_dlc09_tmb_exiles_of_nehek	false	wh2_dlc09_tmb_cav_skeleton_horsemen_0	true	true			
wh2_dlc09_tmb_followers_of_nagash	false	wh2_dlc09_tmb_cav_skeleton_horsemen_0	true	true			
wh2_dlc09_tmb_lybaras	false	wh2_dlc09_tmb_cav_skeleton_horsemen_0	true	true			
wh2_dlc09_tmb_tomb_kings	false	wh2_dlc09_tmb_cav_skeleton_horsemen_0	true	true			
wh2_dlc09_tmb_exiles_of_nehek	false	wh2_dlc09_tmb_cav_skeleton_horsemen_archers_0	true	true			
wh2_dlc09_tmb_followers_of_nagash	false	wh2_dlc09_tmb_cav_skeleton_horsemen_archers_0	true	true			
wh2_dlc09_tmb_lybaras	false	wh2_dlc09_tmb_cav_skeleton_horsemen_archers_0	true	true			
wh2_dlc09_tmb_tomb_kings	false	wh2_dlc09_tmb_cav_skeleton_horsemen_archers_0	true	true			
wh2_dlc09_tmb_followers_of_nagash	true	wh2_dlc09_tmb_cha_arkhan_0	true	true	ui/portraits/portholes/wh2_dlc09_tmb_tomb_kings/tmb_ch_arkhan_0.png		wh2_dlc09_cha_arkhan_0
wh2_dlc09_tmb_tomb_kings	true	wh2_dlc09_tmb_cha_arkhan_0	true	true	ui/portraits/portholes/wh2_dlc09_tmb_tomb_kings/tmb_ch_arkhan_0.png		wh2_dlc09_cha_arkhan_0
wh2_dlc09_tmb_followers_of_nagash	true	wh2_dlc09_tmb_cha_arkhan_1	true	true	ui/portraits/portholes/wh2_dlc09_tmb_tomb_kings/tmb_ch_arkhan_0.png		wh2_dlc09_cha_arkhan_1
wh2_dlc09_tmb_tomb_kings	true	wh2_dlc09_tmb_cha_arkhan_1	true	true	ui/portraits/portholes/wh2_dlc09_tmb_tomb_kings/tmb_ch_arkhan_0.png		wh2_dlc09_cha_arkhan_1
wh2_dlc09_tmb_followers_of_nagash	true	wh2_dlc09_tmb_cha_arkhan_2	true	true	ui/portraits/portholes/wh2_dlc09_tmb_tomb_kings/tmb_ch_arkhan_0.png		wh2_dlc09_cha_arkhan_2
wh2_dlc09_tmb_tomb_kings	true	wh2_dlc09_tmb_cha_arkhan_2	true	true	ui/portraits/portholes/wh2_dlc09_tmb_tomb_kings/tmb_ch_arkhan_0.png		wh2_dlc09_cha_arkhan_2
wh2_dlc09_tmb_lybaras	true	wh2_dlc09_tmb_cha_khalida_0	true	true	ui/portraits/portholes/wh2_dlc09_tmb_tomb_kings/tmb_ch_khalida_0.png		wh2_dlc09_cha_cha_khalida_0
wh2_dlc09_tmb_tomb_kings	true	wh2_dlc09_tmb_cha_khalida_0	true	true	ui/portraits/portholes/wh2_dlc09_tmb_tomb_kings/tmb_ch_khalida_0.png		wh2_dlc09_cha_cha_khalida_0
wh2_dlc09_tmb_lybaras	true	wh2_dlc09_tmb_cha_khalida_1	true	true	ui/portraits/portholes/wh2_dlc09_tmb_tomb_kings/tmb_ch_khalida_0.png		wh2_dlc09_cha_cha_khalida_1
wh2_dlc09_tmb_tomb_kings	true	wh2_dlc09_tmb_cha_khalida_1	true	true	ui/portraits/portholes/wh2_dlc09_tmb_tomb_kings/tmb_ch_khalida_0.png		wh2_dlc09_cha_cha_khalida_1
wh2_dlc09_tmb_lybaras	true	wh2_dlc09_tmb_cha_khalida_2	true	true	ui/portraits/portholes/wh2_dlc09_tmb_tomb_kings/tmb_ch_khalida_0.png		wh2_dlc09_cha_cha_khalida_2
wh2_dlc09_tmb_tomb_kings	true	wh2_dlc09_tmb_cha_khalida_2	true	true	ui/portraits/portholes/wh2_dlc09_tmb_tomb_kings/tmb_ch_khalida_0.png		wh2_dlc09_cha_cha_khalida_2
wh2_dlc09_tmb_exiles_of_nehek	true	wh2_dlc09_tmb_cha_khatep_0	true	true	ui/portraits/portholes/wh2_dlc09_tmb_tomb_kings/tmb_ch_khatep_0.png		wh2_dlc09_cha_khatep_0
wh2_dlc09_tmb_tomb_kings	true	wh2_dlc09_tmb_cha_khatep_0	true	true	ui/portraits/portholes/wh2_dlc09_tmb_tomb_kings/tmb_ch_khatep_0.png		wh2_dlc09_cha_khatep_0
wh2_dlc09_tmb_exiles_of_nehek	true	wh2_dlc09_tmb_cha_khatep_1	true	true	ui/portraits/portholes/wh2_dlc09_tmb_tomb_kings/tmb_ch_khatep_0.png		wh2_dlc09_cha_khatep_1
wh2_dlc09_tmb_tomb_kings	true	wh2_dlc09_tmb_cha_khatep_1	true	true	ui/portraits/portholes/wh2_dlc09_tmb_tomb_kings/tmb_ch_khatep_0.png		wh2_dlc09_cha_khatep_1
wh2_dlc09_tmb_exiles_of_nehek	true	wh2_dlc09_tmb_cha_khatep_2	true	true	ui/portraits/portholes/wh2_dlc09_tmb_tomb_kings/tmb_ch_khatep_0.png		wh2_dlc09_cha_khatep_2
wh2_dlc09_tmb_tomb_kings	true	wh2_dlc09_tmb_cha_khatep_2	true	true	ui/portraits/portholes/wh2_dlc09_tmb_tomb_kings/tmb_ch_khatep_0.png		wh2_dlc09_cha_khatep_2
wh2_dlc09_tmb_exiles_of_nehek	true	wh2_dlc09_tmb_cha_khatep_3	true	true	ui/portraits/portholes/wh2_dlc09_tmb_tomb_kings/tmb_ch_khatep_0.png		wh2_dlc09_cha_khatep_2
wh2_dlc09_tmb_tomb_kings	true	wh2_dlc09_tmb_cha_khatep_3	true	true	ui/portraits/portholes/wh2_dlc09_tmb_tomb_kings/tmb_ch_khatep_0.png		wh2_dlc09_cha_khatep_2
wh2_dlc09_tmb_exiles_of_nehek	false	wh2_dlc09_tmb_cha_liche_priest_death_0	true	true	ui/portraits/portholes/wh2_dlc09_tmb_tomb_kings/tmb_liche_priest_campaign_05_0.png	wh2_dlc09_uniform_tmb_liche_priest_campaign_05	wh2_dlc09_tmb_cha_liche_priest_0
wh2_dlc09_tmb_followers_of_nagash	false	wh2_dlc09_tmb_cha_liche_priest_death_0	true	true	ui/portraits/portholes/wh2_dlc09_tmb_tomb_kings/tmb_liche_priest_campaign_05_0.png	wh2_dlc09_uniform_tmb_liche_priest_campaign_05	wh2_dlc09_tmb_cha_liche_priest_0
wh2_dlc09_tmb_lybaras	false	wh2_dlc09_tmb_cha_liche_priest_death_0	true	true	ui/portraits/portholes/wh2_dlc09_tmb_tomb_kings/tmb_liche_priest_campaign_05_0.png	wh2_dlc09_uniform_tmb_liche_priest_campaign_05	wh2_dlc09_tmb_cha_liche_priest_0
wh2_dlc09_tmb_tomb_kings	false	wh2_dlc09_tmb_cha_liche_priest_death_0	true	true	ui/portraits/portholes/wh2_dlc09_tmb_tomb_kings/tmb_liche_priest_campaign_05_0.png	wh2_dlc09_uniform_tmb_liche_priest_campaign_05	wh2_dlc09_tmb_cha_liche_priest_0
wh2_dlc09_tmb_exiles_of_nehek	false	wh2_dlc09_tmb_cha_liche_priest_death_1	true	true	ui/portraits/portholes/wh2_dlc09_tmb_tomb_kings/tmb_liche_priest_campaign_05_0.png	wh2_dlc09_uniform_tmb_liche_priest_campaign_05	wh2_dlc09_tmb_cha_liche_priest_0
wh2_dlc09_tmb_followers_of_nagash	false	wh2_dlc09_tmb_cha_liche_priest_death_1	true	true	ui/portraits/portholes/wh2_dlc09_tmb_tomb_kings/tmb_liche_priest_campaign_05_0.png	wh2_dlc09_uniform_tmb_liche_priest_campaign_05	wh2_dlc09_tmb_cha_liche_priest_0
wh2_dlc09_tmb_lybaras	false	wh2_dlc09_tmb_cha_liche_priest_death_1	true	true	ui/portraits/portholes/wh2_dlc09_tmb_tomb_kings/tmb_liche_priest_campaign_05_0.png	wh2_dlc09_uniform_tmb_liche_priest_campaign_05	wh2_dlc09_tmb_cha_liche_priest_0
wh2_dlc09_tmb_tomb_kings	false	wh2_dlc09_tmb_cha_liche_priest_death_1	true	true	ui/portraits/portholes/wh2_dlc09_tmb_tomb_kings/tmb_liche_priest_campaign_05_0.png	wh2_dlc09_uniform_tmb_liche_priest_campaign_05	wh2_dlc09_tmb_cha_liche_priest_0
wh2_dlc09_tmb_exiles_of_nehek	false	wh2_dlc09_tmb_cha_liche_priest_light_0	true	true	ui/portraits/portholes/wh2_dlc09_tmb_tomb_kings/tmb_liche_priest_campaign_02_0.png	wh2_dlc09_uniform_tmb_liche_priest_campaign_02	wh2_dlc09_tmb_cha_liche_priest_0
wh2_dlc09_tmb_followers_of_nagash	false	wh2_dlc09_tmb_cha_liche_priest_light_0	true	true	ui/portraits/portholes/wh2_dlc09_tmb_tomb_kings/tmb_liche_priest_campaign_02_0.png	wh2_dlc09_uniform_tmb_liche_priest_campaign_02	wh2_dlc09_tmb_cha_liche_priest_0
wh2_dlc09_tmb_lybaras	false	wh2_dlc09_tmb_cha_liche_priest_light_0	true	true	ui/portraits/portholes/wh2_dlc09_tmb_tomb_kings/tmb_liche_priest_campaign_02_0.png	wh2_dlc09_uniform_tmb_liche_priest_campaign_02	wh2_dlc09_tmb_cha_liche_priest_0
wh2_dlc09_tmb_tomb_kings	false	wh2_dlc09_tmb_cha_liche_priest_light_0	true	true	ui/portraits/portholes/wh2_dlc09_tmb_tomb_kings/tmb_liche_priest_campaign_02_0.png	wh2_dlc09_uniform_tmb_liche_priest_campaign_02	wh2_dlc09_tmb_cha_liche_priest_0
wh2_dlc09_tmb_exiles_of_nehek	false	wh2_dlc09_tmb_cha_liche_priest_light_1	true	true	ui/portraits/portholes/wh2_dlc09_tmb_tomb_kings/tmb_liche_priest_campaign_02_0.png	wh2_dlc09_uniform_tmb_liche_priest_campaign_02	wh2_dlc09_tmb_cha_liche_priest_0
