variants_tables	6
variant_name	tech_folder	variant_filename	low_poly_filename	mount_scale	scale	scale_variation	super_low_poly_filename
animal_boar		animal_boar		1	1	0.050000004	
campaign_brt_ship_agent		campaign_brt_ship_agent		1	0.5	0	
campaign_brt_ship_heavy		campaign_brt_ship_heavy		1	0.8	0	
campaign_brt_ship_light		campaign_brt_ship_light		1	0.7	0	
campaign_brt_ship_transport		campaign_brt_ship_transport		1	0.5	0	
campaign_bst_ship_agent		campaign_bst_ship_agent		1	0.5	0	
campaign_bst_ship_heavy		campaign_bst_ship_heavy		1	0.75	0	
campaign_bst_ship_light		campaign_bst_ship_light		1	1	0	
campaign_bst_ship_transport		campaign_bst_ship_transport		1	0.5	0	
campaign_chs_ship_agent		campaign_chs_ship_agent		1	0.5	0	
campaign_chs_ship_heavy		campaign_chs_ship_heavy		1	0.75	0	
campaign_chs_ship_light		campaign_chs_ship_light		1	0.6	0	
campaign_chs_ship_transport		campaign_chs_ship_transport		1	0.5	0	
campaign_dwf_ship_agent		campaign_dwf_ship_agent		1	0.5	0	
campaign_dwf_ship_heavy		campaign_dwf_ship_heavy		1	0.8	0	
campaign_dwf_ship_light		campaign_dwf_ship_light		1	0.7	0	
campaign_dwf_ship_transport		campaign_dwf_ship_transport		1	0.5	0	
campaign_emp_ship_agent		campaign_emp_ship_agent		1	0.5	0	
campaign_emp_ship_heavy		campaign_emp_ship_heavy		1	0.75	0	
campaign_emp_ship_light		campaign_emp_ship_light		1	0.7	0	
campaign_emp_ship_transport		campaign_emp_ship_transport		1	0.5	0	
campaign_grn_ship_agent		campaign_grn_ship_agent		1	0.5	0	
campaign_grn_ship_heavy		campaign_grn_ship_heavy		1	0.8	0	
campaign_grn_ship_light		campaign_grn_ship_light		1	0.7	0	
campaign_grn_ship_transport		campaign_grn_ship_transport		1	0.5	0	
campaign_nor_ship_agent		campaign_nor_ship_agent		1	0.5	0	
campaign_nor_ship_seafang		campaign_nor_ship_seafang		1	0.5	0	
campaign_nor_ship_transport		campaign_nor_ship_transport		1	0.5	0	
campaign_vmp_ship_agent		campaign_vmp_ship_agent		1	0.5	0	
campaign_vmp_ship_heavy		campaign_vmp_ship_heavy		1	0.75	0	
campaign_vmp_ship_light		campaign_vmp_ship_light		1	0.7	0	
campaign_vmp_ship_transport		campaign_vmp_ship_transport		1	0.5	0	
campaign_wef_ship_agent		campaign_wef_ship_agent		1	0.6	0	
campaign_wef_ship_transport		campaign_wef_ship_transport		1	0.75	0	
dummy_variant		dummy_variant		1	1	0	
grn_goblin_artillery_crew_sword		grn_goblin_artillery_crew_sword	hu5\grn\grn_goblin\low_poly\grn_goblin_archer_lowlod	1	1	0.050000004	hu5/grn/grn_goblin/low_poly/goblin_super_imposter
wh2_dlc09_campaign_tmb_ship_agent		campaign_tmb_ship_agent		1	0.5	0	
wh2_dlc09_campaign_tmb_ship_transport		campaign_tmb_ship_transport		1	0.5	0	
wh2_dlc09_skv_tretch_craventail		skv_tretch_craventail		1	1.25	0	
wh2_dlc09_tmb_arkhan_chariot_campaign	art\campaign\chariots\cam_tmch1\tmb_tomb_chariot\tech	campaign_tmb_arkhan_chariot		1	0.8999999	0.050000004	
wh2_dlc09_tmb_basic_chariot_campaign	art\campaign\chariots\cam_tmch1\tmb_tomb_chariot\tech	campaign_tmb_basic_chariot		1	0.8999999	0.050000004	
wh2_dlc09_tmb_carrion		tmb_carrion		1	0.5	0.050000004	
wh2_dlc09_tmb_carrion_ror		tmb_carrion_ror		1	1	0.050000004	
wh2_dlc09_tmb_casket_of_souls	warmachines\engines\tmb_casket_of_souls\tech	tmb_casket_of_souls		1	1	0	
wh2_dlc09_tmb_ch_arkhan		tmb_ch_arkhan		1	1.2	0	
wh2_dlc09_tmb_ch_khalida		tmb_ch_khalida		1.1	1.2	0	
wh2_dlc09_tmb_ch_khalida_campaign		tmb_ch_khalida_campaign		1	1.15	0	
wh2_dlc09_tmb_ch_khatep		tmb_ch_khatep		1	1.2	0	
wh2_dlc09_tmb_ch_settra		tmb_ch_settra		1	1.2	0	
wh2_dlc09_tmb_ch_tomb_king		tmb_ch_tomb_king		1	1.2	0.050000004	
wh2_dlc09_tmb_ch_tomb_king_campaign_01		tmb_ch_tomb_king_campaign_01		1	1.2	0.050000004	
wh2_dlc09_tmb_ch_tomb_king_campaign_02		tmb_ch_tomb_king_campaign_02		1	1.2	0.050000004	
wh2_dlc09_tmb_ch_tomb_king_campaign_03		tmb_ch_tomb_king_campaign_03		1	1.2	0.050000004	
wh2_dlc09_tmb_ch_tomb_king_campaign_04		tmb_ch_tomb_king_campaign_04		1	1.2	0.050000004	
wh2_dlc09_tmb_ch_tomb_king_campaign_05		tmb_ch_tomb_king_campaign_05		1	1.2	0.050000004	
wh2_dlc09_tmb_ch_tomb_prince		tmb_ch_tomb_prince		1	1.1	0.050000004	
wh2_dlc09_tmb_ch_tomb_prince_campaign_01		tmb_ch_tomb_prince_campaign_01		1	1.1	0.050000004	
wh2_dlc09_tmb_ch_tomb_prince_campaign_02		tmb_ch_tomb_prince_campaign_02		1	1.1	0.050000004	
wh2_dlc09_tmb_ch_tomb_prince_campaign_03		tmb_ch_tomb_prince_campaign_03		1	1.1	0.050000004	
wh2_dlc09_tmb_ch_tomb_prince_campaign_04		tmb_ch_tomb_prince_campaign_04		1	1.1	0.050000004	
wh2_dlc09_tmb_ch_tomb_prince_campaign_05		tmb_ch_tomb_prince_campaign_05		1	1.1	0.050000004	
wh2_dlc09_tmb_ch_tomb_prince_chariot		tmb_ch_tomb_prince_chariot		1	1.1	0.050000004	
wh2_dlc09_tmb_general_chariot_campaign	art\campaign\chariots\cam_tmch1\tmb_tomb_chariot\tech	campaign_tmb_general_chariot		1	0.8999999	0.050000004	
wh2_dlc09_tmb_hierotitan		tmb_hierotitan		1	1	0	
wh2_dlc09_tmb_khemrian_warsphinx	VariantMeshes\wh_variantmodels\bc1\tmb\tmb_warsphinx\tech	tmb_khemrian_warsphinx		1	1	0.050000004	
wh2_dlc09_tmb_liche_priest		tmb_liche_priest		1	1.1	0.050000004	
wh2_dlc09_tmb_liche_priest_campaign_01		tmb_liche_priest_campaign_01		1	1.1	0.050000004	
wh2_dlc09_tmb_liche_priest_campaign_02		tmb_liche_priest_campaign_02		1	1.1	0.050000004	
wh2_dlc09_tmb_liche_priest_campaign_03		tmb_liche_priest_campaign_03		1	1.1	0.050000004	
wh2_dlc09_tmb_liche_priest_campaign_04		tmb_liche_priest_campaign_04		1	1.1	0.050000004	
wh2_dlc09_tmb_liche_priest_campaign_05		tmb_liche_priest_campaign_05		1	1.1	0.050000004	
wh2_dlc09_tmb_liche_priest_casket		tmb_liche_priest		1	0.8999999	0.050000004	
wh2_dlc09_tmb_necro_serpent	VariantMeshes/wh_variantmodels/sn1/tmb/tmb_necroserpents/body/tech	tmb_necro_serpent	sn1\tmb\tmb_necroserpents\imposter\tmb_necroserpent_imposter	1	1.1	0	
wh2_dlc09_tmb_necro_serpent_khalida	VariantMeshes/wh_variantmodels/sn1/tmb/tmb_necroserpents/body/tech	tmb_necro_serpent	sn1\tmb\tmb_necroserpents\imposter\tmb_necroserpent_imposter	1	1	0	
wh2_dlc09_tmb_necro_serpent_ror		tmb_necro_serpent_ror	sn1\tmb\tmb_necroserpents\imposter\tmb_necroserpent_imposter	1	1.1	0	
wh2_dlc09_tmb_necrosphinx		tmb_necrosphinx		1	1	0	
wh2_dlc09_tmb_necrosphinx_ror		tmb_necrosphinx_ror		1	1	0	
wh2_dlc09_tmb_necrotect		tmb_necrotect		1	1.1	0.050000004	
wh2_dlc09_tmb_necrotect_campaign_01		tmb_necrotect_campaign_01		1	1.1	0.050000004	
wh2_dlc09_tmb_necrotect_campaign_02		tmb_necrotect_campaign_02		1	1.1	0.050000004	
wh2_dlc09_tmb_necrotect_campaign_03		tmb_necrotect_campaign_03		1	1.1	0.050000004	
wh2_dlc09_tmb_necrotect_campaign_04		tmb_necrotect_campaign_04		1	1.1	0.050000004	
wh2_dlc09_tmb_scorpion		tmb_scorpion		1	1	0	
wh2_dlc09_tmb_sepulchral_stalkers_halberd		tmb_sepulchral_stalkers_halberd	sn1\tmb\tmb_sepulchral_stalkers\tmb_sepulchral_stalkers_halberd_imposter	1	1.1	0.050000004	
wh2_dlc09_tmb_sepulchral_stalkers_halberd_ror		tmb_sepulchral_stalkers_halberd_ror	sn1\tmb\tmb_sepulchral_stalkers\tmb_sepulchral_stalkers_halberd_imposter	1	1.1	0.050000004	
wh2_dlc09_tmb_settra_chariot_campaign	art\campaign\chariots\cam_tmch1\tmb_tomb_chariot\tech	campaign_tmb_settra_chariot		1	0.8999999	0.050000004	
wh2_dlc09_tmb_skeletal_steed		tmb_skeletal_steed	hr1/tmb/tmb_skeleton_steed/tmb_skeleton_steed_imposter	1	1	0.050000004	
wh2_dlc09_tmb_skeletal_steed_campaign	VariantMeshes\wh_variantmodels\hr1\emp\emp_warbeast_horse\tech	tmb_skeletal_steed	hr1/tmb/tmb_skeleton_steed/tmb_skeleton_steed_imposter	1	1	0	
wh2_dlc09_tmb_skeletal_steed_chariot		tmb_skeletal_steed_chariot	hr1/tmb/tmb_skeleton_steed/tmb_skeleton_steed_imposter	1	1	0.050000004	
wh2_dlc09_tmb_skeletal_steed_hero		tmb_skeletal_steed_hero		1	1	0.050000004	
wh2_dlc09_tmb_skeletal_steed_phakth_ror		tmb_skeletal_steed_phakth_ror	hr1/tmb/tmb_skeleton_steed/tmb_skeleton_steed_imposter	1	1	0.050000004	
wh2_dlc09_tmb_skeleton_armoured_spear_scorpion_shield_ror		tmb_skeleton_armoured_spear_scorpion_shield_ror	hu1\tmb\tmb_skeleton_warriors_armored\imposter\tmb_skeleton_armoured_spear_shield_imposter	1	1	0.050000004	hu1\imposter\humanoid_imposter
wh2_dlc09_tmb_skeleton_armoured_sword_bow_ror		tmb_skeleton_armoured_sword_bow_ror	hu1\tmb\tmb_skeleton_warriors_armored\imposter\tmb_skeleton_armoured_imposter	1	1	0.050000004	hu1\imposter\humanoid_imposter
wh2_dlc09_tmb_skeleton_armoured_sword_dual		tmb_skeleton_armoured_sword_dual	hu1\tmb\tmb_skeleton_warriors_armored\imposter\tmb_skeleton_armoured_sword_dual_imposter	1	1	0.050000004	hu1\imposter\humanoid_imposter
wh2_dlc09_tmb_skeleton_armoured_sword_dual_ror		tmb_skeleton_armoured_sword_dual_ror	hu1\tmb\tmb_skeleton_warriors_armored\imposter\tmb_skeleton_armoured_usirian_sword_dual_imposter	1	1	0.050000004	hu1\imposter\humanoid_imposter
wh2_dlc09_tmb_skeleton_armoured_sword_shield		tmb_skeleton_armoured_sword_shield	hu1\tmb\tmb_skeleton_warriors_armored\imposter\tmb_skeleton_armoured_sword_shield_imposter	1	1	0.050000004	hu1\imposter\humanoid_imposter
wh2_dlc09_tmb_skeleton_armoured_sword_shield_ror		tmb_skeleton_armoured_sword_shield_ror	hu1\tmb\tmb_skeleton_warriors_armored\imposter\tmb_skeleton_armoured_sword_shield_imposter	1	1	0.050000004	hu1\imposter\humanoid_imposter
wh2_dlc09_tmb_skeleton_charioteer_whip		tmb_skeleton_charioteer_whip		1	1	0.050000004	
wh2_dlc09_tmb_skeleton_halberd		tmb_skeleton_halberd	hu1\tmb\tmb_skeleton_warriors\imposter\tmb_skeleton_halberd_imposter	1	1	0.050000004	hu1\imposter\humanoid_imposter
wh2_dlc09_tmb_skeleton_spear_shield		tmb_skeleton_spear_shield	hu1\tmb\tmb_skeleton_warriors\imposter\tmb_skeleton_spear_shield_imposter	1	1	0.050000004	hu1\imposter\humanoid_imposter
wh2_dlc09_tmb_skeleton_sword		tmb_skeleton_sword	hu1\tmb\tmb_skeleton_warriors\imposter\tmb_skeleton_sword_imposter	1	1	0.050000004	hu1\imposter\humanoid_imposter
wh2_dlc09_tmb_skeleton_sword_bow		tmb_skeleton_sword_bow	hu1\tmb\tmb_skeleton_warriors\imposter\tmb_skeleton_warriors_imposter	1	1	0.050000004	hu1\imposter\humanoid_imposter
wh2_dlc09_tmb_skeleton_sword_shield		tmb_skeleton_sword_shield	hu1\tmb\tmb_skeleton_warriors\imposter\tmb_skeleton_sword_shield_imposter	1	1	0.050000004	hu1\imposter\humanoid_imposter
wh2_dlc09_tmb_tomb_guard_bow		tmb_tomb_guard_bow	hu1/tmb/tmb_tomb_guard/imposter/tmb_tomb_guard_bow_imposter	1	1	0.050000004	hu1\imposter\humanoid_imposter
wh2_dlc09_tmb_tomb_guard_dual_swords_ror		tmb_tomb_guard_dual_swords_ror	hu1/tmb/tmb_tomb_guard/imposter/tmb_tomb_guard_dual_swords_imposter	1	1	0.050000004	hu1\imposter\humanoid_imposter
wh2_dlc09_tmb_tomb_guard_halberd		tmb_tomb_guard_halberd	hu1/tmb/tmb_tomb_guard/imposter/tmb_tomb_guard_halberd_imposter	1	1	0.050000004	hu1\imposter\humanoid_imposter
wh2_dlc09_tmb_tomb_guard_halberd_shield		tmb_tomb_guard_halberd_shield	hu1/tmb/tmb_tomb_guard/imposter/tmb_tomb_guard_halberd_shield_imposter	1	1	0.050000004	hu1\imposter\humanoid_imposter
wh2_dlc09_tmb_tomb_guard_spear_shield		tmb_tomb_guard_spear_shield	hu1/tmb/tmb_tomb_guard/imposter/tmb_tomb_guard_spear_shield_imposter	1	1	0	hu1\imposter\humanoid_imposter
wh2_dlc09_tmb_tomb_guard_spear_shield_ror		tmb_tomb_guard_spear_shield_ror	hu1/tmb/tmb_tomb_guard/imposter/tmb_tomb_guard_spear_shield_imposter	1	1	0.050000004	hu1\imposter\humanoid_imposter
wh2_dlc09_tmb_tomb_guard_sword_shield		tmb_tomb_guard	hu1/tmb/tmb_tomb_guard/imposter/tmb_tomb_guard_imposter	1	1	0.050000004	hu1\imposter\humanoid_imposter
wh2_dlc09_tmb_ushabti		tmb_ushabti	hu6e/tmb/tmb_ushabti/imposter/tmb_ushabti_imposter	1	1	0	
wh2_dlc09_tmb_ushabti_great_bow		tmb_ushabti_great_bow	hu6e/tmb/tmb_ushabti/imposter/tmb_ushabti_great_bow_imposter	1	1	0	
wh2_dlc09_tmb_ushabti_great_bow_ror		tmb_ushabti_great_bow_ror	hu6e/tmb/tmb_ushabti/imposter/tmb_ushabti_great_bow_imposter	1	1	0	
wh2_dlc10_def_cold_one_armoured_ror		def_armoured_cold_one_ror	rp3\def\def_cold_one\imposter\def_armoured_cold_one_imposter	1	1	0	
wh2_dlc10_def_cold_one_knights_rider_1_ror		def_knights_ror		1	1	0.050000004	
wh2_dlc10_def_core_troop_spear_ror		def_core_troop_spear_ror	hu1d\def\def_warriors\imposter\def_core_troop_spear_imposter	1	1	0.050000004	hu1\imposter\humanoid_imposter
wh2_dlc10_def_crone_hellebron		def_crone		1	1.2	0.050000004	
wh2_dlc10_def_dark_rider_crossbow_ror		def_dark_rider_crossbow_ror		1	1	0.050000004	
wh2_dlc10_def_darkshards_shields_ror		def_darkshards_shields_ror	hu1d\def\def_warriors\imposter\def_darkshards_boltfiends_imposter	1	1	0.050000004	hu1\imposter\humanoid_imposter
wh2_dlc10_def_doomfire_warlock		def_doomfire_warlock		1	1	0.050000004	
wh2_dlc10_def_doomfire_warlock_ror		def_doomfire_warlock_ror		1	1	0.050000004	
wh2_dlc10_def_har_ganeth_executioners_ror		def_har_ganeth_executioners_ror	hu1d\def\def_executioners\imposter\def_har_ganeth_executioners_blood_queen_imposter	1	1	0.050000004	hu1\imposter\humanoid_imposter
wh2_dlc10_def_manticore	VariantMeshes\_VariantModels\bigcat03\chaos_undivided\saddles\tech	def_manticore		1	1	0	
wh2_dlc10_def_manticore_feral		def_manticore_feral		1	1	0	
wh2_dlc10_def_mon_kharibdyss		def_kharibdyss		1	1.2	0	
wh2_dlc10_def_mon_war_hydra_boss		def_war_hydra		1	1.9	0	
wh2_dlc10_def_mon_war_hydra_ror		def_war_hydra_ror		1	1.2	0	
wh2_dlc10_def_sisters_of_slaughter		def_sisters_of_slaughter	hu1b/def/def_sisters_of_slaughter/imposter/def_sisters_of_slaughter_imposter	1	1	0.050000004	hu1\imposter\humanoid_imposter
wh2_dlc10_def_supreme_sorceress		def_supreme_sorceress		1	1.15	0.050000004	
wh2_dlc10_def_supreme_sorceress_campaign_01		def_supreme_sorceress_campaign_01		1	1.15	0.050000004	
wh2_dlc10_def_supreme_sorceress_campaign_02		def_supreme_sorceress_campaign_02		1	1.15	0.050000004	
wh2_dlc10_def_supreme_sorceress_campaign_03		def_supreme_sorceress_campaign_03		1	1.15	0.050000004	
wh2_dlc10_def_supreme_sorceress_campaign_04		def_supreme_sorceress_campaign_04		1	1.15	0.050000004	
wh2_dlc10_def_supreme_sorceress_campaign_05		def_supreme_sorceress_campaign_05		1	1.15	0.050000004	
wh2_dlc10_def_witch_elf_ror		def_witch_elf_ror	hu1b\def\def_witch_elves\imposter\def_witch_elf_singing_doom_imposter	1	1	0.050000004	hu1\imposter\humanoid_imposter
wh2_dlc10_dwf_giant_slayers		dwf_giant_slayers	hu3/dwf/dwf_slayers/low_poly/dwf_slayers_lowlod	1	1.1	0.050000004	hu3/dwf/dwf_warriors/low_poly/super_imposter
wh2_dlc10_hef_alarielle		hef_alarielle		1	1.2	0	
wh2_dlc10_hef_alarielle_campaign		hef_alarielle_campaign		1	1.2	0	
wh2_dlc10_hef_alith_anar		hef_alith_anar		1	1.2	0	
wh2_dlc10_hef_dragon_princes_ror		hef_dragon_prince_ror		1	1	0.050000004	
wh2_dlc10_hef_dragon_steed_ror		hef_dragon_steed_ror		1	1	0.050000004	
wh2_dlc10_hef_dryad		hef_dryad	hu20\wef\hef_dryad\imposter\wef_dryads_imposter	1	1.1	0.2	hu1\imposter\humanoid_imposter
wh2_dlc10_hef_hand_of_the_shadow_crown		hef_hand_of_the_shadow_crown		1	1	0	
wh2_dlc10_hef_handmaiden		hef_handmaiden		1	1.15	0.050000004	
wh2_dlc10_hef_handmaiden_campaign_01		hef_handmaiden_campaign_01		1	1.15	0.050000004	
wh2_dlc10_hef_handmaiden_campaign_02		hef_handmaiden_campaign_02		1	1.15	0.050000004	
wh2_dlc10_hef_handmaiden_campaign_03		hef_handmaiden_campaign_03		1	1.15	0.050000004	
wh2_dlc10_hef_handmaiden_campaign_04		hef_handmaiden_campaign_04		1	1.15	0.050000004	
wh2_dlc10_hef_handmaiden_campaign_05		hef_handmaiden_campaign_05		1	1.15	0.050000004	
wh2_dlc10_hef_mon_phoenix_flamespyre_boss		hef_phoenix_flamespyre		1	1.8	0	
wh2_dlc10_hef_phoenix_guard_ror		hef_phoenix_guard_ror	hu1d\hef\hef_phoenix_guard\imposter\hef_phoenix_guard_flame_imposter	1	1	0.050000004	hu1d\hef\hef_phoenix_guard\imposter\hef_phoenix_guard_flame_super_imposter
wh2_dlc10_hef_reaver_bow_ror		hef_reaver_bow_ror	hu1d\hef\hef_ellyrian_reavers\imposter\hef_ellyrian_reavers_imposter	1	1	0.050000004	hu1\imposter\humanoid_imposter
wh2_dlc10_hef_sea_guard_shields_ror		hef_sea_guard_shields_ror	hu1d/hef/hef_lothern_sea_guard/imposter/hef_sea_guard_shields_imposter	1	1	0.050000004	hu1\imposter\humanoid_imposter
wh2_dlc10_hef_shadow_walker		hef_shadow_walker	hu1d\hef\hef_shadow_warrior\imposter\hef_shadow_warrior_imposter	1	1	0.050000004	hu1\imposter\humanoid_imposter
